window_day,start_ts,beta,half_life_bars,L,slippage_bps,pnl,n_entries,n_filtered_out,mode
1,2025-05-09 00:00:00+00:00,0.5542950193286609,4.986678233685055,10,0,0.0,0,0,baseline
1,2025-05-09 00:00:00+00:00,0.5542950193286609,4.986678233685055,10,5,0.0,0,0,baseline
1,2025-05-09 00:00:00+00:00,0.5542950193286609,4.986678233685055,10,10,0.0,0,0,baseline
2,2025-05-10 00:00:00+00:00,0.5268843805940636,4.996019297505658,10,0,0.0,0,0,baseline
2,2025-05-10 00:00:00+00:00,0.5268843805940636,4.996019297505658,10,5,0.0,0,0,baseline
2,2025-05-10 00:00:00+00:00,0.5268843805940636,4.996019297505658,10,10,0.0,0,0,baseline
3,2025-05-11 00:00:00+00:00,0.6132107081707328,10.057292692700024,20,0,0.0,0,0,baseline
3,2025-05-11 00:00:00+00:00,0.6132107081707328,10.057292692700024,20,5,0.0,0,0,baseline
3,2025-05-11 00:00:00+00:00,0.6132107081707328,10.057292692700024,20,10,0.0,0,0,baseline
11,2025-05-19 00:00:00+00:00,0.8610893860308213,10.393106089512958,21,0,-0.0035229272325902426,1,0,baseline
11,2025-05-19 00:00:00+00:00,0.8610893860308213,10.393106089512958,21,5,-0.005384016618621064,1,0,baseline
11,2025-05-19 00:00:00+00:00,0.8610893860308213,10.393106089512958,21,10,-0.007245106004651886,1,0,baseline
17,2025-05-25 00:00:00+00:00,1.3239764824652993,12.049391011962662,24,0,0.0,0,0,baseline
17,2025-05-25 00:00:00+00:00,1.3239764824652993,12.049391011962662,24,5,0.0,0,0,baseline
17,2025-05-25 00:00:00+00:00,1.3239764824652993,12.049391011962662,24,10,0.0,0,0,baseline
25,2025-06-02 00:00:00+00:00,1.330415453105997,9.09097034866095,18,0,-0.0374896573390404,1,0,baseline
25,2025-06-02 00:00:00+00:00,1.330415453105997,9.09097034866095,18,5,-0.0398200727921464,1,0,baseline
25,2025-06-02 00:00:00+00:00,1.330415453105997,9.09097034866095,18,10,-0.04215048824525239,1,0,baseline
36,2025-06-13 00:00:00+00:00,0.4319102643653885,6.3705130897533095,13,0,0.0,0,0,baseline
36,2025-06-13 00:00:00+00:00,0.4319102643653885,6.3705130897533095,13,5,0.0,0,0,baseline
36,2025-06-13 00:00:00+00:00,0.4319102643653885,6.3705130897533095,13,10,0.0,0,0,baseline
43,2025-06-20 00:00:00+00:00,0.8610151057285501,6.438054661686804,13,0,0.0,0,0,baseline
43,2025-06-20 00:00:00+00:00,0.8610151057285501,6.438054661686804,13,5,0.0,0,0,baseline
43,2025-06-20 00:00:00+00:00,0.8610151057285501,6.438054661686804,13,10,0.0,0,0,baseline
50,2025-06-27 00:00:00+00:00,1.3310430660857584,9.116738617610366,18,0,0.0,0,0,baseline
50,2025-06-27 00:00:00+00:00,1.3310430660857584,9.116738617610366,18,5,0.0,0,0,baseline
50,2025-06-27 00:00:00+00:00,1.3310430660857584,9.116738617610366,18,10,0.0,0,0,baseline
52,2025-06-29 00:00:00+00:00,1.2146445683765432,12.179007631134809,24,0,-0.0009191544531541233,1,0,baseline
52,2025-06-29 00:00:00+00:00,1.2146445683765432,12.179007631134809,24,5,-0.0031337990215306658,1,0,baseline
52,2025-06-29 00:00:00+00:00,1.2146445683765432,12.179007631134809,24,10,-0.005348443589907209,1,0,baseline
