window_day,start_idx,end_idx,start_ts,end_ts,coin_a,coin_b,hedge_beta,adf_pvalue,half_life_bars,half_life_minutes,n_obs,passes_filter
0,0,288,2025-05-08 00:00:00+00:00,2025-05-10 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.7367933452258483,0.1662711288678222,18.85025386327427,282.75380794911405,288,False
1,96,384,2025-05-09 00:00:00+00:00,2025-05-11 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.5542950193286609,3.0523007226574115e-05,4.986678233685055,74.80017350527582,288,True
2,192,480,2025-05-10 00:00:00+00:00,2025-05-12 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.5268843805940636,8.136742858392918e-07,4.996019297505658,74.94028946258487,288,True
3,288,576,2025-05-11 00:00:00+00:00,2025-05-13 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.6132107081707328,0.0010770738879615147,10.057292692700024,150.85939039050035,288,True
4,384,672,2025-05-12 00:00:00+00:00,2025-05-14 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.7348904023690568,0.13538181822097722,24.213559459737517,363.2033918960628,288,False
5,480,768,2025-05-13 00:00:00+00:00,2025-05-15 23:45:00+00:00,AVAXUSDT,DOGEUSDT,1.1466469648658557,0.06213478325592511,13.29141477945116,199.3712216917674,288,False
6,576,864,2025-05-14 00:00:00+00:00,2025-05-16 23:45:00+00:00,AVAXUSDT,DOGEUSDT,1.403089414169119,0.13021244420846512,11.559404391615066,173.391065874226,288,False
7,672,960,2025-05-15 00:00:00+00:00,2025-05-17 23:45:00+00:00,AVAXUSDT,DOGEUSDT,1.0684147088534792,0.2375626628573302,17.3673608212846,260.510412319269,288,False
8,768,1056,2025-05-16 00:00:00+00:00,2025-05-18 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.7318286159126429,0.7961193982014214,99.62150536695152,1494.3225805042728,288,False
9,864,1152,2025-05-17 00:00:00+00:00,2025-05-19 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.4551186842664053,0.5539496527161853,51.152244613557,767.283669203355,288,False
10,960,1248,2025-05-18 00:00:00+00:00,2025-05-20 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.7881529714497111,0.468050269127027,50.73262076866619,760.9893115299928,288,False
11,1056,1344,2025-05-19 00:00:00+00:00,2025-05-21 23:45:00+00:00,AVAXUSDT,DOGEUSDT,0.8610893860308213,0.028395904962646063,10.393106089512958,155.89659134269436,288,True
12,1152,1440,2025-05-20 00:00:00+00:00,2025-05-22 23:45:00+00:00,AVAXUSDT,DOGEUSDT,1.2673633615252906,0.3247041962557876,27.846123863364006,417.6918579504601,288,False
