window_day,start_idx,end_idx,start_ts,end_ts,coin_a,coin_b,hedge_beta,adf_pvalue,half_life,n_obs,passes_filter
0,0,4320,2025-05-08 00:00:00+00:00,2025-05-10 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.7385310244836183,0.1570881289956163,255.66044308565003,4320,False
1,1440,5760,2025-05-09 00:00:00+00:00,2025-05-11 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.5547239804883022,5.3586740682364846e-05,65.70313808701862,4320,True
2,2880,7200,2025-05-10 00:00:00+00:00,2025-05-12 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.5256171381375594,0.00014072535148193445,71.3987749308024,4320,True
3,4320,8640,2025-05-11 00:00:00+00:00,2025-05-13 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.6077623312272014,0.04495120995803207,143.81639289292335,4320,True
4,5760,10080,2025-05-12 00:00:00+00:00,2025-05-14 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.7296275995488191,0.2503039178367172,302.61862994072555,4320,False
5,7200,11520,2025-05-13 00:00:00+00:00,2025-05-15 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1440009801780384,0.058309715737605836,151.17955257383565,4320,False
6,8640,12960,2025-05-14 00:00:00+00:00,2025-05-16 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.3911772147067296,0.046467902611401206,140.33318522054927,4320,True
7,10080,14400,2025-05-15 00:00:00+00:00,2025-05-17 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.0649555001919015,0.17412222904177743,153.51284132292685,4320,False
8,11520,15840,2025-05-16 00:00:00+00:00,2025-05-18 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.7406021624437749,0.8392675962019149,910.2889203050571,4320,False
9,12960,17280,2025-05-17 00:00:00+00:00,2025-05-19 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.4498696061527765,0.5740642415333881,692.0695149683959,4320,False
10,14400,18720,2025-05-18 00:00:00+00:00,2025-05-20 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.7863186284875265,0.455912149402518,538.1927863351527,4320,False
11,15840,20160,2025-05-19 00:00:00+00:00,2025-05-21 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8623627484332843,0.0384182182109435,94.62193366407325,4320,True
12,17280,21600,2025-05-20 00:00:00+00:00,2025-05-22 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.2664986726613776,0.30559784816234925,317.81934146682096,4320,False
13,18720,23040,2025-05-21 00:00:00+00:00,2025-05-23 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.365971293525348,0.39804960503440856,346.7601988205626,4320,False
14,20160,24480,2025-05-22 00:00:00+00:00,2025-05-24 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1334690484091734,0.14548635895367362,283.941255907319,4320,False
15,21600,25920,2025-05-23 00:00:00+00:00,2025-05-25 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1271437486369482,0.4434731080839335,193.47950895984206,4320,False
16,23040,27360,2025-05-24 00:00:00+00:00,2025-05-26 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.0404372191952556,0.5105906421923059,415.3300128030954,4320,False
17,24480,28800,2025-05-25 00:00:00+00:00,2025-05-27 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.3166973179245147,0.03287909570139605,148.99913170783822,4320,True
18,25920,30240,2025-05-26 00:00:00+00:00,2025-05-28 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.529098514178088,0.15171731773536307,226.8037271739124,4320,False
19,27360,31680,2025-05-27 00:00:00+00:00,2025-05-29 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.748239165139239,0.25107895434982686,302.87787489464023,4320,False
20,28800,33120,2025-05-28 00:00:00+00:00,2025-05-30 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.9109987193492994,0.06647784727151727,189.83371060686713,4320,False
21,30240,34560,2025-05-29 00:00:00+00:00,2025-05-31 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8564630364912267,0.13318827289000568,228.74969606441448,4320,False
22,31680,36000,2025-05-30 00:00:00+00:00,2025-06-01 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.7062132486743173,0.23345071242416288,229.3329994537173,4320,False
23,33120,37440,2025-05-31 00:00:00+00:00,2025-06-02 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.051450888241483,0.031599925912520394,152.6447004422173,4320,True
24,34560,38880,2025-06-01 00:00:00+00:00,2025-06-03 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1783099663041705,0.09513520422569527,111.52207947838613,4320,False
25,36000,40320,2025-06-02 00:00:00+00:00,2025-06-04 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.3288496313026812,0.009308241824857172,91.71681161985774,4320,True
26,37440,41760,2025-06-03 00:00:00+00:00,2025-06-05 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.9956124746779373,0.4150317014806739,330.59550652228813,4320,False
27,38880,43200,2025-06-04 00:00:00+00:00,2025-06-06 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8755948613611793,0.29599481031488234,312.2736497237588,4320,False
28,40320,44640,2025-06-05 00:00:00+00:00,2025-06-07 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8204450026965291,0.6188282480376223,758.7215264097714,4320,False
29,41760,46080,2025-06-06 00:00:00+00:00,2025-06-08 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.4227472145554874,0.225356423557322,243.34682600784797,4320,False
30,43200,47520,2025-06-07 00:00:00+00:00,2025-06-09 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.2776371833024243,0.18127914288500735,212.50586181530596,4320,False
31,44640,48960,2025-06-08 00:00:00+00:00,2025-06-10 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1824865207388804,0.14253555967088138,186.49000892489997,4320,False
32,46080,50400,2025-06-09 00:00:00+00:00,2025-06-11 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8421601513165928,0.178971345416907,221.69326479823496,4320,False
33,47520,51840,2025-06-10 00:00:00+00:00,2025-06-12 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.9357662901708466,0.43525398688822653,302.48465697862235,4320,False
34,48960,53280,2025-06-11 00:00:00+00:00,2025-06-13 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1511566569568936,0.3577870054623674,222.32883839545687,4320,False
35,50400,54720,2025-06-12 00:00:00+00:00,2025-06-14 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.3187759249333033,0.7808706376506189,427.5628211829698,4320,False
36,51840,56160,2025-06-13 00:00:00+00:00,2025-06-15 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.43925584511129934,1.6238232682905822e-07,64.73292934289236,4320,True
37,53280,57600,2025-06-14 00:00:00+00:00,2025-06-16 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.0940543974288808,0.7880367938672844,664.6918380202202,4320,False
38,54720,59040,2025-06-15 00:00:00+00:00,2025-06-17 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.905385456858717,0.06562669690742956,276.73668014299164,4320,False
39,56160,60480,2025-06-16 00:00:00+00:00,2025-06-18 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.1504056161648264,0.8479047007362006,232.52074755694017,4320,False
40,57600,61920,2025-06-17 00:00:00+00:00,2025-06-19 23:59:00+00:00,AVAXUSDT,DOGEUSDT,1.2286922627648194,0.8218454871687182,1260.7952296893873,4320,False
41,59040,63360,2025-06-18 00:00:00+00:00,2025-06-20 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.9083375523145705,0.41406157886184336,560.6345160520385,4320,False
42,60480,64800,2025-06-19 00:00:00+00:00,2025-06-21 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8114940572102292,0.030633693403957257,113.51525759010451,4320,True
43,61920,66240,2025-06-20 00:00:00+00:00,2025-06-22 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8627622053280426,0.0004792988619730155,60.036908717198585,4320,True
44,63360,67680,2025-06-21 00:00:00+00:00,2025-06-23 23:59:00+00:00,AVAXUSDT,DOGEUSDT,0.8240794917669936,0.4639228415777759,304.59427594423346,4320,False
