n_event,n_control,event_mean,control_mean,delta,t_stat,win_rate,target,f_regime,oi_flush
216,36884,0.0007288763905124515,-4.5223293968104095e-05,0.0007740996844805557,0.8979890657738445,0.5,AVAXUSDT,negative,flush
325,36884,-0.0003062559502074513,-4.5223293968104095e-05,-0.0002610326562393472,-0.4072575391490603,0.4276923076923077,AVAXUSDT,negative,no_flush
541,36884,0.00010703163869365574,-4.5223293968104095e-05,0.00015225493266175983,0.2943397105346632,0.4565619223659889,AVAXUSDT,negative,ALL
814,36884,0.0010401523234327592,-4.5223293968104095e-05,0.0010853756174008633,2.7581426013793178,0.5368550368550369,AVAXUSDT,default,flush
1724,36884,0.00045113836725241215,-4.5223293968104095e-05,0.0004963616612205162,2.4216337665178354,0.4895591647331787,AVAXUSDT,default,no_flush
2538,36884,0.0006400498567444541,-4.5223293968104095e-05,0.0006852731507125582,3.6048280519163147,0.5047281323877069,AVAXUSDT,default,ALL
117,36884,0.0002700772323631753,-4.5223293968104095e-05,0.00031530052633127936,0.3261525039837122,0.5555555555555556,AVAXUSDT,crowded,flush
243,36884,0.0015136130733547299,-4.5223293968104095e-05,0.001558836367322834,2.253100399794925,0.5349794238683128,AVAXUSDT,crowded,no_flush
360,36884,0.0011094639250324744,-4.5223293968104095e-05,0.0011546872190005785,2.048566890607104,0.5416666666666666,AVAXUSDT,crowded,ALL
232,42945,-0.00013526981423377576,-4.134582420624365e-05,-9.392399002753211e-05,-0.12418066642079828,0.46120689655172414,ADAUSDT,negative,flush
356,42945,-2.212732304381297e-05,-4.134582420624365e-05,1.9218501162430682e-05,0.03178748840777701,0.4438202247191011,ADAUSDT,negative,no_flush
588,42945,-6.676857807114531e-05,-4.134582420624365e-05,-2.5422753864901658e-05,-0.05380576512792219,0.45068027210884354,ADAUSDT,negative,ALL
891,42945,0.0009006819225277566,-4.134582420624365e-05,0.0009420277467340003,2.011702882253078,0.5241301907968574,ADAUSDT,default,flush
1885,42945,0.0002616598168915866,-4.134582420624365e-05,0.0003030056410978303,1.7527136404194583,0.506631299734748,ADAUSDT,default,no_flush
2776,42945,0.00046676381405362836,-4.134582420624365e-05,0.000508109638259872,2.644775642306332,0.5122478386167147,ADAUSDT,default,ALL
119,42945,0.0010217713001842439,-4.134582420624365e-05,0.0010631171243904876,1.181081887622569,0.5042016806722689,ADAUSDT,crowded,flush
242,42945,0.0016083950500300258,-4.134582420624365e-05,0.0016497408742362695,2.3753969852487313,0.5743801652892562,ADAUSDT,crowded,no_flush
361,42945,0.0014150204621307236,-4.134582420624365e-05,0.0014563662863369673,2.6381396218135627,0.5512465373961218,ADAUSDT,crowded,ALL
