n_event,n_control,event_mean,control_mean,delta,t_stat,win_rate,target,cond_var,bucket,cut_low,cut_high,cond_mean
3920,42506,0.0005692304479200448,-7.0794744212876795e-06,0.0005763099223413324,3.4230933806852164,0.4997448979591837,AVAXUSDT,ALL,all_events,,,
1307,42506,0.0007167943517603324,-7.0794744212876795e-06,0.0007238738261816201,2.440541971925816,0.5202754399387911,AVAXUSDT,toxicity,low,0.0704447003401175,0.1615200754460898,0.034081611629518394
1306,42506,0.0006561374306833626,-7.0794744212876795e-06,0.0006632169051046502,2.1653524600822256,0.4869831546707504,AVAXUSDT,toxicity,mid,0.0704447003401175,0.1615200754460898,0.11193596808650992
1306,42506,0.00033752095482323513,-7.0794744212876795e-06,0.0003446004292445228,1.389401756651714,0.49234303215926495,AVAXUSDT,toxicity,high,0.0704447003401175,0.1615200754460898,0.2674941770056027
1307,42506,0.0008110692453939235,-7.0794744212876795e-06,0.0008181487198152111,2.5783128974184453,0.5263963274674828,AVAXUSDT,vpin_50,low,0.1190632309394256,0.1582178908088843,0.09498579448280732
1306,42506,0.0005203148177577693,-7.0794744212876795e-06,0.0005273942921790569,2.0204755316547494,0.503062787136294,AVAXUSDT,vpin_50,mid,0.1190632309394256,0.1582178908088843,0.13826617563140864
1306,42506,0.0003789964881323633,-7.0794744212876795e-06,0.000386075962553651,1.415011998884212,0.47013782542113325,AVAXUSDT,vpin_50,high,0.1190632309394256,0.1582178908088843,0.1904157860406471
4243,49174,0.0004728285258136282,-3.9994523416549866e-05,0.0005128230492301781,3.244677352048891,0.5022389818524629,ADAUSDT,ALL,all_events,,,
1410,49174,0.0004980704583961194,-3.9994523416549866e-05,0.0005380649818126693,2.145346546356775,0.5163120567375886,ADAUSDT,toxicity,low,0.0723044244450805,0.16375861410920087,0.0349553289189312
1410,49174,0.0007237302597580922,-3.9994523416549866e-05,0.0007637247831746421,2.2541069908124047,0.49148936170212765,ADAUSDT,toxicity,mid,0.0723044244450805,0.16375861410920087,0.11440132008923524
1410,49174,0.0002083555227541557,-3.9994523416549866e-05,0.0002483500461707056,1.2216739701911754,0.49858156028368794,ADAUSDT,toxicity,high,0.0723044244450805,0.16375861410920087,0.2732580145048431
1410,49174,0.0008351404434235981,-3.9994523416549866e-05,0.000875134966840148,3.3660922212805504,0.5120567375886524,ADAUSDT,vpin_50,low,0.12031659925427203,0.16005053106700637,0.09587957388754459
1410,49174,0.0003051715405204127,-3.9994523416549866e-05,0.00034516606393696254,1.5464798640560098,0.4978723404255319,ADAUSDT,vpin_50,mid,0.12031659925427203,0.16005053106700637,0.1399784052917385
1410,49174,0.00028984425696435657,-3.9994523416549866e-05,0.00032983878038090643,1.0349287123119872,0.49645390070921985,ADAUSDT,vpin_50,high,0.12031659925427203,0.16005053106700637,0.19234476316038623
