n_event,n_control,event_mean,control_mean,delta,t_stat,win_rate,target,cond_var,bucket,cut_low,cut_high,cond_mean
3448,36884,0.0006131123892047007,-4.5223293968104095e-05,0.0006583356831728048,3.770814202772114,0.5011600928074246,AVAXUSDT,ALL,all_events,,,
1147,36884,0.0009029819771677827,-4.5223293968104095e-05,0.0009482052711358869,2.7990535079186976,0.5318221447253705,AVAXUSDT,d_oi_event,low,-0.0012540430985523,0.0015808875673799,-0.007502794866823795
1146,36884,0.0006387681341035483,-4.5223293968104095e-05,0.0006839914280716525,2.518587640999477,0.48080279232111695,AVAXUSDT,d_oi_event,mid,-0.0012540430985523,0.0015808875673799,0.00011611832737016422
1146,36884,0.00027400441227597687,-4.5223293968104095e-05,0.00031922770624408096,1.1630002366248455,0.49040139616055844,AVAXUSDT,d_oi_event,high,-0.0012540430985523,0.0015808875673799,inf
1151,36884,4.313525517761539e-05,-4.5223293968104095e-05,8.835854914571948e-05,0.28427501843894065,0.46741963509991313,AVAXUSDT,funding_pre,low,6.853e-05,0.0001,-1.2042528236316246e-05
1937,36884,0.00085955385970918,-4.5223293968104095e-05,0.0009047771536772842,4.125950246551432,0.5136809499225606,AVAXUSDT,funding_pre,mid,6.853e-05,0.0001,9.662866288074344e-05
360,36884,0.0011094639250324744,-4.5223293968104095e-05,0.0011546872190005785,2.048566890607104,0.5416666666666666,AVAXUSDT,funding_pre,high,6.853e-05,0.0001,0.0003276919166666667
1150,36884,0.0009911954115991901,-4.5223293968104095e-05,0.0010364187055672941,3.1139790233381164,0.5147826086956522,AVAXUSDT,d_oi_24h_pre,low,-0.0142927951863869,0.0276889518664631,-0.06087853871040003
1149,36884,0.0005049375943312652,-4.5223293968104095e-05,0.0005501608882993693,2.1101156179448153,0.49869451697127937,AVAXUSDT,d_oi_24h_pre,mid,-0.0142927951863869,0.0276889518664631,0.005769824261123286
1149,36884,0.0003428751077041912,-4.5223293968104095e-05,0.0003880984016722953,1.3364307112804537,0.4899912967798085,AVAXUSDT,d_oi_24h_pre,high,-0.0142927951863869,0.0276889518664631,inf
3734,42945,0.00047738088236296824,-4.134582420624365e-05,0.000518726706569212,3.024641025830955,0.5061596143545796,ADAUSDT,ALL,all_events,,,
1242,42945,0.000718772770363865,-4.134582420624365e-05,0.0007601185945701087,2.0260233052602112,0.5104669887278583,ADAUSDT,d_oi_event,low,-0.0011888666976797003,0.0016022346911763327,-0.007129112222817274
1241,42945,0.00033144902316395805,-4.134582420624365e-05,0.0003727948473702017,1.5386201220420772,0.49476228847703463,ADAUSDT,d_oi_event,mid,-0.0011888666976797003,0.0016022346911763327,0.0001585143445858976
1242,42945,0.00037299097600470026,-4.134582420624365e-05,0.0004143368002109439,1.7167446362519905,0.5136876006441223,ADAUSDT,d_oi_event,high,-0.0011888666976797003,0.0016022346911763327,inf
1251,42945,-0.00029259166252324577,-4.134582420624365e-05,-0.0002512458383170021,-0.9049232018715336,0.46682653876898483,ADAUSDT,funding_pre,low,6.517e-05,0.0001,-1.1727250199840128e-05
2122,42945,0.0007717954748966601,-4.134582420624365e-05,0.0008131412991029038,3.5269112971697587,0.5216776625824694,ADAUSDT,funding_pre,mid,6.517e-05,0.0001,9.620848256361923e-05
361,42945,0.0014150204621307236,-4.134582420624365e-05,0.0014563662863369673,2.6381396218135627,0.5512465373961218,ADAUSDT,funding_pre,high,6.517e-05,0.0001,0.0003274368421052632
1245,42945,0.0008005118039268524,-4.134582420624365e-05,0.0008418576281330961,2.2128526539051103,0.5116465863453815,ADAUSDT,d_oi_24h_pre,low,-0.014272190399264835,0.027819299127156763,-0.060680316468512276
1244,42945,0.0004497598084443598,-4.134582420624365e-05,0.0004911056326506035,2.1510382040406406,0.5048231511254019,ADAUSDT,d_oi_24h_pre,mid,-0.014272190399264835,0.027819299127156763,0.006001322687243478
1245,42945,0.00018184884911615144,-4.134582420624365e-05,0.0002231946733223951,0.90716462068511,0.5020080321285141,ADAUSDT,d_oi_24h_pre,high,-0.014272190399264835,0.027819299127156763,inf
