shift,delta,n_cell,is_observed
0,0.0015732769144762933,241,True
13890,0.0003740184425987681,225,False
119719,0.0007589755007581433,220,False
101267,0.00114916694704833,218,False
67929,-5.145751881858376e-05,177,False
67023,0.0007139496252007053,176,False
132801,0.0011352581395097019,227,False
13379,0.000796587785371669,205,False
107881,0.001077081844670956,207,False
31235,-0.00025984231743297274,154,False
14652,0.00042673666855404127,241,False
81469,-0.0006881910623713512,240,False
150889,0.00044299231818719026,246,False
113814,0.0006737527197768487,187,False
117738,0.00013552042082225885,204,False
110990,-0.0003657226955477785,213,False
121590,-0.0002118033570426212,232,False
79420,0.00016760680863830624,202,False
19897,0.0006627929689591646,178,False
129888,0.0004376885659366996,263,False
69708,0.0007039387908165961,169,False
77430,0.0002740134346010723,184,False
57406,-0.0002327259863804413,184,False
28311,0.0007571255522197527,259,False
143337,0.0003835838664374879,215,False
120895,0.0004364908440637757,213,False
99612,0.0011607375421576224,229,False
62293,-0.0001940383663176637,160,False
127262,0.0005384707759894797,210,False
84398,6.034012909689401e-05,244,False
68630,0.0001082664905864868,189,False
69719,0.0005859647895301684,148,False
35218,0.0005537810891774084,208,False
14336,0.00035342849554675937,178,False
85813,0.000393947369123233,252,False
137329,0.0003424984509616424,225,False
9959,0.0004457488911396544,198,False
132754,0.0004883615501530701,248,False
128015,0.0008007858676476081,217,False
42872,0.0011734240318754252,179,False
97726,0.001406948505459072,196,False
25633,-0.00015897050139294293,203,False
117266,0.0005097958966050491,218,False
108369,0.001246117656992378,190,False
54891,-0.000780837446845179,189,False
10593,0.0006598926211344353,161,False
150128,0.0008121679763948291,229,False
68981,0.0009883153027941767,168,False
138137,0.0007942559694337378,233,False
104875,0.0005118855507359291,188,False
120403,2.0107652884662453e-05,163,False
117546,-0.0005883342515251931,204,False
30179,0.0002452886302729552,185,False
56341,-0.0006204146033981832,212,False
72232,-2.9075213609319362e-06,157,False
77035,0.001628825089833447,192,False
6866,0.0010977642705442717,211,False
84574,3.427710730859328e-05,275,False
23943,0.00025602975190937207,181,False
114992,-7.424341393751423e-05,182,False
105668,0.00020409014461423756,185,False
142682,0.0006624388740688028,183,False
115207,0.00036660513458948256,149,False
56764,-0.0012603999769437082,193,False
149635,0.002397850294157028,205,False
63597,-0.00010360979326908118,197,False
50455,0.00036083154055888285,217,False
140056,0.0006891293724502628,222,False
57354,0.0001278149029764647,175,False
11895,0.00114020992581049,207,False
72671,-9.806801918529225e-05,147,False
123077,0.0008580879659479981,248,False
29380,-0.0005513126023085152,195,False
71648,0.0007099125664519335,161,False
20176,4.049035970362218e-05,191,False
106198,0.0009800426176955626,162,False
73621,-0.0007382101291388991,200,False
51131,0.0002616900173497115,259,False
35167,0.0011350333242209543,198,False
87345,-0.0019285780202610947,183,False
103623,0.0003737933144148519,175,False
145430,0.0011502219464697378,243,False
67662,0.00015190124701452222,180,False
24932,-0.0004675768705224297,206,False
128795,0.001316236605228398,251,False
97433,0.0009363848988207043,193,False
108329,0.0011074271837101298,170,False
15123,-0.0004990867588258573,182,False
48375,-0.0005810732220593733,197,False
118774,0.0002522425083807164,238,False
128730,-0.00021237552709981535,282,False
67363,0.0013499745502036178,207,False
124481,0.00138682887412645,188,False
130188,0.001003222415408083,230,False
59985,0.00027283859983045415,187,False
138905,0.0009381181733900292,229,False
44660,0.00010283047357274842,167,False
37122,0.0007682466110861732,206,False
105583,0.0003030878774379483,179,False
98514,0.0012172137324696496,194,False
21696,0.00038449680388156343,226,False
128804,0.0007762098661832218,283,False
30994,0.00023454858271320262,178,False
124502,0.0002731569790702089,195,False
1233,0.0015670554489028204,294,False
123256,0.000787052556673336,254,False
121723,-0.000221045549961496,240,False
120709,0.000626870851934621,196,False
102856,0.0009679822477997436,169,False
72981,-7.510424210502574e-05,167,False
109087,0.0012080651724500578,186,False
42928,0.00028493940986641045,161,False
120766,0.0004850059076752898,222,False
85977,-0.00027822858243520526,232,False
71026,0.0009611070850145733,215,False
78243,0.001432090684178805,198,False
88001,-0.0008292687254035744,208,False
5855,0.0005036018024581026,219,False
21703,0.0005212625759522548,235,False
38037,0.0016946983515057472,201,False
17797,-4.541901348914975e-05,193,False
68043,0.00017126335770530304,161,False
103405,0.0002345167311413809,182,False
101245,0.0014213065054070138,199,False
72909,-0.0005013935438901427,144,False
132258,0.0008011851963924411,253,False
87459,-0.0007519918204610647,203,False
12336,0.0016194498641521335,201,False
118334,7.834056049811163e-05,258,False
88906,-0.00024283375003224974,204,False
98198,0.0018830602882495176,196,False
87480,-0.0010434637589802228,176,False
85657,-0.0002460460685979886,231,False
14094,0.0004753166921286884,226,False
86527,-2.618210056875312e-05,182,False
122958,0.001921936892440343,254,False
