offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events
-60,8.767860653894355e-06,6.626080295882418e-06,0.003277758801856802,0.0033779230853016136,1867
-59,1.5150175335824197e-05,-1.0104577357824891e-05,0.003292908977192626,0.003367818507943789,1867
-58,-8.334958001915473e-05,-8.22670141020892e-05,0.0032095593971734715,0.0032855514938416996,1867
-57,-7.180827266756302e-06,-3.163101617817379e-05,0.0032023785699067152,0.003253920477663526,1867
-56,-3.575923450122719e-05,-3.549399657907489e-05,0.003166619335405488,0.003218426481084451,1867
-55,-0.00010662753570685155,-8.194747791612365e-05,0.0030599917996986365,0.0031364790031683273,1867
-54,-1.1328499556801506e-05,1.0885024326542887e-06,0.0030486633001418346,0.0031375675056009816,1867
-53,-6.183586306550399e-05,1.2938544775619288e-05,0.002986827437076331,0.003150506050376601,1867
-52,2.4234781493241653e-05,-1.5034575525897729e-05,0.0030110622185695723,0.003135471474850703,1867
-51,5.44878442775747e-05,2.3680644991113016e-05,0.003065550062847147,0.003159152119841816,1867
-50,-5.896149858792206e-05,-2.5898333745023173e-05,0.003006588564259225,0.003133253786096793,1867
-49,-6.339839761220884e-05,-3.565125781768028e-05,0.002943190166647016,0.003097602528279113,1867
-48,1.3628601199571926e-05,9.410235911177667e-06,0.0029568187678465883,0.00310701276419029,1867
-47,5.792032996674399e-06,6.735506964982774e-05,0.0029626108008432624,0.003174367833840118,1867
-46,-9.897426148028751e-05,-0.0001424748481614787,0.002863636539362975,0.0030318929856786394,1867
-45,-1.2097375006703573e-05,1.8574792072804595e-05,0.0028515391643562714,0.003050467777751444,1867
-44,1.787929765024861e-05,-2.9800514511378116e-05,0.00286941846200652,0.003020667263240066,1867
-43,-0.00015031683049122535,-0.00013545040213444923,0.0027191016315152947,0.0028852168611056164,1867
-42,-0.00010776545173031432,-7.195985521213622e-05,0.0026113361797849804,0.00281325700589348,1867
-41,-7.36072020922701e-05,-2.5910772127935825e-05,0.0025377289776927106,0.0027873462337655447,1867
-40,-7.964686039788009e-05,-0.00013804372322590204,0.0024580821172948304,0.0026493025105396423,1867
-39,-6.720337263947008e-05,-2.3430539999906926e-05,0.0023908787446553603,0.0026258719705397355,1867
-38,-6.357526508973983e-05,-5.9260232053152517e-05,0.0023273034795656205,0.002566611738486583,1867
-37,2.8354803298117366e-05,3.016811075344349e-05,0.0023556582828637377,0.0025967798492400264,1867
-36,2.7053767412244415e-05,-3.947857350236264e-05,0.002382712050275982,0.002557301275737664,1867
-35,-2.817446659273905e-05,-3.8759517270744304e-05,0.002354537583683243,0.0025185417584669195,1867
-34,-6.877924586601148e-05,-5.4472579923459e-05,0.002285758337817232,0.0024640691785434606,1867
-33,-8.77641610325002e-05,-8.996722174857653e-05,0.002197994176784732,0.0023741019567948838,1867
-32,-2.888204623549781e-05,-1.2258403662488404e-05,0.0021691121305492337,0.0023618435531323955,1867
-31,-4.834700379300677e-05,-5.422238893804562e-05,0.002120765126756227,0.00230762116419435,1867
-30,-6.794246677405175e-05,-4.31270860826194e-05,0.002052822659982175,0.0022644940781117303,1867
