target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ADAUSDT,AVAXUSDT,down,1458,17329,-6.572384161262386e-05,-0.0001400809591123142,7.435711749969034e-05,0.31919072582677793,0.46844993141289437,-0.00013431033701647411
ADAUSDT,BTCUSDT,down,1743,17044,-5.2434385099726576e-06,-0.00014750932810406105,0.0001422658895940884,0.7681070502487323,0.47676419965576594,-0.00013431033701647411
ADAUSDT,DOGEUSDT,down,1354,17433,6.875653691262385e-05,-0.0001500822952164396,0.00021883883212906344,0.9358546635174013,0.4711964549483013,-0.00013431033701647411
ADAUSDT,ETHUSDT,down,1558,17229,-0.00031853883917431586,-0.00011765075106476955,-0.0002008880881095463,-0.978894265334488,0.4762516046213094,-0.00013431033701647411
ADAUSDT,SOLUSDT,down,1547,17240,0.0002896739486898132,-0.00017235579467236888,0.00046202974336218206,2.1836301426417464,0.4945054945054945,-0.00013431033701647411
ADAUSDT,XRPUSDT,down,1369,17418,8.553601038144602e-05,-0.00015158956824782972,0.00023712557862927574,1.0467717629928774,0.47552958363769177,-0.00013431033701647411
AVAXUSDT,ADAUSDT,down,1316,15809,0.00014045183602305502,-8.802966694667891e-05,0.00022848150296973395,0.7060013881543721,0.4749240121580547,-7.047161393014347e-05
AVAXUSDT,BTCUSDT,down,1433,15692,-0.00011059878826953263,-6.680718359440902e-05,-4.379160467512361e-05,-0.15207352707913468,0.47732030704815076,-7.047161393014347e-05
AVAXUSDT,DOGEUSDT,down,1276,15849,0.00014636645746003897,-8.792920615008625e-05,0.00023429566361012522,0.7223561484014152,0.47413793103448276,-7.047161393014347e-05
AVAXUSDT,ETHUSDT,down,1416,15709,-0.00027408408081806975,-5.211810618851106e-05,-0.0002219659746295587,-0.7626748539641918,0.4894067796610169,-7.047161393014347e-05
AVAXUSDT,SOLUSDT,down,1455,15670,0.0005558663712037916,-0.00012862871465572578,0.0006844950858595173,2.3435859351600747,0.5099656357388316,-7.047161393014347e-05
AVAXUSDT,XRPUSDT,down,1293,15832,0.0002533450556999084,-9.691773279267865e-05,0.0003502627884925871,1.0902484918760758,0.4880123743232792,-7.047161393014347e-05
BTCUSDT,ADAUSDT,down,1411,17821,0.00024127540793791025,-2.3285244810572565e-05,0.0002645606527484828,1.6511968468007199,0.4897236002834869,-3.87514284363677e-06
BTCUSDT,AVAXUSDT,down,1465,17767,4.8294842383637775e-05,-8.176883619116998e-06,5.6471726002754776e-05,0.3268175464544117,0.4805460750853242,-3.87514284363677e-06
BTCUSDT,DOGEUSDT,down,1370,17862,0.00018851639878336417,-1.863140821307981e-05,0.00020714780699644398,1.2560703464838245,0.49562043795620436,-3.87514284363677e-06
BTCUSDT,ETHUSDT,down,1581,17651,-0.00020861844509116685,1.4463713926707417e-05,-0.00022308215901787427,-1.489536106490379,0.4845034788108792,-3.87514284363677e-06
BTCUSDT,SOLUSDT,down,1563,17669,0.00019024355047656357,-2.1046885311205565e-05,0.00021129043578776914,1.3982072402717525,0.5143953934740882,-3.87514284363677e-06
BTCUSDT,XRPUSDT,down,1396,17836,-2.6065618607038585e-05,-2.1383238166290765e-06,-2.3927294790409507e-05,-0.1537791249993368,0.48567335243553006,-3.87514284363677e-06
DOGEUSDT,ADAUSDT,down,1400,17347,0.00026249579556613317,-9.089447101974055e-05,0.0003533902665858737,1.458765864891504,0.4742857142857143,-6.450377527000867e-05
DOGEUSDT,AVAXUSDT,down,1458,17289,-0.00012155498687589225,-5.969258511896591e-05,-6.186240175692635e-05,-0.23561522536874072,0.49108367626886146,-6.450377527000867e-05
DOGEUSDT,BTCUSDT,down,1754,16993,-4.570667730927253e-05,-6.64439924078379e-05,2.073731509856537e-05,0.10032862009983429,0.49714937286202965,-6.450377527000867e-05
DOGEUSDT,ETHUSDT,down,1567,17180,-0.0002934806545857348,-4.361863150471518e-05,-0.0002498620230810196,-1.1501713967060776,0.48117421825143586,-6.450377527000867e-05
DOGEUSDT,SOLUSDT,down,1551,17196,0.00020441670432376252,-8.875916395632753e-05,0.00029317586828009004,1.2770894152423011,0.5009671179883946,-6.450377527000867e-05
DOGEUSDT,XRPUSDT,down,1375,17372,-0.00025343750456668663,-4.9549603166455126e-05,-0.0002038879014002315,-0.8257892410523675,0.47345454545454546,-6.450377527000867e-05
ETHUSDT,ADAUSDT,down,1411,17821,0.00038245972461216035,-4.3847613083354985e-06,0.00038684448592049586,1.9077691970928683,0.4982282069454288,2.3996975881443013e-05
ETHUSDT,AVAXUSDT,down,1465,17767,-3.7756265107980784e-06,2.6287000224586647e-05,-3.0062626735384725e-05,-0.1384465309406874,0.4928327645051195,2.3996975881443013e-05
ETHUSDT,BTCUSDT,down,1829,17403,0.00012146058340558493,1.3753860432287369e-05,0.00010770672297329756,0.6759226356601973,0.48496446145434663,2.3996975881443013e-05
ETHUSDT,DOGEUSDT,down,1370,17862,0.00040624970671160213,-5.32147900811685e-06,0.00041157118571971896,1.8810653331070808,0.5124087591240876,2.3996975881443013e-05
ETHUSDT,SOLUSDT,down,1563,17669,0.000336449025926636,-3.6425370632984454e-06,0.00034009156298993445,1.7963818371264846,0.5156749840051184,2.3996975881443013e-05
ETHUSDT,XRPUSDT,down,1396,17836,0.00013585827007919158,1.5241741148315778e-05,0.00012061652893087581,0.6051511446511301,0.5,2.3996975881443013e-05
SOLUSDT,ADAUSDT,down,1410,17668,0.00022690997875429795,-0.00014680687657534018,0.00037371685532963813,1.2804223199048805,0.48652482269503544,-0.00011918654079513312
SOLUSDT,AVAXUSDT,down,1464,17614,4.06999359787216e-05,-0.00013247561777917556,0.00017317555375789717,0.519085034220481,0.4883879781420765,-0.00011918654079513312
SOLUSDT,BTCUSDT,down,1788,17290,4.728149179871192e-05,-0.00013640139575625483,0.00018368288755496676,0.7665235231445645,0.47651006711409394,-0.00011918654079513312
SOLUSDT,DOGEUSDT,down,1361,17717,-6.065899251524465e-05,-0.00012368256118283576,6.302356866759111e-05,0.21377979486364607,0.47538574577516535,-0.00011918654079513312
SOLUSDT,ETHUSDT,down,1572,17506,-0.00030872403784601665,-0.00010216649364764145,-0.0002065575441983752,-0.7792596642696636,0.4796437659033079,-0.00011918654079513312
SOLUSDT,XRPUSDT,down,1391,17687,-1.7115030179153618e-05,-0.00012721398870980645,0.00011009895853065284,0.37218519276841955,0.4974838245866283,-0.00011918654079513312
XRPUSDT,ADAUSDT,down,1411,17776,0.000521614412031704,0.0001669435700197394,0.00035467084201196456,1.660823917873154,0.515946137491141,0.00019302584229153187
XRPUSDT,AVAXUSDT,down,1465,17722,-8.318841675756401e-05,0.0002158592634351345,-0.0002990476801926985,-1.22821693391614,0.4962457337883959,0.00019302584229153187
XRPUSDT,BTCUSDT,down,1815,17372,0.00010656898411984098,0.0002020587226496725,-9.548973852983151e-05,-0.5471902302422902,0.49366391184573005,0.00019302584229153187
XRPUSDT,DOGEUSDT,down,1368,17819,0.0004160137004432721,0.0001759066217992719,0.00024010707864400018,1.081334132356477,0.48099415204678364,0.00019302584229153187
XRPUSDT,ETHUSDT,down,1580,17607,6.97030070992051e-05,0.00020409246804287376,-0.00013438946094366865,-0.6541329315078431,0.5170886075949367,0.00019302584229153187
XRPUSDT,SOLUSDT,down,1563,17624,0.0004571731714078619,0.0001695997031966145,0.0002875734682112474,1.395381675030461,0.5169545745361485,0.00019302584229153187
ADAUSDT,AVAXUSDT,up,1290,17497,0.0005183569123003327,-0.0001824294861059569,0.0007007863984062896,2.49439586589891,0.5193798449612403,-0.00013431033701647411
ADAUSDT,BTCUSDT,up,1303,17484,-0.00035778823705520375,-0.00011765558388501304,-0.00024013265317019073,-1.152328829304874,0.4827321565617805,-0.00013431033701647411
ADAUSDT,DOGEUSDT,up,1359,17428,-0.0002235116911927347,-0.00012735459680959218,-9.61570943831425e-05,-0.37864909891027826,0.5136129506990434,-0.00013431033701647411
ADAUSDT,ETHUSDT,up,1202,17585,-3.9025767896051474e-05,-0.00014082339087389506,0.00010179762297784359,0.423461426215638,0.49168053244592347,-0.00013431033701647411
ADAUSDT,SOLUSDT,up,1364,17423,-0.00018822323417550852,-0.0001300896407113072,-5.813359346420132e-05,-0.24293346615210087,0.4809384164222874,-0.00013431033701647411
ADAUSDT,XRPUSDT,up,1158,17629,-1.7597589340804786e-05,-0.00014197687294071397,0.0001243792835999092,0.47573407563942854,0.4905008635578584,-0.00013431033701647411
AVAXUSDT,ADAUSDT,up,1258,15867,0.0007962947161703055,-0.00013919235781785784,0.0009354870739881633,2.6893202502353843,0.5174880763116058,-7.047161393014347e-05
AVAXUSDT,BTCUSDT,up,1120,16005,-0.0008894265103341982,-1.316268022364292e-05,-0.0008762638301105553,-2.9838775383316056,0.4660714285714286,-7.047161393014347e-05
AVAXUSDT,DOGEUSDT,up,1260,15865,-0.00033571854321060544,-4.940567438438978e-05,-0.00028631286882621566,-0.8562189062253327,0.5095238095238095,-7.047161393014347e-05
AVAXUSDT,ETHUSDT,up,1096,16029,0.0002549927744836064,-9.27255892062973e-05,0.0003477183636899037,0.9706733029641819,0.4954379562043796,-7.047161393014347e-05
AVAXUSDT,SOLUSDT,up,1294,15831,-0.00010814126553371037,-6.739255833194903e-05,-4.074870720176134e-05,-0.12603686698999325,0.4992272024729521,-7.047161393014347e-05
AVAXUSDT,XRPUSDT,up,1097,16028,0.0004323328889421057,-0.00010488492436506092,0.0005372178133071666,1.5731204363846463,0.5195989061075661,-7.047161393014347e-05
BTCUSDT,ADAUSDT,up,1358,17874,0.00015846564556582171,-1.6209191778404843e-05,0.00017467483734422655,1.0843119364315212,0.5338733431516937,-3.87514284363677e-06
