target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ADAUSDT,AVAXUSDT,down,1674,18761,-2.2011447784841826e-05,-1.277662541526139e-05,-9.234822369580436e-06,-0.037736591915786495,0.4922341696535245,-1.3533126156473891e-05
ADAUSDT,BTCUSDT,down,1373,19062,0.00026014305332013884,-3.3245506516425026e-05,0.0002933885598365639,0.8702909024429154,0.47997086671522216,-1.3533126156473891e-05
ADAUSDT,DOGEUSDT,down,1697,18738,0.0005953613989735641,-6.867743233352984e-05,0.000664038831307094,2.095840203456726,0.5109015910430171,-1.3533126156473891e-05
ADAUSDT,ETHUSDT,down,1625,18810,-0.00011048972851067211,-5.157024145545013e-06,-0.0001053327043651271,-0.315555159518846,0.4929230769230769,-1.3533126156473891e-05
ADAUSDT,SOLUSDT,down,1797,18638,-5.035536701910242e-05,-9.982875763183654e-06,-4.037249125591877e-05,-0.17120587408257648,0.4952698942682248,-1.3533126156473891e-05
ADAUSDT,XRPUSDT,down,1672,18763,-0.00025994554923157166,8.425066636872754e-06,-0.00026837061586844444,-1.1350659113797124,0.4838516746411483,-1.3533126156473891e-05
AVAXUSDT,ADAUSDT,down,1573,15673,0.00021279974195543986,-2.9070297194753173e-05,0.00024187003915019303,1.0462022989838893,0.48951048951048953,-7.009438353094066e-06
AVAXUSDT,BTCUSDT,down,1160,16086,0.0003271421906389994,-3.110591290430806e-05,0.0003582481035433075,1.267332790152253,0.4862068965517241,-7.009438353094066e-06
AVAXUSDT,DOGEUSDT,down,1610,15636,0.0006150364039402619,-7.105995038253273e-05,0.0006860963543227946,2.6183762503763406,0.506832298136646,-7.009438353094066e-06
AVAXUSDT,ETHUSDT,down,1448,15798,0.00012776171066105612,-1.9362180711145055e-05,0.00014712389137220118,0.48627428881557755,0.5020718232044199,-7.009438353094066e-06
AVAXUSDT,SOLUSDT,down,1672,15574,-5.88332509012117e-06,-7.130336091355963e-06,1.247011001234793e-06,0.005565505343701725,0.4868421052631579,-7.009438353094066e-06
AVAXUSDT,XRPUSDT,down,1578,15668,-6.090593870281143e-06,-7.101979621531542e-06,1.0113857512503997e-06,0.004239148468817794,0.4892268694550063,-7.009438353094066e-06
BTCUSDT,ADAUSDT,down,1692,19938,-3.2275325139899384e-05,2.0652384205616118e-07,-3.248184898195555e-05,-0.2747119594803269,0.5029550827423168,-2.334358658057985e-06
BTCUSDT,AVAXUSDT,down,1688,19942,6.193550724794057e-05,-7.774511784591195e-06,6.971001903253177e-05,0.575712338986485,0.49881516587677727,-2.334358658057985e-06
BTCUSDT,DOGEUSDT,down,1721,19909,0.00018934562020617827,-1.890381185135502e-05,0.00020824943205753328,1.6826737051421676,0.5212085996513655,-2.334358658057985e-06
BTCUSDT,ETHUSDT,down,1693,19937,0.00014940568446681325,-1.5219742266946334e-05,0.00016462542673375958,1.3654853345951625,0.5062020082693444,-2.334358658057985e-06
BTCUSDT,SOLUSDT,down,1827,19803,-0.00013143674985677804,9.576466404814385e-06,-0.00014101321626159243,-1.182667862336186,0.5112205801860974,-2.334358658057985e-06
BTCUSDT,XRPUSDT,down,1678,19952,-0.00011319125225809318,6.9889105611109755e-06,-0.00012018016281920416,-0.9775276856024607,0.5125148986889154,-2.334358658057985e-06
DOGEUSDT,ADAUSDT,down,1692,19935,0.00021742162170754951,2.252544128849977e-06,0.00021516907757869954,0.9904391203632882,0.5011820330969267,1.9086412869921767e-05
DOGEUSDT,AVAXUSDT,down,1688,19939,0.0001891816790460951,4.686452525602575e-06,0.0001844952265204925,0.7896533696866918,0.5195497630331753,1.9086412869921767e-05
DOGEUSDT,BTCUSDT,down,1454,20173,0.0001903622523654463,6.741443325159336e-06,0.00018362080904028695,0.8097045945200847,0.4786795048143054,1.9086412869921767e-05
DOGEUSDT,ETHUSDT,down,1692,19935,0.00029752789738359274,-4.546543829206982e-06,0.00030207444121279974,1.0938691942393532,0.5224586288416075,1.9086412869921767e-05
DOGEUSDT,SOLUSDT,down,1827,19800,8.916442722075441e-06,2.002482375174574e-05,-1.1108381029670299e-05,-0.04983578485380838,0.4942528735632184,1.9086412869921767e-05
DOGEUSDT,XRPUSDT,down,1678,19949,-6.314440253339944e-05,2.600321613057507e-05,-8.914761866397451e-05,-0.37655768163188647,0.5107270560190703,1.9086412869921767e-05
ETHUSDT,ADAUSDT,down,1692,19938,-1.0793639104351833e-05,4.273937496375228e-06,-1.5067576600727061e-05,-0.08413457370774503,0.5041371158392435,3.0952810188703588e-06
ETHUSDT,AVAXUSDT,down,1688,19942,0.00025836956961822427,-1.8512531595496777e-05,0.00027688210121372105,1.4563178043421618,0.5082938388625592,3.0952810188703588e-06
ETHUSDT,BTCUSDT,down,1454,20176,0.00010963389953111421,-4.5825119686793306e-06,0.00011421641149979354,0.6198398740643652,0.4951856946354883,3.0952810188703588e-06
ETHUSDT,DOGEUSDT,down,1721,19909,0.0003150601361106417,-2.3871995871628325e-05,0.00033893213198227,1.7176296449757746,0.5241138872748402,3.0952810188703588e-06
ETHUSDT,SOLUSDT,down,1827,19803,-0.00018884870844590492,2.0803793302471057e-05,-0.00020965250174837598,-1.2144268234019588,0.5024630541871922,3.0952810188703588e-06
ETHUSDT,XRPUSDT,down,1678,19952,-0.00010330825494004867,1.2044014646530056e-05,-0.00011535226958657872,-0.6476742374318655,0.5107270560190703,3.0952810188703588e-06
SOLUSDT,ADAUSDT,down,1692,19938,-0.00011663124657382389,-1.668012147141751e-05,-9.995112510240639e-05,-0.5243439600765019,0.49645390070921985,-2.4498767041148054e-05
SOLUSDT,AVAXUSDT,down,1688,19942,-9.231283560309513e-05,-1.875861320840476e-05,-7.355422239469037e-05,-0.3786977258701247,0.4928909952606635,-2.4498767041148054e-05
SOLUSDT,BTCUSDT,down,1454,20176,-0.00014656085789414839,-1.5702262278050196e-05,-0.0001308585956160982,-0.6652649112372527,0.4621733149931224,-2.4498767041148054e-05
SOLUSDT,DOGEUSDT,down,1721,19909,0.0001646229245082509,-4.0847073392874186e-05,0.00020546999790112508,0.9658266244377595,0.5008715862870424,-2.4498767041148054e-05
SOLUSDT,ETHUSDT,down,1693,19937,8.208601332778816e-05,-3.354967907227654e-05,0.00011563569240006469,0.5782168438989427,0.5050206733608978,-2.4498767041148054e-05
SOLUSDT,XRPUSDT,down,1678,19952,-0.00030164029598293195,-1.1906532899294634e-06,-0.0003004496426930025,-1.4480324515251874,0.49821215733015495,-2.4498767041148054e-05
XRPUSDT,ADAUSDT,down,1692,19938,-3.682041290995535e-05,6.311000213836981e-06,-4.313141312379233e-05,-0.205518521583405,0.49113475177304966,2.937058882100634e-06
