target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ADAUSDT,AVAXUSDT,down,2115,23826,0.00026965455838494216,-7.220024522835706e-05,0.0003418548036132992,1.8304343377586483,0.48557919621749407,-4.432842418668068e-05
ADAUSDT,BTCUSDT,down,2289,23652,-3.598050766315299e-05,-4.513632123227319e-05,9.155813569120204e-06,0.059164200273549836,0.4831804281345566,-4.432842418668068e-05
ADAUSDT,DOGEUSDT,down,1940,24001,0.0001613695219796233,-6.095498206187876e-05,0.00022232450404150207,1.217873209740706,0.47577319587628863,-4.432842418668068e-05
ADAUSDT,ETHUSDT,down,2341,23600,9.756203230230914e-05,-5.840323599349105e-05,0.0001559652682958002,0.9857592985545803,0.4908158906450235,-4.432842418668068e-05
ADAUSDT,SOLUSDT,down,2229,23712,0.00036878804281328866,-8.316262648690551e-05,0.00045195066930019416,2.7285261677830315,0.4948407357559444,-4.432842418668068e-05
ADAUSDT,XRPUSDT,down,1908,24033,0.0002097223389440363,-6.449772706411619e-05,0.0002742200660081525,1.499422427337982,0.4889937106918239,-4.432842418668068e-05
AVAXUSDT,ADAUSDT,down,1877,20131,0.00045420860565253404,-2.6143528578110017e-05,0.00048035213423064404,1.9185924097220501,0.48907831646244004,1.4824344738452997e-05
AVAXUSDT,BTCUSDT,down,1808,20200,-8.631337041961323e-05,2.387667092685814e-05,-0.00011019004134647137,-0.4471666963276454,0.48008849557522126,1.4824344738452997e-05
AVAXUSDT,DOGEUSDT,down,1704,20304,0.00022342151283198436,-2.682036980980486e-06,0.00022610354981296484,0.8648405707348672,0.47769953051643194,1.4824344738452997e-05
AVAXUSDT,ETHUSDT,down,2069,19939,0.0001304496631083562,2.8263115518674325e-06,0.00012762335155648878,0.5730130792667336,0.5045915901401643,1.4824344738452997e-05
AVAXUSDT,SOLUSDT,down,2006,20002,0.0005602242194579578,-3.987379288215128e-05,0.000600098012340109,2.579282167037265,0.5079760717846461,1.4824344738452997e-05
AVAXUSDT,XRPUSDT,down,1696,20312,0.00028114152697231236,-7.412458189305255e-06,0.00028855398516161763,1.082990708790688,0.486438679245283,1.4824344738452997e-05
BTCUSDT,ADAUSDT,down,2160,27024,0.0002987336513005911,9.940305492198397e-06,0.00028879334580839274,2.337757293000011,0.49722222222222223,3.13148129944643e-05
BTCUSDT,AVAXUSDT,down,2163,27021,0.0001985343947577247,1.7929077627381937e-05,0.0001806053171303428,1.3086062553103222,0.4946833102172908,3.13148129944643e-05
BTCUSDT,DOGEUSDT,down,2083,27101,0.00017174193446087142,2.052149562556551e-05,0.0001512204388353059,1.2036985248652528,0.49351896303408543,3.13148129944643e-05
BTCUSDT,ETHUSDT,down,2466,26718,-7.697618213402034e-07,3.427613350856619e-05,-3.504589532990639e-05,-0.3197091734346781,0.5012165450121655,3.13148129944643e-05
BTCUSDT,SOLUSDT,down,2380,26804,0.00022156958562247274,1.4421574714556078e-05,0.00020714801090791665,1.8179409121423722,0.5189075630252101,3.13148129944643e-05
BTCUSDT,XRPUSDT,down,2040,27144,3.037196955060936e-06,3.3440009602200184e-05,-3.040281264713925e-05,-0.25025960600635466,0.4965686274509804,3.13148129944643e-05
DOGEUSDT,ADAUSDT,down,2113,24954,0.0003588271765501316,-3.203713271038585e-05,0.00039086430926051747,2.149673553691226,0.48840511121628016,-1.524098925057862e-06
DOGEUSDT,AVAXUSDT,down,2124,24943,0.00017146634066517226,-1.6254953019980238e-05,0.0001877212936851525,0.9122652770600497,0.512241054613936,-1.524098925057862e-06
DOGEUSDT,BTCUSDT,down,2382,24685,-2.6049159442044207e-05,8.424675789510762e-07,-2.6891627020995283e-05,-0.1586194371703589,0.5037783375314862,-1.524098925057862e-06
DOGEUSDT,ETHUSDT,down,2402,24665,-6.103669886145543e-05,4.271533146591322e-06,-6.530823200804676e-05,-0.4013237342170809,0.4970857618651124,-1.524098925057862e-06
DOGEUSDT,SOLUSDT,down,2287,24780,0.00019236963082491408,-1.9418972207470517e-05,0.00021178860303238458,1.1908746367095007,0.5041539134236992,-1.524098925057862e-06
DOGEUSDT,XRPUSDT,down,1959,25108,-0.00013199119172036908,8.655327344896521e-06,-0.0001406465190652656,-0.7344611247170333,0.49157733537519144,-1.524098925057862e-06
ETHUSDT,ADAUSDT,down,2160,27024,0.0004140152097398646,1.7395983831812928e-05,0.00039661922590805167,2.6618100186858435,0.5037037037037037,4.675102522303385e-05
ETHUSDT,AVAXUSDT,down,2163,27021,0.00015921159469026535,3.774868586632531e-05,0.00012146290882394004,0.7472450854851065,0.5043920480813685,4.675102522303385e-05
ETHUSDT,BTCUSDT,down,2540,26644,7.95632934215391e-05,4.362299785386242e-05,3.5940295567676675e-05,0.29058597949851045,0.4933070866141732,4.675102522303385e-05
ETHUSDT,DOGEUSDT,down,2083,27101,0.00026914233301985485,2.9657888654612825e-05,0.00023948444436524202,1.5511239507472905,0.49639942390782527,4.675102522303385e-05
ETHUSDT,SOLUSDT,down,2380,26804,0.00031881835177567316,2.2593427954145546e-05,0.0002962249238215276,2.153054246237349,0.5138655462184873,4.675102522303385e-05
ETHUSDT,XRPUSDT,down,2040,27144,0.00013739692804648734,3.993855684107667e-05,9.745837120541068e-05,0.6480413641111251,0.5053921568627451,4.675102522303385e-05
SOLUSDT,ADAUSDT,down,2141,25849,0.0002680730344723472,-5.4492535043870983e-05,0.0003225655695162182,1.404355466249976,0.48435310602522186,-2.9818977189843767e-05
SOLUSDT,AVAXUSDT,down,2152,25838,0.0001965707466396791,-4.8674565303518706e-05,0.0002452453119431978,0.9541724713509173,0.4893122676579926,-2.9818977189843767e-05
SOLUSDT,BTCUSDT,down,2460,25530,-4.225749950959384e-05,-2.8620435673722112e-05,-1.363706383587173e-05,-0.07120202781884483,0.4739837398373984,-2.9818977189843767e-05
SOLUSDT,DOGEUSDT,down,2037,25953,9.23955621199185e-06,-3.288460476814064e-05,4.2124160980132496e-05,0.18641126735312713,0.4634266077565047,-2.9818977189843767e-05
SOLUSDT,ETHUSDT,down,2435,25555,-9.000949878850853e-05,-2.4083742594158023e-05,-6.592575619435051e-05,-0.3291601004822332,0.4878850102669405,-2.9818977189843767e-05
SOLUSDT,XRPUSDT,down,2012,25978,1.1539652577490632e-05,-3.3022209274372086e-05,4.456186185186272e-05,0.1930552708026968,0.4885685884691849,-2.9818977189843767e-05
XRPUSDT,ADAUSDT,down,2159,26856,0.0007344549695515628,0.00014994620847088048,0.0005845087610806823,2.8857356370098697,0.5159796201945345,0.00019343938149080786
XRPUSDT,AVAXUSDT,down,2163,26852,0.0002868661225092216,0.00018591360907821926,0.00010095251343100235,0.4498399529057812,0.5108645399907535,0.00019343938149080786
XRPUSDT,BTCUSDT,down,2522,26493,2.656703681281895e-05,0.00020932478719336658,-0.00018275775038054763,-1.2143827628516597,0.49881046788263284,0.00019343938149080786
XRPUSDT,DOGEUSDT,down,2080,26935,0.00036570282673363243,0.00018013669108408518,0.00018556613564954725,1.1037948564233655,0.48701923076923076,0.00019343938149080786
XRPUSDT,ETHUSDT,down,2463,26552,0.00038677825354259296,0.0001755050020894992,0.00021127325145309375,1.1654617777811482,0.5196914332115307,0.00019343938149080786
XRPUSDT,SOLUSDT,down,2376,26639,0.00045523146360066757,0.0001700894814535307,0.0002851419821471369,1.6354539621071313,0.5130471380471381,0.00019343938149080786
ADAUSDT,AVAXUSDT,up,1980,23961,0.0004757708888488487,-8.730645681513306e-05,0.0005630773456639817,2.5975495308910115,0.5237373737373737,-4.432842418668068e-05
ADAUSDT,BTCUSDT,up,1788,24153,-0.0001010416374750593,-4.0130054404060653e-05,-6.091158307099864e-05,-0.3546437523624746,0.48713646532438476,-4.432842418668068e-05
ADAUSDT,DOGEUSDT,up,2004,23937,-6.84301856735093e-05,-4.23106303938242e-05,-2.6119555279685106e-05,-0.13028181800769556,0.5229540918163673,-4.432842418668068e-05
ADAUSDT,ETHUSDT,up,1906,24035,2.7192926309264563e-05,-5.0000140186067855e-05,7.719306649533241e-05,0.40346862686989954,0.5026232948583421,-4.432842418668068e-05
ADAUSDT,SOLUSDT,up,2097,23844,5.984083246078507e-05,-5.3489761679959294e-05,0.00011333059414074436,0.6180106851779414,0.49690033381020504,-4.432842418668068e-05
ADAUSDT,XRPUSDT,up,1686,24255,0.00010430812097690966,-5.466036461734703e-05,0.0001589684855942567,0.7838890860612149,0.5005931198102017,-4.432842418668068e-05
AVAXUSDT,ADAUSDT,up,1794,20214,0.0006954642027485023,-4.5582695197731255e-05,0.0007410468979462335,2.7247885052249363,0.5273132664437012,1.4824344738452997e-05
AVAXUSDT,BTCUSDT,up,1439,20569,-0.0006150127466281549,5.8887525956623496e-05,-0.0006739002725847784,-2.77256278594301,0.4718554551772064,1.4824344738452997e-05
AVAXUSDT,DOGEUSDT,up,1771,20237,-0.0002930671825797613,4.1768847129151106e-05,-0.0003348360297089124,-1.2741126859729228,0.5059288537549407,1.4824344738452997e-05
AVAXUSDT,ETHUSDT,up,1629,20379,0.00021620272752477708,-1.272882091073544e-06,0.00021747560961585063,0.8020373315377297,0.4978514426028238,1.4824344738452997e-05
AVAXUSDT,SOLUSDT,up,1888,20120,0.00020840983426572134,-3.341132608837381e-06,0.0002117509668745587,0.8491148259464779,0.513771186440678,1.4824344738452997e-05
AVAXUSDT,XRPUSDT,up,1516,20492,0.00037034881245046666,-1.1477387305828324e-05,0.000381826199756295,1.425336454213559,0.5164907651715039,1.4824344738452997e-05
BTCUSDT,ADAUSDT,up,2090,27094,0.0001509470137239235,2.2086522615614018e-05,0.00012886049110830947,1.0070169085720289,0.539712918660287,3.13148129944643e-05
BTCUSDT,AVAXUSDT,up,2027,27157,0.00016560116504355486,2.1291672161400768e-05,0.0001443094928821541,0.9589923673381114,0.5500740009866798,3.13148129944643e-05
BTCUSDT,DOGEUSDT,up,2116,27068,-0.0002025056402323742,4.9593373620590735e-05,-0.00025209901385296493,-1.9872886868143445,0.5226843100189036,3.13148129944643e-05
BTCUSDT,ETHUSDT,up,2047,27137,9.09935966321357e-05,2.6813118993420957e-05,6.418047763871475e-05,0.5075419571596789,0.5236932095749878,3.13148129944643e-05
BTCUSDT,SOLUSDT,up,2234,26950,-5.377069122687837e-07,3.395520369842132e-05,-3.4492910610690105e-05,-0.28717804724381885,0.5116383169203222,3.13148129944643e-05
BTCUSDT,XRPUSDT,up,1847,27337,7.479674390360135e-05,2.8376995150912468e-05,4.641974875268888e-05,0.35313092180439026,0.531672983216026,3.13148129944643e-05
DOGEUSDT,ADAUSDT,up,2033,25034,0.0003243611377911833,-2.798909398154577e-05,0.0003523502317727291,1.6386142292771797,0.5479586817511067,-1.524098925057862e-06
DOGEUSDT,AVAXUSDT,up,1993,25074,0.00018126202649844912,-1.6052803877161596e-05,0.00019731483037561072,0.7930477729005697,0.5308580030105369,-1.524098925057862e-06
DOGEUSDT,BTCUSDT,up,1885,25182,2.1744725482964014e-05,-3.2658880605165887e-06,2.5010613543480604e-05,0.13411299797626552,0.5023872679045093,-1.524098925057862e-06
DOGEUSDT,ETHUSDT,up,1990,25077,-4.6981485038289504e-05,2.083198533383371e-06,-4.9064683571672875e-05,-0.23363768069830906,0.5130653266331658,-1.524098925057862e-06
DOGEUSDT,SOLUSDT,up,2155,24912,6.829181627445379e-05,-7.5634894699738705e-06,7.585530574442766e-05,0.3676320665492336,0.5132250580046404,-1.524098925057862e-06
DOGEUSDT,XRPUSDT,up,1747,25320,8.079671051677357e-05,-7.203974679200046e-06,8.80006851959736e-05,0.39219954710720606,0.5300515168860904,-1.524098925057862e-06
ETHUSDT,ADAUSDT,up,2090,27094,7.690304710410454e-05,4.442513293206768e-05,3.2477914172036865e-05,0.20842412588340406,0.5354066985645933,4.675102522303385e-05
