target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ADAUSDT,AVAXUSDT,down,439,5359,0.0002840643558239944,5.527315598094804e-06,0.0002785370402258996,0.7037216768368095,0.5284738041002278,2.6616960416854715e-05
ADAUSDT,BTCUSDT,down,350,5448,0.0014623844410145519,-6.562213984180796e-05,0.00152800658085636,1.4366342968574013,0.4857142857142857,2.6616960416854715e-05
ADAUSDT,DOGEUSDT,down,390,5408,0.002249125505433553,-0.00013366009811800335,0.002382785603551556,2.4740451311929763,0.5538461538461539,2.6616960416854715e-05
ADAUSDT,ETHUSDT,down,502,5296,-0.0010004934546878788,0.0001239752361688517,-0.0011244686908567305,-1.4172852846933794,0.46215139442231074,2.6616960416854715e-05
ADAUSDT,SOLUSDT,down,465,5333,0.0005558301738999213,-1.9526700612514536e-05,0.0005753568745124358,1.3206001816211612,0.524731182795699,2.6616960416854715e-05
ADAUSDT,XRPUSDT,down,436,5362,0.00038233059027414055,-2.3071616677735423e-06,0.00038463775194191407,0.9322026186226132,0.5252293577981652,2.6616960416854715e-05
AVAXUSDT,ADAUSDT,down,426,4780,0.001182975971671986,-4.8826343644817405e-05,0.0012318023153168034,2.8683616054032988,0.528169014084507,5.1970388265470324e-05
AVAXUSDT,BTCUSDT,down,317,4889,0.0008429650526387453,6.827407698008468e-07,0.0008422823118689445,1.1200222387342413,0.4889589905362776,5.1970388265470324e-05
AVAXUSDT,DOGEUSDT,down,381,4825,0.0016814581692857417,-7.670004584203707e-05,0.0017581582151277788,2.814633862181462,0.5564304461942258,5.1970388265470324e-05
AVAXUSDT,ETHUSDT,down,468,4738,-0.0006221964125605149,0.00011856179028880535,-0.0007407582028493202,-1.098478277463312,0.4807692307692308,5.1970388265470324e-05
AVAXUSDT,SOLUSDT,down,447,4759,0.0003255430091072057,2.6274451825828416e-05,0.0002992685572813773,0.7330312884541361,0.5033557046979866,5.1970388265470324e-05
AVAXUSDT,XRPUSDT,down,427,4779,0.0006657073204992396,-2.8665378830585455e-06,0.0006685738583822982,1.507087658853273,0.522248243559719,5.1970388265470324e-05
BTCUSDT,ADAUSDT,down,436,5388,0.00024725988876632583,-1.5249738304815004e-05,0.00026250962707114085,1.5273995515606853,0.518348623853211,4.402424710812989e-06
BTCUSDT,AVAXUSDT,down,439,5385,-4.8635450161319744e-05,8.726218038364747e-06,-5.736166819968449e-05,-0.32418227978693387,0.4715261958997722,4.402424710812989e-06
BTCUSDT,DOGEUSDT,down,390,5434,0.0007042443485591773,-4.5825464560600725e-05,0.000750069813119778,3.5010757710112976,0.5846153846153846,4.402424710812989e-06
BTCUSDT,ETHUSDT,down,502,5322,-0.0003079072138909013,3.386116927640122e-05,-0.0003417683831673025,-1.8435479047064696,0.46215139442231074,4.402424710812989e-06
BTCUSDT,SOLUSDT,down,465,5359,7.113285565755618e-05,-1.3877694280628502e-06,7.252062508561904e-05,0.4487010035457884,0.535483870967742,4.402424710812989e-06
BTCUSDT,XRPUSDT,down,436,5388,-7.158164275228141e-06,5.337914094241712e-06,-1.2496078369469853e-05,-0.06856068757496221,0.5229357798165137,4.402424710812989e-06
DOGEUSDT,ADAUSDT,down,436,5388,0.0011370152624898796,-3.8827402982751455e-06,0.0011408980027881547,2.76016403912851,0.555045871559633,8.152789315221172e-05
DOGEUSDT,AVAXUSDT,down,439,5385,0.0005181542100480727,4.593291578595673e-05,0.000472221294262116,1.0903670986373561,0.5261958997722096,8.152789315221172e-05
DOGEUSDT,BTCUSDT,down,350,5474,0.0009909693351533443,2.3379463356742902e-05,0.0009675898717966014,1.6798441471447636,0.5114285714285715,8.152789315221172e-05
DOGEUSDT,ETHUSDT,down,502,5322,-0.0005394097150247432,0.00014009810722677608,-0.0006795078222515192,-1.1110250002318993,0.5119521912350598,8.152789315221172e-05
DOGEUSDT,SOLUSDT,down,465,5359,0.0006622914540559607,3.113508557239398e-05,0.0006311563684835667,1.4799487753510827,0.5311827956989247,8.152789315221172e-05
DOGEUSDT,XRPUSDT,down,436,5388,0.0006266396264012962,3.741714413650999e-05,0.0005892224822647862,1.291631037465401,0.5435779816513762,8.152789315221172e-05
ETHUSDT,ADAUSDT,down,436,5388,0.0004449947630784324,5.8121673611940114e-05,0.0003868730894664923,1.0769416592981171,0.5389908256880734,8.708401341403331e-05
ETHUSDT,AVAXUSDT,down,439,5385,0.00027024289159949526,7.215239827505136e-05,0.0001980904933244439,0.6159599653053293,0.5239179954441914,8.708401341403331e-05
ETHUSDT,BTCUSDT,down,350,5474,0.0005540220070493892,5.722864297699012e-05,0.0004967933640723991,1.1524617883985402,0.5228571428571429,8.708401341403331e-05
ETHUSDT,DOGEUSDT,down,390,5434,0.0010765277964448405,1.6071301713257638e-05,0.001060456494731583,2.5058868663881175,0.5923076923076923,8.708401341403331e-05
ETHUSDT,SOLUSDT,down,465,5359,5.098068789117496e-05,9.021669607276233e-05,-3.923600818158737e-05,-0.12158392210518217,0.5333333333333333,8.708401341403331e-05
ETHUSDT,XRPUSDT,down,436,5388,6.569599137621574e-05,8.881474422481439e-05,-2.3118752848598652e-05,-0.06768541086847978,0.5252293577981652,8.708401341403331e-05
SOLUSDT,ADAUSDT,down,436,5388,0.0004764149721391957,-6.422025294034075e-07,0.0004770571746685991,1.4634917812368242,0.536697247706422,3.507155573905626e-05
SOLUSDT,AVAXUSDT,down,439,5385,-0.00016602093894592306,5.1465168583384194e-05,-0.00021748610752930726,-0.6577675295065564,0.5034168564920274,3.507155573905626e-05
SOLUSDT,BTCUSDT,down,350,5474,0.0001451746283865415,2.8031717334485618e-05,0.00011714291105205588,0.23405164503950315,0.5028571428571429,3.507155573905626e-05
SOLUSDT,DOGEUSDT,down,390,5434,0.001168880912578728,-4.630232154608761e-05,0.0012151832341248156,2.6537062481571914,0.558974358974359,3.507155573905626e-05
SOLUSDT,ETHUSDT,down,502,5322,-0.0004949728471071803,8.506822808569491e-05,-0.0005800410751928753,-1.527063626591293,0.5119521912350598,3.507155573905626e-05
SOLUSDT,XRPUSDT,down,436,5388,-4.803904037476129e-05,4.1796912068979164e-05,-8.983595244374046e-05,-0.2661971586243055,0.5160550458715596,3.507155573905626e-05
XRPUSDT,ADAUSDT,down,436,5388,0.0006950684477479298,-0.00014755352018551259,0.0008426219679334424,2.490055554122481,0.5458715596330275,-8.447261736631942e-05
XRPUSDT,AVAXUSDT,down,439,5385,0.00019100001315637322,-0.00010692990330865226,0.00029792991646502545,0.7871912293211072,0.5193621867881549,-8.447261736631942e-05
XRPUSDT,BTCUSDT,down,350,5474,0.0008623314606996339,-0.00014500996251120134,0.0010073414232108352,1.5651480225600916,0.49142857142857144,-8.447261736631942e-05
XRPUSDT,DOGEUSDT,down,390,5434,0.0014050379218356825,-0.00019137528764397505,0.0015964132094796574,2.611567373590514,0.5512820512820513,-8.447261736631942e-05
XRPUSDT,ETHUSDT,down,502,5322,-0.00048012079128444634,-4.715292865777006e-05,-0.0004329678626266763,-0.8302982606534487,0.5079681274900398,-8.447261736631942e-05
XRPUSDT,SOLUSDT,down,465,5359,0.0003210441907320047,-0.00011965927826680845,0.0004407034689988132,1.3831001207190963,0.5225806451612903,-8.447261736631942e-05
ADAUSDT,AVAXUSDT,up,489,5309,0.0006690918837516236,-3.2559953787459106e-05,0.0007016518375390827,0.644504721851491,0.5480572597137015,2.6616960416854715e-05
ADAUSDT,BTCUSDT,up,384,5414,-0.0002559278902239915,4.6657082811772506e-05,-0.000302584973035764,-0.2989002962077671,0.5755208333333334,2.6616960416854715e-05
ADAUSDT,DOGEUSDT,up,565,5233,-0.0009844440841074694,0.00013577986700126957,-0.001120223951108739,-1.5027233886217546,0.5079646017699115,2.6616960416854715e-05
ADAUSDT,ETHUSDT,up,384,5414,0.0005858049494851934,-1.3044692298742338e-05,0.0005988496417839357,1.2694645442660328,0.5494791666666666,2.6616960416854715e-05
ADAUSDT,SOLUSDT,up,400,5398,0.0003246779871213578,4.530185559166388e-06,0.0003201478015621914,0.3345712658471573,0.58,2.6616960416854715e-05
ADAUSDT,XRPUSDT,up,453,5345,0.00032141215794379013,1.6324469501190861e-06,0.00031977971099367107,0.2822139863067281,0.5121412803532008,2.6616960416854715e-05
AVAXUSDT,ADAUSDT,up,423,4783,-0.0004952937278721094,0.00010036945185029075,-0.0005956631797224001,-0.802870049311874,0.5011820330969267,5.1970388265470324e-05
AVAXUSDT,BTCUSDT,up,360,4846,0.000176711595748273,4.2703604383132565e-05,0.00013400799136514043,0.1671706286996294,0.5777777777777777,5.1970388265470324e-05
AVAXUSDT,DOGEUSDT,up,558,4648,-0.0005786249669400172,0.00012767439175184346,-0.0007062993586918607,-1.1691043056296013,0.5,5.1970388265470324e-05
AVAXUSDT,ETHUSDT,up,368,4838,0.00012449861120719053,4.6453566016079435e-05,7.80450451911111e-05,0.174373749414814,0.5,5.1970388265470324e-05
AVAXUSDT,SOLUSDT,up,387,4819,0.0004985540449111559,1.610654200652029e-05,0.0004824475029046356,0.6311679140958639,0.5684754521963824,5.1970388265470324e-05
AVAXUSDT,XRPUSDT,up,441,4765,0.00025685027568600265,3.300878693232143e-05,0.00022384148875368123,0.29158062208981744,0.5170068027210885,5.1970388265470324e-05
BTCUSDT,ADAUSDT,up,426,5398,-0.0001548226693083522,1.6968169440743385e-05,-0.00017179083874909558,-0.7719725435504796,0.5070422535211268,4.402424710812989e-06
BTCUSDT,AVAXUSDT,up,489,5335,0.00014341057791898321,-8.338903671341701e-06,0.00015174948159032492,0.6649237357007722,0.5501022494887525,4.402424710812989e-06
BTCUSDT,DOGEUSDT,up,565,5259,-0.0003557271279845695,4.309289766629713e-05,-0.00039882002565086666,-2.033027848734458,0.511504424778761,4.402424710812989e-06
BTCUSDT,ETHUSDT,up,385,5439,0.00013814437998835522,-5.064509060441625e-06,0.00014320888904879685,0.8016025667299677,0.5194805194805194,4.402424710812989e-06
BTCUSDT,SOLUSDT,up,400,5424,0.00022770119876827026,-1.2065036502863817e-05,0.00023976623527113407,1.1063907987879646,0.5525,4.402424710812989e-06
BTCUSDT,XRPUSDT,up,453,5371,0.00014832039983089822,-7.735881513241877e-06,0.0001560562813441401,0.7012968248665425,0.5275938189845475,4.402424710812989e-06
DOGEUSDT,ADAUSDT,up,426,5398,-0.0003090906358355395,0.00011235477224609498,-0.00042144540808163446,-0.5861678628928939,0.5352112676056338,8.152789315221172e-05
DOGEUSDT,AVAXUSDT,up,489,5335,0.0002156844468177302,6.923125683685302e-05,0.00014645318998087717,0.20404133961029408,0.5480572597137015,8.152789315221172e-05
DOGEUSDT,BTCUSDT,up,384,5440,8.512056769526054e-05,8.127429259623181e-05,3.846275099028725e-06,0.005016780459050882,0.5651041666666666,8.152789315221172e-05
DOGEUSDT,ETHUSDT,up,385,5439,0.0006187327341693903,4.350181045472804e-05,0.0005752309237146623,1.2092961696338642,0.5506493506493506,8.152789315221172e-05
DOGEUSDT,SOLUSDT,up,400,5424,0.0006519206157772743,3.946353307661712e-05,0.0006124570827006571,0.8519319761134616,0.5875,8.152789315221172e-05
DOGEUSDT,XRPUSDT,up,453,5371,0.00042855865237799803,5.225868184532637e-05,0.00037629997053267167,0.5227109756417431,0.5496688741721855,8.152789315221172e-05
ETHUSDT,ADAUSDT,up,426,5398,-0.0004194877726187669,0.0001270617053091746,-0.0005465494779279415,-1.4024970040800502,0.5187793427230047,8.708401341403331e-05
