target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bh_fdr_05,bh_fdr_10,bh_fdr_20
AVAXUSDT,DOGEUSDT,down,3920,42506,0.00056923044792,-7.07947442128747e-06,0.0005763099223413,3.4230933806852137,0.4997448979591837,4.158151070726181e-05,0.000619128043115369,False,True,True,True
ADAUSDT,DOGEUSDT,down,4243,49174,0.0004728285258136,-3.9994523416549696e-05,0.0005128230492301,3.2446773520488894,0.5022389818524629,7.398532403881844e-07,0.0011758377037263124,False,True,True,True
ETHUSDT,DOGEUSDT,down,4419,53979,0.0003378418102143,2.3292523547520028e-05,0.0003145492866668,2.858405011869308,0.5143697669155918,4.709459378589836e-05,0.0042577656273390385,False,False,False,True
XRPUSDT,DOGEUSDT,down,4416,53796,0.0004157838169277,7.874703606580308e-05,0.0003370367808619,2.5767863454323696,0.5036231884057971,0.0001043148644222,0.009972356931341686,False,False,False,True
BTCUSDT,DOGEUSDT,down,4419,53979,0.0002224765275785,1.544872493936718e-05,0.0002070278026392,2.5696616958803125,0.5091649694501018,3.1114601508132454e-05,0.010179787240729432,False,False,False,True
ETHUSDT,DOGEUSDT,up,4517,53881,-0.0001851123749935,6.656117528915145e-05,-0.0002516735502827,-2.3644398534374647,0.518485720611025,4.709459378589836e-05,0.01805735920287277,False,False,False,False
AVAXUSDT,SOLUSDT,down,4294,42132,0.0003292684696649,1.226109388004255e-05,0.0003170073757849,2.1024512337460783,0.5016301816488123,4.158151070726181e-05,0.035513767222949966,False,False,False,False
AVAXUSDT,DOGEUSDT,up,4072,42354,-0.0002684285611592,7.138651171402255e-05,-0.0003398150728732,-1.9829178829004117,0.4972986247544204,4.158151070726181e-05,0.04737660279100253,False,False,False,False
AVAXUSDT,ADAUSDT,down,3988,42438,0.0003312360256711,1.436198561946778e-05,0.0003168740400516,1.952307936452553,0.4929789368104313,4.158151070726181e-05,0.050901655769133525,False,False,False,False
BTCUSDT,DOGEUSDT,up,4517,53881,-0.0001125309558223,4.315682385853286e-05,-0.0001556877796809,-1.943985137825238,0.5235775957493912,3.1114601508132454e-05,0.05189724335428347,False,False,False,False
XRPUSDT,AVAXUSDT,up,4227,53985,0.0004064516964581,8.065769318922878e-05,0.0003257940032689,1.9216470014100664,0.5561864206292879,0.0001043148644222,0.05465019019673223,False,False,False,False
DOGEUSDT,ADAUSDT,down,4352,51884,0.0002874685494809,2.802033667959489e-05,0.0002594482128013,1.8547752378539972,0.4940257352941176,4.809855387340824e-05,0.06362832950798136,False,False,False,False
XRPUSDT,ADAUSDT,down,4398,53814,0.0003290524065633,8.594797643147689e-05,0.0002431044301318,1.7845642645879891,0.5063665302410186,0.0001043148644222,0.07433202216051882,False,False,False,False
AVAXUSDT,BTCUSDT,up,3129,43297,-0.0002694664788032,6.406041592421593e-05,-0.0003335268947274,-1.782784281077762,0.4918504314477468,4.158151070726181e-05,0.07462142550157114,False,False,False,False
SOLUSDT,DOGEUSDT,down,4373,52831,0.0002471106740599,-6.8807440836235416e-06,0.0002539914181435,1.752591485361065,0.4873084838783444,1.2535808457140236e-05,0.07967215386447002,False,False,False,False
ADAUSDT,SOLUSDT,down,4640,48777,0.0002019853310626,-1.8403985394529e-05,0.0002203893164571,1.7275598886639083,0.4959051724137931,7.398532403881844e-07,0.08406715936957943,False,False,False,False
ETHUSDT,ADAUSDT,down,4399,53999,0.0002132700543762,3.355719770194952e-05,0.0001797128566743,1.6927135383842635,0.5046601500340987,4.709459378589836e-05,0.09051000703372347,False,False,False,False
ADAUSDT,AVAXUSDT,up,4148,49269,0.0003045275632102,-2.483629851741283e-05,0.0003293638617276,1.6826120377771996,0.5274831243972999,7.398532403881844e-07,0.09245021981843671,False,False,False,False
SOLUSDT,AVAXUSDT,up,4216,52988,0.0002742071796958,-8.28412249217421e-06,0.0002824913021879,1.585366574496024,0.530360531309298,1.2535808457140236e-05,0.11288307100866346,False,False,False,False
ADAUSDT,DOGEUSDT,up,4376,49041,-0.000220189973949,2.0453744143533237e-05,-0.0002406437180926,-1.507508998186602,0.5070840950639853,7.398532403881844e-07,0.1316802391535019,False,False,False,False
SOLUSDT,DOGEUSDT,up,4479,52725,-0.0001865596774123,2.9449012463005944e-05,-0.0002160086898753,-1.4751877637746773,0.5094887251618665,1.2535808457140236e-05,0.14016207023144944,False,False,False,False
BTCUSDT,ADAUSDT,down,4399,53999,0.0001347790146987,2.2669634867533632e-05,0.0001121093798312,1.3883632692435508,0.5026142305069334,3.1114601508132454e-05,0.16502645520905457,False,False,False,False
XRPUSDT,DOGEUSDT,up,4514,53698,-8.391129390314747e-05,0.0001201376674816,-0.0002040489613847,-1.385646946904624,0.5237040319007532,0.0001043148644222,0.16585473541455054,False,False,False,False
ETHUSDT,AVAXUSDT,down,4504,53894,0.0001892225508016,3.521675361075817e-05,0.0001540057971909,1.3850330878968216,0.4997779751332149,4.709459378589836e-05,0.16604235012598823,False,False,False,False
