target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bonferroni_10,bh_fdr_05,bh_fdr_10,bh_fdr_20
AVAXUSDT,DOGEUSDT,down,778,7128,0.0008803769004833,-3.337159727087932e-05,0.0009137484977542,2.375546861180031,0.5012853470437018,5.6546987506861145e-05,0.01752296721023283,False,False,False,False,False
AVAXUSDT,ADAUSDT,down,815,7091,0.0005823533466315,-3.886263471368283e-06,0.0005862396101029,1.9814200875500452,0.4944785276073619,5.6546987506861145e-05,0.04754418290302387,False,False,False,False,False
ADAUSDT,DOGEUSDT,up,1030,9707,-0.0007655765019712,2.3655826492437535e-05,-0.0007892323284637,-1.7596027583170186,0.4980582524271845,-5.205520063968875e-05,0.07847518353247884,False,False,False,False,False
SOLUSDT,XRPUSDT,down,995,10683,-0.0004127425667216,1.186796002896913e-05,-0.0004246105267506,-1.6321105589338565,0.4944723618090452,-2.431010762960824e-05,0.10265619779516344,False,False,False,False,False
SOLUSDT,DOGEUSDT,up,1041,10637,-0.0004281984642965,1.521680590713303e-05,-0.0004434152702037,-1.6200965024793463,0.5033621517771374,-2.431010762960824e-05,0.10521154862375592,False,False,False,False,False
ADAUSDT,DOGEUSDT,down,857,9880,0.0006819622367607,-0.0001157245269405,0.0007976867637012,1.6168973247715177,0.5029171528588098,-5.205520063968875e-05,0.10590044598882598,False,False,False,False,False
AVAXUSDT,DOGEUSDT,up,962,6944,-0.0005023159316677,0.0001339701050538,-0.0006362860367215,-1.6091578696684763,0.4906444906444906,5.6546987506861145e-05,0.10758182604053768,False,False,False,False,False
DOGEUSDT,AVAXUSDT,down,913,10762,0.0003840654303789,-4.748410746408435e-05,0.000431549537843,1.607515632856372,0.5235487404162102,-1.3736379151390783e-05,0.10794130288845083,False,False,False,False,False
AVAXUSDT,BTCUSDT,down,578,7328,0.0007337459067063,3.132553104939216e-06,0.0007306133536013,1.596417412495293,0.4913494809688581,5.6546987506861145e-05,0.110395631101321,False,False,False,False,False
ETHUSDT,AVAXUSDT,down,913,10765,0.0003740257335065,2.234650141817209e-05,0.0003516792320884,1.551409751008029,0.515881708652793,4.984120418377502e-05,0.12080351991121874,False,False,False,False,False
DOGEUSDT,ADAUSDT,down,923,10752,0.0003423173823847,-4.430163416421583e-05,0.000386619016549,1.4843181240788932,0.5092091007583965,-1.3736379151390783e-05,0.13772454433093917,False,False,False,False,False
BTCUSDT,SOLUSDT,down,1027,10651,-0.0001986968058811,3.205174276930237e-06,-0.000201901980158,-1.470631039107526,0.5111976630963972,-1.4550720021952882e-05,0.14139092505432904,False,False,False,False,False
BTCUSDT,SOLUSDT,up,824,10854,0.0002050822441989,-3.122453267332618e-05,0.0002363067768722,1.4703427748820916,0.5364077669902912,-1.4550720021952882e-05,0.14146894155009582,False,False,False,False,False
SOLUSDT,ETHUSDT,down,982,10696,-0.0003463809292394,5.2592217291138615e-06,-0.0003516401509685,-1.444918660526508,0.4877800407331975,-2.431010762960824e-05,0.14848073415732155,False,False,False,False,False
ETHUSDT,SOLUSDT,up,824,10854,0.0003742978213375,2.5209524385110498e-05,0.0003490882969524,1.3925931289607765,0.5473300970873787,4.984120418377502e-05,0.1637428619728336,False,False,False,False,False
ETHUSDT,DOGEUSDT,up,1041,10637,-0.0002661365798328,8.076466692339284e-05,-0.0003469012467562,-1.3852668277231184,0.5177713736791547,4.984120418377502e-05,0.16597089303882417,False,False,False,False,False
XRPUSDT,SOLUSDT,up,824,10854,0.0003579719282913,-0.0001272763624944,0.0004852482907858,1.3687156134332197,0.5364077669902912,-9.303722979985017e-05,0.1710881878122592,False,False,False,False,False
XRPUSDT,DOGEUSDT,down,875,10803,0.000303278936113,-0.0001251372617515,0.0004284161978645,1.2935377469129523,0.4971428571428571,-9.303722979985017e-05,0.19582513760884002,False,False,False,False,False
ADAUSDT,AVAXUSDT,down,903,9834,0.000259695683367,-8.068150206922426e-05,0.0003403771854362,1.2866837837596783,0.4983388704318937,-5.205520063968875e-05,0.19820452748882378,False,False,False,False,False
ADAUSDT,ETHUSDT,down,924,9813,-0.0005885987610971,-1.533825946658785e-06,-0.0005870649351505,-1.2674770673598568,0.461038961038961,-5.205520063968875e-05,0.20498475846483366,False,False,False,False,False
SOLUSDT,ADAUSDT,up,884,10794,-0.0003717138852091,4.141341266103314e-06,-0.0003758552264752,-1.2249259311833391,0.5226244343891403,-2.431010762960824e-05,0.22060312914044378,False,False,False,False,False
AVAXUSDT,ETHUSDT,up,711,7195,-0.0002714458622855,8.895878961977406e-05,-0.0003604046519053,-1.185086357439642,0.4711673699015471,5.6546987506861145e-05,0.2359833045101276,False,False,False,False,False
DOGEUSDT,BTCUSDT,down,843,10832,0.0002990020388705,-3.807523498526003e-05,0.0003370772738557,1.1808003162000604,0.4744958481613286,-1.3736379151390783e-05,0.23768205844514423,False,False,False,False,False
BTCUSDT,XRPUSDT,down,995,10683,-0.0001820278608677,1.0478716790249595e-06,-0.0001830757325467,-1.1783372566084445,0.5115577889447236,-1.4550720021952882e-05,0.23866218046886534,False,False,False,False,False
XRPUSDT,AVAXUSDT,up,969,10709,0.0003302046043076,-0.0001313341144062,0.0004615387187139,1.172721238757997,0.5572755417956656,-9.303722979985017e-05,0.24090761147644257,False,False,False,False,False
ETHUSDT,SOLUSDT,down,1027,10651,-0.0001782269130335,7.18321868503991e-05,-0.0002500590998839,-1.1675044137444386,0.5082765335929893,4.984120418377502e-05,0.2430067269119205,False,False,False,False,False
ETHUSDT,DOGEUSDT,down,875,10803,0.0003309049695609,2.707615792763702e-05,0.0003038288116333,1.1663660660505135,0.5291428571428571,4.984120418377502e-05,0.24346647230297558,False,False,False,False,False
