edge,leader,target,direction,t_5y,t_P1_winter,t_P2_recovery,t_P3_current
DOGE down → AVAX,DOGEUSDT,AVAXUSDT,down,3.4230933806852137,0.7223561484014152,2.9182000397995456,2.6183762503763406
DOGE down → ADA,DOGEUSDT,ADAUSDT,down,3.2446773520488894,0.9358546635174013,2.96348404619292,2.095840203456726
DOGE down → ETH,DOGEUSDT,ETHUSDT,down,2.858405011869308,1.8810653331070808,1.4212642300321894,1.7176296449757746
DOGE down → XRP,DOGEUSDT,XRPUSDT,down,2.5767863454323696,1.081334132356477,2.0023106791836818,1.666105456387865
DOGE down → BTC,DOGEUSDT,BTCUSDT,down,2.5696616958803125,1.2560703464838245,1.6136495121966477,1.6826737051421676
DOGE   up → ETH,DOGEUSDT,ETHUSDT,up,-2.3644398534374647,-1.8002764880079427,-1.9547141165376667,-0.6448593683874061
SOL down → AVAX,SOLUSDT,AVAXUSDT,down,2.1024512337460783,2.3435859351600747,1.0020473551500872,0.005565505343701725
DOGE   up → AVAX,DOGEUSDT,AVAXUSDT,up,-1.9829178829004117,-0.8562189062253327,-2.499190285807521,-0.6293109275072122
ADA down → AVAX,ADAUSDT,AVAXUSDT,down,1.952307936452553,0.7060013881543721,1.7259370771870717,1.0462022989838893
DOGE   up → BTC,DOGEUSDT,BTCUSDT,up,-1.943985137825238,-1.5819743185860806,-2.1326055514461477,0.23468465108560138
