target,leader,direction,event_count_h1,control_count_h1,event_mean_return_h1,control_mean_return_h1,delta_mean_return_h1,delta_t_stat_h1,event_win_rate_h1,baseline_mean_return_h1,event_count_h2,control_count_h2,event_mean_return_h2,control_mean_return_h2,delta_mean_return_h2,delta_t_stat_h2,event_win_rate_h2,baseline_mean_return_h2,same_sign,both_strong,both_strong_same_sign
ADAUSDT,AVAXUSDT,down,2115,23826,0.00026965455838494216,-7.220024522835706e-05,0.0003418548036132992,1.8304343377586483,0.48557919621749407,-4.432842418668068e-05,2313,25163,-2.7540441762672295e-05,4.980111410267244e-05,-7.734155586534474e-05,-0.3715127559942668,0.4963251188932123,4.3290303987788806e-05,False,False,False
ADAUSDT,BTCUSDT,down,2289,23652,-3.598050766315299e-05,-4.513632123227319e-05,9.155813569120204e-06,0.059164200273549836,0.4831804281345566,-4.432842418668068e-05,1713,25763,0.00010268920741171316,3.9340829098793654e-05,6.33483783129195e-05,0.22685672056127984,0.47869235259778165,4.3290303987788806e-05,True,False,False
ADAUSDT,DOGEUSDT,down,1940,24001,0.0001613695219796233,-6.095498206187876e-05,0.00022232450404150207,1.217873209740706,0.47577319587628863,-4.432842418668068e-05,2303,25173,0.0007351952072890817,-2.000993802956622e-05,0.000755205145318648,3.0555222095819934,0.5245332175423361,4.3290303987788806e-05,True,False,False
ADAUSDT,ETHUSDT,down,2341,23600,9.756203230230914e-05,-5.840323599349105e-05,0.0001559652682958002,0.9857592985545803,0.4908158906450235,-4.432842418668068e-05,2077,25399,-0.00019743168163902777,6.297531379710801e-05,-0.0002604069954361358,-0.9321019475238225,0.49590755897929706,4.3290303987788806e-05,False,False,False
ADAUSDT,SOLUSDT,down,2229,23712,0.00036878804281328866,-8.316262648690551e-05,0.00045195066930019416,2.7285261677830315,0.4948407357559444,-4.432842418668068e-05,2411,25065,4.777411393609975e-05,4.2859006729245915e-05,4.915107206853837e-06,0.02561549459890212,0.4968892575694733,4.3290303987788806e-05,True,False,False
ADAUSDT,XRPUSDT,down,1908,24033,0.0002097223389440363,-6.449772706411619e-05,0.0002742200660081525,1.499422427337982,0.4889937106918239,-4.432842418668068e-05,2130,25346,-6.280226850931184e-05,5.220599795996682e-05,-0.00011500826646927866,-0.5436816435860586,0.4934272300469484,4.3290303987788806e-05,False,False,False
AVAXUSDT,ADAUSDT,down,1877,20131,0.00045420860565253404,-2.6143528578110017e-05,0.00048035213423064404,1.9185924097220501,0.48907831646244004,1.4824344738452997e-05,2111,22307,0.00022189470277903954,5.0916273794095806e-05,0.00017097842898494372,0.8110347764710822,0.4964471814306016,6.569780641704676e-05,True,False,False
AVAXUSDT,BTCUSDT,down,1808,20200,-8.631337041961323e-05,2.387667092685814e-05,-0.00011019004134647137,-0.4471666963276454,0.48008849557522126,1.4824344738452997e-05,1505,22913,0.0002669554737047245,5.247855144092162e-05,0.00021447692226380288,0.8791221448033582,0.48903654485049836,6.569780641704676e-05,False,False,False
AVAXUSDT,DOGEUSDT,down,1704,20304,0.00022342151283198436,-2.682036980980486e-06,0.00022610354981296484,0.8648405707348672,0.47769953051643194,1.4824344738452997e-05,2216,22202,0.0008351412897025603,-1.1100984636042973e-05,0.0008462422743386032,3.86330261166502,0.5166967509025271,6.569780641704676e-05,True,False,False
AVAXUSDT,ETHUSDT,down,2069,19939,0.0001304496631083562,2.8263115518674325e-06,0.00012762335155648878,0.5730130792667336,0.5045915901401643,1.4824344738452997e-05,1908,22510,7.408068685379576e-05,6.498725395710374e-05,9.09343289669202e-06,0.03478876401189878,0.5010482180293501,6.569780641704676e-05,True,False,False
AVAXUSDT,SOLUSDT,down,2006,20002,0.0005602242194579578,-3.987379288215128e-05,0.000600098012340109,2.579282167037265,0.5079760717846461,1.4824344738452997e-05,2288,22130,0.00012677841980275947,5.9382738932794126e-05,6.739568086996535e-05,0.3439813921582824,0.49606643356643354,6.569780641704676e-05,True,False,False
AVAXUSDT,XRPUSDT,down,1696,20312,0.00028114152697231236,-7.412458189305255e-06,0.00028855398516161763,1.082990708790688,0.486438679245283,1.4824344738452997e-05,2039,22379,0.00018677701512082493,5.4666012925514345e-05,0.00013211100219531058,0.5923753866529481,0.4982834722903384,6.569780641704676e-05,True,False,False
BTCUSDT,ADAUSDT,down,2160,27024,0.0002987336513005911,9.940305492198397e-06,0.00028879334580839274,2.337757293000011,0.49722222222222223,3.13148129944643e-05,2239,26975,-2.339071065176621e-05,3.542208702838653e-05,-5.8812797680152744e-05,-0.5624113084363421,0.507815989280929,3.091459561995694e-05,False,False,False
BTCUSDT,AVAXUSDT,down,2163,27021,0.0001985343947577247,1.7929077627381937e-05,0.0001806053171303428,1.3086062553103222,0.4946833102172908,3.13148129944643e-05,2341,26873,3.7539241712769915e-06,3.3280655675081415e-05,-2.9526731503804424e-05,-0.2847418677326763,0.49551473729175566,3.091459561995694e-05,False,False,False
BTCUSDT,DOGEUSDT,down,2083,27101,0.00017174193446087142,2.052149562556551e-05,0.0001512204388353059,1.2036985248652528,0.49351896303408543,3.13148129944643e-05,2336,26878,0.00026771632101362246,1.033386675175236e-05,0.0002573824542618701,2.494953158052845,0.5231164383561644,3.091459561995694e-05,True,False,False
BTCUSDT,ETHUSDT,down,2466,26718,-7.697618213402034e-07,3.427613350856619e-05,-3.504589532990639e-05,-0.3197091734346781,0.5012165450121655,3.13148129944643e-05,2159,27055,0.00014263086983643265,2.199959151596984e-05,0.00012063127832046282,1.0902470117692362,0.5118110236220472,3.091459561995694e-05,False,False,False
BTCUSDT,SOLUSDT,down,2380,26804,0.00022156958562247274,1.4421574714556078e-05,0.00020714801090791665,1.8179409121423722,0.5189075630252101,3.13148129944643e-05,2459,26755,-2.167418918263973e-05,3.574792852332398e-05,-5.742211770596371e-05,-0.5565897512306803,0.5176901179341196,3.091459561995694e-05,False,False,False
BTCUSDT,XRPUSDT,down,2040,27144,3.037196955060936e-06,3.3440009602200184e-05,-3.040281264713925e-05,-0.25025960600635466,0.4965686274509804,3.13148129944643e-05,2145,27069,-5.829962882608896e-05,3.798410359722867e-05,-9.628373242331763e-05,-0.8636326540449955,0.5156177156177156,3.091459561995694e-05,True,False,False
DOGEUSDT,ADAUSDT,down,2113,24954,0.0003588271765501316,-3.203713271038585e-05,0.00039086430926051747,2.149673553691226,0.48840511121628016,-1.524098925057862e-06,2239,26930,0.0002201256379144534,8.367106416409208e-05,0.00013645457375036134,0.6467963095869239,0.49933005806163466,9.414525905000036e-05,True,False,False
DOGEUSDT,AVAXUSDT,down,2124,24943,0.00017146634066517226,-1.6254953019980238e-05,0.0001877212936851525,0.9122652770600497,0.512241054613936,-1.524098925057862e-06,2341,26828,0.00020380111316440272,8.457673532546572e-05,0.000119224377838937,0.5492602349650849,0.5126014523707817,9.414525905000036e-05,True,False,False
DOGEUSDT,BTCUSDT,down,2382,24685,-2.6049159442044207e-05,8.424675789510762e-07,-2.6891627020995283e-05,-0.1586194371703589,0.5037783375314862,-1.524098925057862e-06,1811,27358,0.0001896574589706454,8.782269913859282e-05,0.00010183475983205258,0.5112834756336143,0.4826062948647156,9.414525905000036e-05,False,False,False
DOGEUSDT,ETHUSDT,down,2402,24665,-6.103669886145543e-05,4.271533146591322e-06,-6.530823200804676e-05,-0.4013237342170809,0.4970857618651124,-1.524098925057862e-06,2158,27011,0.00020905199063796988,8.496497224955473e-05,0.00012408701838841513,0.5035185913163636,0.5157553290083411,9.414525905000036e-05,False,False,False
DOGEUSDT,SOLUSDT,down,2287,24780,0.00019236963082491408,-1.9418972207470517e-05,0.00021178860303238458,1.1908746367095007,0.5041539134236992,-1.524098925057862e-06,2458,26711,0.000173372373355916,8.685462047548278e-05,8.651775288043321e-05,0.4465081412153569,0.5028478437754271,9.414525905000036e-05,True,False,False
DOGEUSDT,XRPUSDT,down,1959,25108,-0.00013199119172036908,8.655327344896521e-06,-0.0001406465190652656,-0.7344611247170333,0.49157733537519144,-1.524098925057862e-06,2145,27024,5.094343332649366e-05,9.757435600740574e-05,-4.6630922680912074e-05,-0.20369038641239803,0.5118881118881119,9.414525905000036e-05,True,False,False
ETHUSDT,ADAUSDT,down,2160,27024,0.0004140152097398646,1.7395983831812928e-05,0.00039661922590805167,2.6618100186858435,0.5037037037037037,4.675102522303385e-05,2239,26975,1.96079125338146e-05,4.974776836465605e-05,-3.013985583084145e-05,-0.1995853564913437,0.5055828494863779,4.7437809536517e-05,False,False,False
ETHUSDT,AVAXUSDT,down,2163,27021,0.00015921159469026535,3.774868586632531e-05,0.00012146290882394004,0.7472450854851065,0.5043920480813685,4.675102522303385e-05,2341,26873,0.00021695159739241676,3.267087702542179e-05,0.00018428072036699497,1.2102745170691713,0.49551473729175566,4.7437809536517e-05,True,False,False
ETHUSDT,BTCUSDT,down,2540,26644,7.95632934215391e-05,4.362299785386242e-05,3.5940295567676675e-05,0.29058597949851045,0.4933070866141732,4.675102522303385e-05,1812,27402,7.023071163527117e-05,4.593059332591403e-05,2.4300118309357145e-05,0.1561580037265409,0.4922737306843267,4.7437809536517e-05,True,False,False
ETHUSDT,DOGEUSDT,down,2083,27101,0.00026914233301985485,2.9657888654612825e-05,0.00023948444436524202,1.5511239507472905,0.49639942390782527,4.675102522303385e-05,2336,26878,0.00039910080464766425,1.6874346608485164e-05,0.00038222645803917906,2.450128028792183,0.5303938356164384,4.7437809536517e-05,True,True,True
ETHUSDT,SOLUSDT,down,2380,26804,0.00031881835177567316,2.2593427954145546e-05,0.0002962249238215276,2.153054246237349,0.5138655462184873,4.675102522303385e-05,2459,26755,-4.219025233197733e-05,5.5675350337661745e-05,-9.786560266963907e-05,-0.7035799688587001,0.5095567303782025,4.7437809536517e-05,False,False,False
ETHUSDT,XRPUSDT,down,2040,27144,0.00013739692804648734,3.993855684107667e-05,9.745837120541068e-05,0.6480413641111251,0.5053921568627451,4.675102522303385e-05,2145,27069,4.0634230650313886e-06,5.087487994847669e-05,-4.68114568834453e-05,-0.3037705980020606,0.5104895104895105,4.7437809536517e-05,False,False,False
SOLUSDT,ADAUSDT,down,2141,25849,0.0002680730344723472,-5.4492535043870983e-05,0.0003225655695162182,1.404355466249976,0.48435310602522186,-2.9818977189843767e-05,2239,26975,-8.926094105778528e-05,6.49337091957125e-05,-0.00015419465025349777,-0.8392009621239757,0.4939705225547119,5.311602514294389e-05,False,False,False
SOLUSDT,AVAXUSDT,down,2152,25838,0.0001965707466396791,-4.8674565303518706e-05,0.0002452453119431978,0.9541724713509173,0.4893122676579926,-2.9818977189843767e-05,2341,26873,1.5348487653884463e-05,5.640608599442636e-05,-4.105759834054189e-05,-0.21934129607981062,0.4980777445536096,5.311602514294389e-05,False,False,False
SOLUSDT,BTCUSDT,down,2460,25530,-4.225749950959384e-05,-2.8620435673722112e-05,-1.363706383587173e-05,-0.07120202781884483,0.4739837398373984,-2.9818977189843767e-05,1812,27402,-7.145936379979287e-05,6.135376708748222e-05,-0.0001328131308872751,-0.7379017134373709,0.4624724061810154,5.311602514294389e-05,True,False,False
SOLUSDT,DOGEUSDT,down,2037,25953,9.23955621199185e-06,-3.288460476814064e-05,4.2124160980132496e-05,0.18641126735312713,0.4634266077565047,-2.9818977189843767e-05,2336,26878,0.0004545351034504903,1.822819989826688e-05,0.0004363069035522234,2.346081734808856,0.5081335616438356,5.311602514294389e-05,True,False,False
SOLUSDT,ETHUSDT,down,2435,25555,-9.000949878850853e-05,-2.4083742594158023e-05,-6.592575619435051e-05,-0.3291601004822332,0.4878850102669405,-2.9818977189843767e-05,2159,27055,1.2495342032391417e-06,5.725499220776825e-05,-5.600545800452911e-05,-0.29671754443182086,0.4969893469198703,5.311602514294389e-05,True,False,False
SOLUSDT,XRPUSDT,down,2012,25978,1.1539652577490632e-05,-3.3022209274372086e-05,4.456186185186272e-05,0.1930552708026968,0.4885685884691849,-2.9818977189843767e-05,2145,27069,-0.00013638849697107666,6.813273059695307e-05,-0.00020452122756802973,-1.026516583045827,0.4965034965034965,5.311602514294389e-05,False,False,False
XRPUSDT,ADAUSDT,down,2159,26856,0.0007344549695515628,0.00014994620847088048,0.0005845087610806823,2.8857356370098697,0.5159796201945345,0.00019343938149080786,2239,26958,-6.18650268853421e-05,2.219189216519962e-05,-8.405691905054172e-05,-0.46048619122400725,0.4970969182670835,1.574590655865911e-05,False,False,False
