target,leader,direction,event_count_h1,control_count_h1,event_mean_return_h1,control_mean_return_h1,delta_mean_return_h1,delta_t_stat_h1,event_win_rate_h1,baseline_mean_return_h1,event_count_h2,control_count_h2,event_mean_return_h2,control_mean_return_h2,delta_mean_return_h2,delta_t_stat_h2,event_win_rate_h2,baseline_mean_return_h2,same_sign,both_strong,both_strong_same_sign,sign_flip
ADAUSDT,AVAXUSDT,down,439,5359,0.0002840643558239944,5.527315598094804e-06,0.0002785370402258996,0.7037216768368095,0.5284738041002278,2.6616960416854715e-05,464,4475,0.0002366399781760343,-0.00018392017332713776,0.00042056015150317204,1.1983557681274775,0.4698275862068966,-0.00014441016921750593,True,False,False,False
ADAUSDT,BTCUSDT,down,350,5448,0.0014623844410145519,-6.562213984180796e-05,0.00152800658085636,1.4366342968574013,0.4857142857142857,2.6616960416854715e-05,423,4516,-0.000355124498580841,-0.00012467319815446547,-0.00023045130042637554,-0.7222427391853816,0.4515366430260047,-0.00014441016921750593,False,False,False,True
ADAUSDT,DOGEUSDT,down,390,5408,0.002249125505433553,-0.00013366009811800335,0.002382785603551556,2.4740451311929763,0.5538461538461539,2.6616960416854715e-05,467,4472,-0.0006268036621309488,-9.403499900494377e-05,-0.000532768663126005,-1.3138791898150155,0.4603854389721627,-0.00014441016921750593,False,False,False,True
ADAUSDT,ETHUSDT,down,502,5296,-0.0010004934546878788,0.0001239752361688517,-0.0011244686908567305,-1.4172852846933794,0.46215139442231074,2.6616960416854715e-05,422,4517,-9.861976540393457e-05,-0.00014868813034421105,5.006836494027648e-05,0.13490071023535627,0.4597156398104265,-0.00014441016921750593,False,False,False,True
ADAUSDT,SOLUSDT,down,465,5333,0.0005558301738999213,-1.9526700612514536e-05,0.0005753568745124358,1.3206001816211612,0.524731182795699,2.6616960416854715e-05,538,4401,-0.0007760991343355325,-6.718938684225067e-05,-0.0007089097474932819,-2.0500768357113466,0.47769516728624534,-0.00014441016921750593,False,False,False,True
ADAUSDT,XRPUSDT,down,436,5362,0.00038233059027414055,-2.3071616677735423e-06,0.00038463775194191407,0.9322026186226132,0.5252293577981652,2.6616960416854715e-05,554,4385,-0.0004055597358078876,-0.00011141658657416009,-0.0002941431492337275,-0.7324884428568484,0.4566787003610108,-0.00014441016921750593,False,False,False,True
AVAXUSDT,ADAUSDT,down,426,4780,0.001182975971671986,-4.8826343644817405e-05,0.0012318023153168034,2.8683616054032988,0.528169014084507,5.1970388265470324e-05,389,2311,-7.539790855411113e-05,8.90663904572716e-05,-0.00016446429901138273,-0.4095478512947335,0.45758354755784064,6.537134885896494e-05,False,False,False,True
AVAXUSDT,BTCUSDT,down,317,4889,0.0008429650526387453,6.827407698008468e-07,0.0008422823118689445,1.1200222387342413,0.4889589905362776,5.1970388265470324e-05,261,2439,0.0006010927677768869,8.043226539334979e-06,0.000593049541237552,1.3436479468274485,0.4942528735632184,6.537134885896494e-05,True,False,False,False
AVAXUSDT,DOGEUSDT,down,381,4825,0.0016814581692857417,-7.670004584203707e-05,0.0017581582151277788,2.814633862181462,0.5564304461942258,5.1970388265470324e-05,397,2303,0.00011158102286701319,5.740554747763843e-05,5.417547538937476e-05,0.11897326191076055,0.44836272040302266,6.537134885896494e-05,True,False,False,False
AVAXUSDT,ETHUSDT,down,468,4738,-0.0006221964125605149,0.00011856179028880535,-0.0007407582028493202,-1.098478277463312,0.4807692307692308,5.1970388265470324e-05,289,2411,0.00012801099582869198,5.786290507039132e-05,7.014809075830066e-05,0.14970401549261234,0.4740484429065744,6.537134885896494e-05,False,False,False,True
AVAXUSDT,SOLUSDT,down,447,4759,0.0003255430091072057,2.6274451825828416e-05,0.0002992685572813773,0.7330312884541361,0.5033557046979866,5.1970388265470324e-05,439,2261,-0.00021255065174470567,0.00011933320567674978,-0.00033188385742145544,-0.8383447406775008,0.4920273348519362,6.537134885896494e-05,False,False,False,True
AVAXUSDT,XRPUSDT,down,427,4779,0.0006657073204992396,-2.8665378830585455e-06,0.0006685738583822982,1.507087658853273,0.522248243559719,5.1970388265470324e-05,474,2226,-0.00010052442691992667,0.00010069686445608751,-0.00020122129137601418,-0.4590077986786253,0.48523206751054854,6.537134885896494e-05,False,False,False,True
BTCUSDT,ADAUSDT,down,436,5388,0.00024725988876632583,-1.5249738304815004e-05,0.00026250962707114085,1.5273995515606853,0.518348623853211,4.402424710812989e-06,487,5367,-0.00030895063109849573,-8.403963589933523e-06,-0.0003005466675085622,-1.331912944612919,0.45790554414784396,-3.340673555383339e-05,False,False,False,True
BTCUSDT,AVAXUSDT,down,439,5385,-4.8635450161319744e-05,8.726218038364747e-06,-5.736166819968449e-05,-0.32418227978693387,0.4715261958997722,4.402424710812989e-06,474,5380,9.14960225478726e-06,-3.7156122936972086e-05,4.630572519175934e-05,0.21039008269567952,0.4978902953586498,-3.340673555383339e-05,False,False,False,True
BTCUSDT,DOGEUSDT,down,390,5434,0.0007042443485591773,-4.5825464560600725e-05,0.000750069813119778,3.5010757710112976,0.5846153846153846,4.402424710812989e-06,485,5369,-0.0005246876235272839,1.0972335160847822e-05,-0.0005356599586881317,-2.2786347125171895,0.47216494845360824,-3.340673555383339e-05,False,True,False,True
BTCUSDT,ETHUSDT,down,502,5322,-0.0003079072138909013,3.386116927640122e-05,-0.0003417683831673025,-1.8435479047064696,0.46215139442231074,4.402424710812989e-06,480,5374,0.00015138251622696074,-4.991191621158948e-05,0.00020129443243855022,1.0040060890188385,0.50625,-3.340673555383339e-05,False,False,False,True
BTCUSDT,SOLUSDT,down,465,5359,7.113285565755618e-05,-1.3877694280628502e-06,7.252062508561904e-05,0.4487010035457884,0.535483870967742,4.402424710812989e-06,562,5292,-0.00042195444398703463,7.856267495951019e-06,-0.0004298107114829856,-2.0238804102639754,0.49110320284697506,-3.340673555383339e-05,False,False,False,True
BTCUSDT,XRPUSDT,down,436,5388,-7.158164275228141e-06,5.337914094241712e-06,-1.2496078369469853e-05,-0.06856068757496221,0.5229357798165137,4.402424710812989e-06,559,5295,-0.00031841996769121667,-3.317519923087924e-06,-0.0003151024477681287,-1.3258535231957351,0.5026833631484794,-3.340673555383339e-05,True,False,False,False
DOGEUSDT,ADAUSDT,down,436,5388,0.0011370152624898796,-3.8827402982751455e-06,0.0011408980027881547,2.76016403912851,0.555045871559633,8.152789315221172e-05,487,5364,-0.0003691575164361937,-8.490137319286767e-05,-0.00028425614324332604,-0.8802988370351954,0.4681724845995893,-0.00010856104534455112,False,False,False,True
DOGEUSDT,AVAXUSDT,down,439,5385,0.0005181542100480727,4.593291578595673e-05,0.000472221294262116,1.0903670986373561,0.5261958997722096,8.152789315221172e-05,474,5377,0.00025987772093857456,-0.00014104011828823746,0.00040091783922681205,1.2294949107851978,0.5210970464135021,-0.00010856104534455112,True,False,False,False
DOGEUSDT,BTCUSDT,down,350,5474,0.0009909693351533443,2.3379463356742902e-05,0.0009675898717966014,1.6798441471447636,0.5114285714285715,8.152789315221172e-05,493,5358,-0.0001922526339468993,-0.00010086041951757135,-9.139221442932795e-05,-0.34717469281503693,0.4482758620689655,-0.00010856104534455112,False,False,False,True
DOGEUSDT,ETHUSDT,down,502,5322,-0.0005394097150247432,0.00014009810722677608,-0.0006795078222515192,-1.1110250002318993,0.5119521912350598,8.152789315221172e-05,479,5372,4.195745515472683e-05,-0.00012198218490880169,0.0001639396400635285,0.5275769291912503,0.48851774530271397,-0.00010856104534455112,False,False,False,True
DOGEUSDT,SOLUSDT,down,465,5359,0.0006622914540559607,3.113508557239398e-05,0.0006311563684835667,1.4799487753510827,0.5311827956989247,8.152789315221172e-05,562,5289,-0.0008648603448080511,-2.8197988755689874e-05,-0.0008366623560523613,-2.6463174123899336,0.47686832740213525,-0.00010856104534455112,False,False,False,True
DOGEUSDT,XRPUSDT,down,436,5388,0.0006266396264012962,3.741714413650999e-05,0.0005892224822647862,1.291631037465401,0.5435779816513762,8.152789315221172e-05,559,5292,-0.00047938103640404153,-6.939090645523608e-05,-0.00040999012994880546,-1.0955604930440785,0.49731663685152055,-0.00010856104534455112,False,False,False,True
ETHUSDT,ADAUSDT,down,436,5388,0.0004449947630784324,5.8121673611940114e-05,0.0003868730894664923,1.0769416592981171,0.5389908256880734,8.708401341403331e-05,487,5367,-0.0001319921029658117,2.5926670855067083e-05,-0.0001579187738208788,-0.5161136051153516,0.46406570841889117,1.2789253217423077e-05,False,False,False,True
ETHUSDT,AVAXUSDT,down,439,5385,0.00027024289159949526,7.215239827505136e-05,0.0001980904933244439,0.6159599653053293,0.5239179954441914,8.708401341403331e-05,474,5380,0.0004701452853994171,-2.7505683446938442e-05,0.0004976509688463556,1.5577930928266184,0.5084388185654009,1.2789253217423077e-05,True,False,False,False
ETHUSDT,BTCUSDT,down,350,5474,0.0005540220070493892,5.722864297699012e-05,0.0004967933640723991,1.1524617883985402,0.5228571428571429,8.708401341403331e-05,493,5361,-7.562284829655682e-06,1.4660789919010433e-05,-2.2223074748666113e-05,-0.08345413822960449,0.4746450304259635,1.2789253217423077e-05,False,False,False,True
ETHUSDT,DOGEUSDT,down,390,5434,0.0010765277964448405,1.6071301713257638e-05,0.001060456494731583,2.5058868663881175,0.5923076923076923,8.708401341403331e-05,485,5369,-0.00026866802525283743,3.821424484679098e-05,-0.0003068822700996284,-0.9530616214494735,0.47835051546391755,1.2789253217423077e-05,False,False,False,True
