dimension,category,estimate_count,mean_standardized_coefficient,median_standardized_coefficient,negative_share,fdr_support_share
provider,Binance,16,-0.20099769763579078,-0.19586073576761756,0.8125,0.5
provider,CMC,8,-0.8381819140917944,-0.6017202846555468,1.0,1.0
provider,OKX,8,-0.30406018673687424,-0.16289756760489954,0.875,0.5
universe,archive_point_in_time_top50,8,-0.011797917911899804,-0.061804153704571894,0.625,0.25
universe,fixed_14_survivor,8,-0.39019747735968174,-0.3566249287347387,1.0,0.75
universe,fixed_62_survivor,4,-0.5977970329395831,-0.50339527025263,1.0,1.0
universe,fixed_62_survivor_holdout,4,-1.0785667952440057,-0.9030167122008812,1.0,1.0
universe,listing_aware_14_survivor,8,-0.30406018673687424,-0.16289756760489954,0.875,0.5
weighting,contemporaneous_market_cap,8,-0.8381819140917944,-0.6017202846555468,1.0,1.0
weighting,equal,12,-0.39451129663920187,-0.3667615918514976,1.0,0.6666666666666666
weighting,lagged_liquidity_proxy,4,-0.38023161179190074,-0.3566249287347387,1.0,0.75
weighting,lagged_quote_volume,8,0.07582716884629737,0.015945996102336147,0.5,0.125
frequency,daily,16,-0.28894300307536974,-0.21451299159305676,0.8125,0.6875
frequency,weekly,16,-0.48317574497475535,-0.404923104604496,0.9375,0.5625
model,no_intercept_csad,16,-0.6674193053403157,-0.6390899325503765,0.9375,0.75
model,scsad,16,-0.10469944270980938,-0.16230812812372913,0.8125,0.5
