phase,dgp,scenario,observations,assets,weighting,model,repetitions,mean_target_coefficient,median_target_coefficient,target_coefficient_std,monte_carlo_standard_error,mean_ci_confidence,mean_ci_lower,mean_ci_upper,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,bh4_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh3_wilson_ci_lower,bh3_wilson_ci_upper,bh4_wilson_ci_lower,bh4_wilson_ci_upper,theoretical_target_coefficient,coefficient_bias,absolute_relative_error,theory_inside_mean_ci
convergence,independent_gaussian,n14_t12000_equal,12000,14,equal,standard_csad,200,-0.029322059717400536,-0.075329205216902,1.5978996857477796,0.11298857034481082,0.99,-0.3231782383395136,0.2645341189047125,0.515,0.02,0.02,0.02,0.0078044264163494685,0.050287086905826436,0.0078044264163494685,0.050287086905826436,0.0078044264163494685,0.050287086905826436,0.0,-0.029322059717400536,,True
convergence,independent_gaussian,n14_t12000_equal,12000,14,equal,no_intercept_csad,200,-260.07794454443973,-260.63589026132274,7.06170541656509,0.4993379786794948,0.99,-261.37660289375646,-258.779286195123,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-259.40717487154114,-0.6707696728985866,0.0025857791837513855,True
convergence,independent_gaussian,n14_t12000_equal,12000,14,equal,intercept_restored,200,-0.03141160695302242,-0.08796029826428664,1.5983596702550904,0.11302109616124684,0.99,-0.32535237742451706,0.2625291635184722,0.515,0.02,,0.02,0.0078044264163494685,0.050287086905826436,,,0.0078044264163494685,0.050287086905826436,0.0,-0.03141160695302242,,True
convergence,independent_gaussian,n14_t12000_equal,12000,14,equal,scsad,200,-8639.115256218225,-8664.362834185002,505.38911492726805,35.73640703029386,0.99,-8732.057081887488,-8546.173430548963,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-8569.363533716636,-69.75172250158903,0.008139661974561705,True
convergence,independent_gaussian,n50_t12000_equal,12000,50,equal,standard_csad,200,0.045136252662119125,0.2976079339846458,3.169448606265116,0.22411386021123153,0.99,-0.5377301588425514,0.6280026641667897,0.44,0.03,0.03,0.03,0.013820314340111346,0.06389429245451925,0.013820314340111346,0.06389429245451925,0.013820314340111346,0.06389429245451925,0.0,0.045136252662119125,,True
convergence,independent_gaussian,n50_t12000_equal,12000,50,equal,no_intercept_csad,200,-950.6037273133945,-951.3011773985193,25.15068116728114,1.7784217204845285,0.99,-955.228975771405,-945.9784788553841,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-951.7641278414769,1.1604005280823912,0.0012192101951920425,True
convergence,independent_gaussian,n50_t12000_equal,12000,50,equal,intercept_restored,200,0.0392349179982918,0.3051557304371886,3.165341139742085,0.22382341846803835,0.99,-0.5428761241755993,0.6213459601721829,0.445,0.03,,0.03,0.013820314340111346,0.06389429245451925,,,0.013820314340111346,0.06389429245451925,0.0,0.0392349179982918,,True
convergence,independent_gaussian,n50_t12000_equal,12000,50,equal,scsad,200,-59385.74026428691,-59675.588659848305,3363.869616515807,237.86150168657184,0.99,-60004.36099480528,-58767.11953376854,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-59417.84542097426,32.105156687350245,0.0005403285235249754,True
convergence,independent_gaussian,n62_t12000_equal,12000,62,equal,standard_csad,200,-0.32694124222532495,-0.4227942726608336,3.472831710669221,0.24556628525338842,0.99,-0.9656002673176146,0.3117177828669647,0.58,0.015,0.015,0.015,0.00511423779325831,0.04316572879269026,0.00511423779325831,0.04316572879269026,0.00511423779325831,0.04316572879269026,0.0,-0.32694124222532495,,True
convergence,independent_gaussian,n62_t12000_equal,12000,62,equal,no_intercept_csad,200,-1186.8563691550808,-1187.2828838354233,29.77176102770626,2.1051814110556473,0.99,-1192.3314412165403,-1181.3812970936212,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-1182.5160722872697,-4.340296867811048,0.00367039143866846,True
convergence,independent_gaussian,n62_t12000_equal,12000,62,equal,intercept_restored,200,-0.32847825166303324,-0.4328202486884556,3.468328181965968,0.24524783768485459,0.99,-0.9663090709881795,0.30935256766211305,0.58,0.015,,0.015,0.00511423779325831,0.04316572879269026,,,0.00511423779325831,0.04316572879269026,0.0,-0.32847825166303324,,True
convergence,independent_gaussian,n62_t12000_equal,12000,62,equal,scsad,200,-83044.91193694755,-83309.457764619,4412.714810483115,312.0260565934921,0.99,-83856.41689130953,-82233.40698258557,1.0,1.0,1.0,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,0.9811546736227335,1.0,-82206.36826405322,-838.5436728943314,0.010200470968390966,False
