assets,asset_scale,market_scale,expected_csad,model,target_term,theoretical_target_coefficient,theoretical_sign
14,0.025,0.00668153104781061,0.01922152002776092,standard_csad,market_return_sq,0.0,zero
14,0.025,0.00668153104781061,0.01922152002776092,no_intercept_csad,market_return_sq,-259.40717487154114,negative
14,0.025,0.00668153104781061,0.01922152002776092,intercept_restored,market_return_sq,0.0,zero
14,0.025,0.00668153104781061,0.01922152002776092,scsad,market_return_cu,-8569.363533716636,negative
50,0.025,0.0035355339059327377,0.019746635424171474,standard_csad,market_return_sq,0.0,zero
50,0.025,0.0035355339059327377,0.019746635424171474,no_intercept_csad,market_return_sq,-951.7641278414769,negative
50,0.025,0.0035355339059327377,0.019746635424171474,intercept_restored,market_return_sq,0.0,zero
50,0.025,0.0035355339059327377,0.019746635424171474,scsad,market_return_cu,-59417.84542097426,negative
62,0.025,0.0031750031750047624,0.019785596268544436,standard_csad,market_return_sq,0.0,zero
62,0.025,0.0031750031750047624,0.019785596268544436,no_intercept_csad,market_return_sq,-1182.5160722872697,negative
62,0.025,0.0031750031750047624,0.019785596268544436,intercept_restored,market_return_sq,0.0,zero
62,0.025,0.0031750031750047624,0.019785596268544436,scsad,market_return_cu,-82206.36826405322,negative
