phase,dgp,scenario,observations,assets,weighting,model,repetitions,mean_target_coefficient,median_target_coefficient,target_coefficient_std,monte_carlo_standard_error,mean_ci_confidence,mean_ci_lower,mean_ci_upper,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,bh4_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh3_wilson_ci_lower,bh3_wilson_ci_upper,bh4_wilson_ci_lower,bh4_wilson_ci_upper,theoretical_target_coefficient,coefficient_bias,absolute_relative_error,theory_inside_mean_ci
robustness,independent_gaussian,n14_t250_equal,250,14,equal,standard_csad,300,0.33093591025922886,0.05320802334743968,12.557351988787602,0.7249990551035403,0.95,-1.0958112403236047,1.7576830608420624,0.49333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.025496448084407246,0.07271746563401146,0.025496448084407246,0.07271746563401146,0.025496448084407246,0.07271746563401146,,,,False
robustness,independent_gaussian,n14_t250_equal,250,14,equal,no_intercept_csad,300,-273.88093151317577,-271.99411632775923,40.42175689717775,2.3337512225703185,0.95,-278.4735897842902,-269.28827324206134,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n14_t250_equal,250,14,equal,intercept_restored,300,0.28607539656969266,0.05763389437750133,12.590083277669535,0.7268887969482312,0.95,-1.1443906330561826,1.716541426195568,0.5,0.043333333333333335,,0.043333333333333335,0.025496448084407246,0.07271746563401146,,,0.025496448084407246,0.07271746563401146,,,,False
robustness,independent_gaussian,n14_t250_equal,250,14,equal,scsad,300,-10185.443081192976,-9937.166688595918,2487.434835960432,143.61211721334078,0.95,-10468.061627494446,-9902.824534891506,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n14_t1000_equal,1000,14,equal,standard_csad,300,-0.4666924016201436,-0.259661948678767,5.709562131770587,0.3296417233732642,0.95,-1.1154041292083283,0.18201932596804127,0.52,0.03666666666666667,0.03666666666666667,0.03,0.02059530516285303,0.06445384817189295,0.02059530516285303,0.06445384817189295,0.01586185380943231,0.05602253914164096,,,,False
robustness,independent_gaussian,n14_t1000_equal,1000,14,equal,no_intercept_csad,300,-264.95162091805685,-266.53547508987924,22.649010463491486,1.3076412287975459,0.95,-267.52496688870104,-262.37827494741265,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n14_t1000_equal,1000,14,equal,intercept_restored,300,-0.46512028529471156,-0.18610876714582059,5.7156371518201725,0.32999246481936023,0.95,-1.1145222473808398,0.18428167679141666,0.5266666666666666,0.03666666666666667,,0.03,0.02059530516285303,0.06445384817189295,,,0.01586185380943231,0.05602253914164096,,,,False
robustness,independent_gaussian,n14_t1000_equal,1000,14,equal,scsad,300,-9158.030258231063,-9243.57843302604,1438.593627520434,83.05724181034027,0.95,-9321.481068620393,-8994.579447841734,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n14_t2500_equal,2500,14,equal,standard_csad,300,0.3101605928685625,0.1903114751986441,3.838060377850226,0.22159051923178644,0.95,-0.1259139643113369,0.7462351500484619,0.47,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.01357306980864708,0.05172894295058982,0.01357306980864708,0.05172894295058982,0.01357306980864708,0.05172894295058982,,,,False
robustness,independent_gaussian,n14_t2500_equal,2500,14,equal,no_intercept_csad,300,-261.54415306312615,-261.1313949903823,14.396847136537655,0.8312023569761907,0.95,-263.1799008424169,-259.9084052838354,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n14_t2500_equal,2500,14,equal,intercept_restored,300,0.318577867967543,0.1594354343809563,3.8451495251924195,0.22199981134442048,0.95,-0.11830214730412353,0.7554578832392096,0.4633333333333333,0.03,,0.02666666666666667,0.01586185380943231,0.05602253914164096,,,0.01357306980864708,0.05172894295058982,,,,False
robustness,independent_gaussian,n14_t2500_equal,2500,14,equal,scsad,300,-8794.964927222403,-8774.918275004959,964.2521116537514,55.67112162299584,0.95,-8904.52177917446,-8685.408075270347,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n50_t1000_equal,1000,50,equal,standard_csad,300,0.6556731034374036,0.45474474184907265,10.911861698584989,0.629996628903801,0.95,-0.5841159539937412,1.8954621608685485,0.48333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,,,,False
robustness,independent_gaussian,n50_t1000_equal,1000,50,equal,no_intercept_csad,300,-967.7121982329071,-972.3019083828881,81.97138100984964,4.732619889188206,0.95,-977.0256613252509,-958.3987351405633,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n50_t1000_equal,1000,50,equal,intercept_restored,300,0.6817155675986879,0.5218374496403868,10.971629697843355,0.6334473359498752,0.95,-0.5648642386076803,1.9282953738050561,0.4766666666666667,0.023333333333333334,,0.023333333333333334,0.011347660299125234,0.04737197226827532,,,0.011347660299125234,0.04737197226827532,,,,False
robustness,independent_gaussian,n50_t1000_equal,1000,50,equal,scsad,300,-63045.72503813662,-63782.451912269535,9981.520889888405,576.2833772698942,0.95,-64179.810194055404,-61911.63988221783,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
robustness,independent_gaussian,n62_t2500_equal,2500,62,equal,standard_csad,300,-0.09950602510458377,-0.5571916669691017,7.525465239884851,0.434482938202469,0.95,-0.9545378898960485,0.755525839686881,0.5333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.00713947735063333,0.0384153948330945,0.00713947735063333,0.0384153948330945,0.00713947735063333,0.0384153948330945,,,,False
robustness,independent_gaussian,n62_t2500_equal,2500,62,equal,no_intercept_csad,300,-1195.1729295617388,-1198.734045927013,64.13159917235545,3.7026396045720595,0.95,-1202.4594638934336,-1187.886395230044,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,,,,False
