assets,observations,model,primary_supplement_cell,theoretical_target_coefficient,mean_target_coefficient,absolute_relative_error,theory_inside_mean_ci,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,gate_type,relative_error_pass,mean_ci_pass,negative_rate_pass,raw_fpr_pass,bh_fpr_pass,gate_pass
14,3000,standard_csad,False,0.0,0.02405062867521868,,True,0.49,0.01,0.01,convergence_path_descriptive,,,,,,
14,3000,no_intercept_csad,False,-259.40717487154114,-259.6169451397251,0.0008086525297067193,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
14,3000,intercept_restored,False,0.0,0.02973022365986168,,True,0.49,0.013333333333333334,,convergence_path_descriptive,,,,,,
14,3000,scsad,False,-8569.363533716636,-8706.402026353082,0.015991676872764277,False,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
14,12000,standard_csad,False,0.0,0.043730744114666466,,True,0.5066666666666667,0.03333333333333333,0.03333333333333333,convergence_path_descriptive,,,,,,
14,12000,no_intercept_csad,False,-259.40717487154114,-259.5879139797686,0.0006967390486286449,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
14,12000,intercept_restored,False,0.0,0.04137531520679691,,True,0.51,0.03333333333333333,,convergence_path_descriptive,,,,,,
14,12000,scsad,False,-8569.363533716636,-8608.254754916343,0.0045384025367446535,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
14,48000,standard_csad,True,0.0,-0.06701346217439562,,True,0.5333333333333333,0.023333333333333334,0.023333333333333334,supplement_nominal_control,,True,,True,,True
14,48000,no_intercept_csad,True,-259.40717487154114,-259.5222320859139,0.0004435390595103822,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
14,48000,intercept_restored,True,0.0,-0.06738301137511049,,True,0.5266666666666666,0.023333333333333334,,supplement_nominal_control,,True,,True,,True
14,48000,scsad,True,-8569.363533716636,-8583.082473823795,0.0016009287099539202,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
50,3000,standard_csad,False,0.0,0.07086955408268698,,True,0.5133333333333333,0.013333333333333334,0.013333333333333334,convergence_path_descriptive,,,,,,
50,3000,no_intercept_csad,False,-951.7641278414769,-955.7030817788461,0.004138582052154488,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
50,3000,intercept_restored,False,0.0,0.10889671618651245,,True,0.5133333333333333,0.013333333333333334,,convergence_path_descriptive,,,,,,
50,3000,scsad,False,-59417.84542097426,-60584.67849616335,0.019637754733819453,False,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
50,12000,standard_csad,False,0.0,0.23397277069746855,,True,0.4766666666666667,0.023333333333333334,0.023333333333333334,convergence_path_descriptive,,,,,,
50,12000,no_intercept_csad,False,-951.7641278414769,-954.6254576972872,0.0030063434543383307,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
50,12000,intercept_restored,False,0.0,0.2303262198339193,,True,0.4666666666666667,0.023333333333333334,,convergence_path_descriptive,,,,,,
50,12000,scsad,False,-59417.84542097426,-59967.18356910763,0.009245339413459267,False,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
50,48000,standard_csad,True,0.0,0.055609882331670746,,True,0.4866666666666667,0.023333333333333334,0.023333333333333334,supplement_nominal_control,,True,,True,,True
50,48000,no_intercept_csad,True,-951.7641278414769,-952.605049370933,0.0008835398444394088,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
50,48000,intercept_restored,True,0.0,0.05540896197341397,,True,0.49,0.023333333333333334,,supplement_nominal_control,,True,,True,,True
50,48000,scsad,True,-59417.84542097426,-59575.10650912916,0.002646697924515866,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
62,3000,standard_csad,False,0.0,0.5682629662612547,,True,0.48333333333333334,0.04,0.04,convergence_path_descriptive,,,,,,
62,3000,no_intercept_csad,False,-1182.5160722872697,-1184.6543563921641,0.0018082495071364702,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
62,3000,intercept_restored,False,0.0,0.5781805916232343,,True,0.49,0.04,,convergence_path_descriptive,,,,,,
62,3000,scsad,False,-82206.36826405322,-83595.41972317196,0.016897127174588196,False,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
62,12000,standard_csad,False,0.0,-0.039061553083356175,,True,0.5,0.023333333333333334,0.023333333333333334,convergence_path_descriptive,,,,,,
62,12000,no_intercept_csad,False,-1182.5160722872697,-1184.2286766976504,0.0014482715715381997,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
62,12000,intercept_restored,False,0.0,-0.03904155419648751,,True,0.5033333333333333,0.023333333333333334,,convergence_path_descriptive,,,,,,
62,12000,scsad,False,-82206.36826405322,-82679.41095324894,0.005754331436662765,True,1.0,1.0,1.0,convergence_path_descriptive,,,,,,
62,48000,standard_csad,True,0.0,0.048785431234988734,,True,0.4866666666666667,0.02666666666666667,0.02666666666666667,supplement_nominal_control,,True,,True,,True
62,48000,no_intercept_csad,True,-1182.5160722872697,-1183.1290074016042,0.000518331318025083,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
62,48000,intercept_restored,True,0.0,0.0501415418596107,,True,0.49,0.02666666666666667,,supplement_nominal_control,,True,,True,,True
62,48000,scsad,True,-82206.36826405322,-82362.64272901717,0.0019010019328671009,True,1.0,1.0,1.0,supplement_mechanical_primary,True,True,True,True,True,True
