dgp,scenario,observations,assets,weighting,no_intercept_csad,scsad,no_intercept_negative_rate_pass,scsad_negative_rate_pass,both_models_pass
common_factor,n14_t1000_concentrated,1000,14,concentrated_static,1.0,1.0,True,True,True
common_factor,n14_t1000_equal,1000,14,equal,1.0,1.0,True,True,True
common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.0,1.0,True,True,True
common_factor,n14_t2500_equal,2500,14,equal,1.0,1.0,True,True,True
common_factor,n14_t250_equal,250,14,equal,1.0,1.0,True,True,True
common_factor,n50_t1000_equal,1000,50,equal,1.0,1.0,True,True,True
common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,1.0,1.0,True,True,True
common_factor,n62_t1000_concentrated,1000,62,concentrated_static,1.0,1.0,True,True,True
common_factor,n62_t2500_equal,2500,62,equal,1.0,1.0,True,True,True
independent_gaussian,n14_t1000_concentrated,1000,14,concentrated_static,1.0,1.0,True,True,True
independent_gaussian,n14_t1000_equal,1000,14,equal,1.0,1.0,True,True,True
independent_gaussian,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.0,1.0,True,True,True
independent_gaussian,n14_t2500_equal,2500,14,equal,1.0,1.0,True,True,True
independent_gaussian,n14_t250_equal,250,14,equal,1.0,1.0,True,True,True
independent_gaussian,n50_t1000_equal,1000,50,equal,1.0,1.0,True,True,True
independent_gaussian,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,1.0,1.0,True,True,True
independent_gaussian,n62_t1000_concentrated,1000,62,concentrated_static,1.0,1.0,True,True,True
independent_gaussian,n62_t2500_equal,2500,62,equal,1.0,1.0,True,True,True
stochastic_volatility_factor,n14_t1000_concentrated,1000,14,concentrated_static,1.0,1.0,True,True,True
stochastic_volatility_factor,n14_t1000_equal,1000,14,equal,1.0,1.0,True,True,True
stochastic_volatility_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.0,1.0,True,True,True
stochastic_volatility_factor,n14_t2500_equal,2500,14,equal,1.0,1.0,True,True,True
stochastic_volatility_factor,n14_t250_equal,250,14,equal,1.0,1.0,True,True,True
stochastic_volatility_factor,n50_t1000_equal,1000,50,equal,1.0,1.0,True,True,True
stochastic_volatility_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,1.0,1.0,True,True,True
stochastic_volatility_factor,n62_t1000_concentrated,1000,62,concentrated_static,1.0,1.0,True,True,True
stochastic_volatility_factor,n62_t2500_equal,2500,62,equal,1.0,1.0,True,True,True
student_t_factor,n14_t1000_concentrated,1000,14,concentrated_static,1.0,1.0,True,True,True
student_t_factor,n14_t1000_equal,1000,14,equal,1.0,1.0,True,True,True
student_t_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.0,1.0,True,True,True
student_t_factor,n14_t2500_equal,2500,14,equal,1.0,1.0,True,True,True
student_t_factor,n14_t250_equal,250,14,equal,1.0,0.9966666666666667,True,True,True
student_t_factor,n50_t1000_equal,1000,50,equal,1.0,1.0,True,True,True
student_t_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,1.0,1.0,True,True,True
student_t_factor,n62_t1000_concentrated,1000,62,concentrated_static,0.9966666666666667,0.9933333333333333,True,True,True
student_t_factor,n62_t2500_equal,2500,62,equal,1.0,1.0,True,True,True
time_varying_correlation,n14_t1000_concentrated,1000,14,concentrated_static,1.0,1.0,True,True,True
time_varying_correlation,n14_t1000_equal,1000,14,equal,1.0,1.0,True,True,True
time_varying_correlation,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.0,1.0,True,True,True
time_varying_correlation,n14_t2500_equal,2500,14,equal,1.0,1.0,True,True,True
time_varying_correlation,n14_t250_equal,250,14,equal,1.0,1.0,True,True,True
time_varying_correlation,n50_t1000_equal,1000,50,equal,1.0,1.0,True,True,True
time_varying_correlation,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,1.0,1.0,True,True,True
time_varying_correlation,n62_t1000_concentrated,1000,62,concentrated_static,1.0,1.0,True,True,True
time_varying_correlation,n62_t2500_equal,2500,62,equal,1.0,1.0,True,True,True
