term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
const,0.02320961591132141,0.0006209375312843307,37.37834281544435,8.786226721828901e-306,0.021992600713354907,0.024426631109287913,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
abs_market_return,0.2383263155087386,0.02290456012145415,10.405190680152119,2.347855717262046e-25,0.1934342025889561,0.2832184284285211,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return_sq,-0.05785246155946755,0.1431675252371402,-0.4040892755786743,0.686147070949662,-0.33845565477999157,0.22275073166105647,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return,0.004090370863019226,0.01409492141813146,0.290201750096843,0.7716618974150176,-0.02353516748144066,0.03171590920747911,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
abs_market_return,0.8349687892902132,0.0463278782414148,18.023031077296196,1.2850595974839262e-72,0.7441678164568835,0.925769762123543,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return_sq,-1.837304396955908,0.5165947154192299,-3.556568315773204,0.0003757308062103293,-2.849811433781317,-0.824797360130499,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
const,0.0013933639657343585,0.0005376935490984994,2.5913719219255684,0.009559411731780446,0.00033950397478178036,0.0024472239566869364,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return,0.6926154767853151,0.020466205687593022,33.841909309315255,4.7735149916325394e-251,0.652502450737444,0.7327285028331862,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return_sq,-0.16559230795423746,0.23774458231004156,-0.6965134866387379,0.4861073141933199,-0.6315631268014373,0.3003785108929624,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return_cu,-2.9023483800056917,0.6280612738704286,-4.621122971203056,3.816684486812547e-06,-4.133325856876079,-1.6713709031353043,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
const,0.02320965168220245,0.000621324817502018,37.355101596480274,2.0952429611420272e-305,0.02199187741719757,0.024427425947207326,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return,0.004157267269976809,0.01195803934158828,0.3476545904576892,0.7280996032742555,-0.01928005916524928,0.027594593705202897,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
abs_market_return,0.23753204619333246,0.022768672877273476,10.432406292350258,1.7636444109534637e-25,0.1929062673781025,0.28215782500856246,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
market_return_sq,-0.04607154160434888,0.1440217664975955,-0.319892907334379,0.7490495147230684,-0.32834901692947344,0.23620593372077567,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline
const,0.023369017058104076,0.0006264768708479645,37.302282247823555,1.5070808616162282e-304,0.022141144954094714,0.024596889162113438,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
abs_market_return,0.24324618465376854,0.023109509923047576,10.525804548160247,6.569776513952522e-26,0.1979523775042243,0.2885399918033128,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
market_return_sq,-0.06459850663657765,0.14487964445104803,-0.4458770373253105,0.6556860701068411,-0.34855739185360013,0.2193603785804448,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
market_return,0.005153995751597493,0.014240825865451124,0.3619169141096877,0.7174141199217835,-0.022757510054793154,0.03306550155798814,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
abs_market_return,0.8434362739638204,0.04657858036424644,18.107814093261613,2.765120983290243e-73,0.7521439339988928,0.934728613928748,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
