model,status,nobs,base_design_columns,interaction_coefficient,interaction_standardized_coefficient,interaction_t_stat,interaction_p_value,condition_number,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,metric,interaction_q_value_bh_fdr,interaction_supported
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",0.17247354493716407,0.06699642492818354,1.4888302880523716,0.1365320644243227,448.85424794980713,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.1365320644243227,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",-0.6729157263660231,-0.26139051041654,-3.0396696335304734,0.0023683778537801274,426.146782969318,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.0069554919020831316,True
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",-4.910860717713457,-0.33909630146620257,-3.360400182562913,0.0007782964870333657,2365.3863908385033,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.0069554919020831316,True
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",-0.19234113457147806,-0.09912982173504781,-1.9264998534164737,0.054041990135825266,363.9196599977951,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.060797238902803426,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",0.44176611359699014,0.2276798261953706,2.3678476669687702,0.01789190095288789,337.7582625476405,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.03007660438524586,True
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",2.646929367429126,0.2383502734137099,2.9585072464970175,0.0030913297342591694,1691.7326402771257,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,weight_hhi,0.0069554919020831316,True
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",-0.19295725859383536,-0.10280602515935486,-2.036208673184473,0.041729405712550335,360.3274694910421,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.05365209305899329,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",0.40599713353799344,0.21631190155427713,2.32539086335236,0.02005106959016391,334.9635998234952,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.03007660438524586,True
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",2.523368562145216,0.23401906491877345,3.0031160326614574,0.0026723052327307403,1672.7932363884145,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,btc_weight,0.0069554919020831316,True
standard_csad,estimated,328,"const,abs_market_return,market_return_sq",0.2521241460318163,0.1582581621993963,1.483718687274129,0.13788356654552486,117.17418123536112,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,active_assets,0.24819041978194475,False
