term,coefficient,std_error_hc3,t_stat,p_value,ci_lower,ci_upper,model,moderator,q_value_bh_fdr,bh_supported
const,-0.6180468953991132,0.05843744287343579,-10.576213896588243,3.841699482620883e-26,-0.7325821787796641,-0.5035116120185622,no_intercept_csad,provider,,False
provider_binance_archive,0.40569836843218243,0.3010505850064578,1.3476086366797122,0.17778429126875872,-0.18434993570518887,0.9957466725695537,no_intercept_csad,provider,0.25635864586845986,False
provider_coinmarketcap,-0.7212829179026142,0.21944347020954155,-3.2868734586355095,0.0010130634553765427,-1.1513842161558039,-0.2911816196494245,no_intercept_csad,provider,0.004389941639965031,True
provider_okx,0.11461081653374573,0.1515679927215862,0.7561676741624022,0.44954867136875454,-0.1824569904095923,0.4116786234770837,no_intercept_csad,provider,0.4870110606494861,False
const,-0.6171974499740955,0.16704309665668285,-3.69483960922131,0.00022002563269855218,-0.9445959032872371,-0.28979899666095404,no_intercept_csad,frequency,,False
frequency_weekly,-0.3706015511857548,0.2873831522185557,-1.289572991056592,0.19719895836035373,-0.9338621792977161,0.19265907692620654,no_intercept_csad,frequency,0.25635864586845986,False
const,-0.6180468953991132,0.05843744287343575,-10.57621389658825,3.8416994826205786e-26,-0.7325821787796641,-0.5035116120185622,no_intercept_csad,universe_type,,False
universe_type_fixed_survivor_62,-0.7212829179026143,0.2194434702095416,-3.286873458635509,0.0010130634553765457,-1.151384216155804,-0.2911816196494245,no_intercept_csad,universe_type,0.004389941639965031,True
universe_type_listing_aware_survivor_14,0.11461081653374526,0.15156799272158622,0.7561676741623989,0.4495486713687564,-0.1824569904095928,0.41167862347708334,no_intercept_csad,universe_type,0.4870110606494861,False
universe_type_point_in_time_top50,0.40569836843218204,0.3010505850064574,1.3476086366797126,0.1777842912687585,-0.18434993570518848,0.9957466725695525,no_intercept_csad,universe_type,0.25635864586845986,False
const,-1.336670312644809,0.3516702132334917,-3.8009199026399365,0.00014415990013334954,-2.0259312650179737,-0.6474093602716442,no_intercept_csad,weighting_class,,False
weighting_class_equal,0.7020083277025013,0.3535267765756967,1.985728873219277,0.047063437196354155,0.009108578043597326,1.3949080773614053,no_intercept_csad,weighting_class,0.08740352622180057,False
weighting_class_lagged_liquidity,1.0821112967661768,0.39836074157872986,2.716410488839082,0.006599403785852835,0.3013385904171987,1.862884003115155,no_intercept_csad,weighting_class,0.01715844984321737,True
weighting_class_lagged_size,-0.005319001313834892,0.49353914726673875,-0.01077726324910996,0.9914011545046113,-0.9726379549172527,0.9619999522895829,no_intercept_csad,weighting_class,0.9914011545046113,False
const,-0.8024982255669729,0.13265609390228286,-6.049463706945187,1.4532879844443063e-09,-1.0624993919452108,-0.542497059188735,no_intercept_csad,mean_active_assets,,False
z_mean_active_assets,-0.27434603607504493,0.10733081607899289,-2.556078916544647,0.010585910777812702,-0.4847105700211636,-0.06398150212892631,no_intercept_csad,mean_active_assets,0.02293614001859419,True
const,-0.8024982255669729,0.11395059017373715,-7.042510480581339,1.8880662820754525e-12,-1.0258372783245815,-0.5791591728093644,no_intercept_csad,mean_weight_hhi,,False
z_mean_weight_hhi,-0.4103518233717103,0.12164228597082402,-3.3734307119987323,0.0007423772767347229,-0.6487663228716473,-0.17193732387177332,no_intercept_csad,mean_weight_hhi,0.004389941639965031,True
const,-0.8024982255669729,0.12257543002236126,-6.546974588794624,5.871434917997005e-11,-1.0427416538003107,-0.5622547973336351,no_intercept_csad,mean_btc_weight,,False
z_mean_btc_weight,-0.35829214113302665,0.11856621160712222,-3.0218739072161114,0.0025121516931894757,-0.5906776456663412,-0.12590663659971219,no_intercept_csad,mean_btc_weight,0.008164493002865796,True
const,-0.16234805932025062,0.030843638355262368,-5.263583285807516,1.412744642930858e-07,-0.22280047964874308,-0.10189563899175816,scsad,provider,,False
provider_binance_archive,0.3459812004370765,0.2555736666466819,1.3537435408608767,0.17581821178255164,-0.15493398158726568,0.8468963824614186,scsad,provider,0.2857045941466464,False
provider_coinmarketcap,-0.1761770518531399,0.05462458766322806,-3.225233532915764,0.001258699481862926,-0.28323927634341783,-0.06911482736286195,scsad,provider,0.00818154663210902,True
provider_okx,0.05766376471186978,0.06376215940700394,0.9043571492582748,0.365806052178971,-0.06730777130235976,0.18263530072609932,scsad,provider,0.43231624348424086,False
const,-0.10021201812663118,0.10230589288435352,-0.9795331950224094,0.3273165951583361,-0.30072788358617664,0.1003038473329143,scsad,frequency,,False
frequency_weekly,-0.10375573781017228,0.1314670904072719,-0.7892145288128564,0.42998663174356544,-0.3614265001606964,0.15391502454035183,scsad,frequency,0.4658188510555292,False
const,-0.16234805932025048,0.03084363835526235,-5.263583285807514,1.4127446429308736e-07,-0.22280047964874292,-0.10189563899175805,scsad,universe_type,,False
universe_type_fixed_survivor_62,-0.17617705185314014,0.054624587663228044,-3.2252335329157695,0.0012586994818629034,-0.28323927634341806,-0.06911482736286223,scsad,universe_type,0.00818154663210902,True
universe_type_listing_aware_survivor_14,0.05766376471186955,0.06376215940700396,0.904357149258271,0.365806052178973,-0.06730777130236001,0.18263530072609913,scsad,universe_type,0.43231624348424086,False
universe_type_point_in_time_top50,0.34598120043707625,0.2555736666466816,1.3537435408608776,0.17581821178255141,-0.15493398158726523,0.8468963824614177,scsad,universe_type,0.2857045941466464,False
const,-0.3396935155387789,0.07181970597026215,-4.729809332266457,2.2473079683946155e-06,-0.480457552620749,-0.1989294784568088,scsad,weighting_class,,False
weighting_class_equal,0.18391707198690738,0.0738213152043974,2.4913816758435616,0.012724734312619399,0.03922995289490938,0.32860419107890537,scsad,weighting_class,0.032275574184174295,True
weighting_class_lagged_liquidity,0.43987048388278016,0.1806533063787524,2.4348875351362826,0.01489641885423429,0.08579650969234542,0.7939444580732149,scsad,weighting_class,0.032275574184174295,True
weighting_class_lagged_size,0.0023368087307770458,0.10518889919193394,0.02221535493505988,0.9822761691466098,-0.20382964525882788,0.20850326272038197,scsad,weighting_class,0.9822761691466098,False
const,-0.1520898870317173,0.06369987813941458,-2.387600910300816,0.016958746359655646,-0.27693935400456016,-0.02724042005887442,scsad,mean_active_assets,,False
z_mean_active_assets,-0.0511205930759242,0.04138926191399629,-1.235117291585167,0.21678685486194516,-0.1322420557740523,0.03000086962220387,scsad,mean_active_assets,0.31313656813392077,False
const,-0.1520898870317173,0.05770805739905849,-2.6355052290184813,0.008401213134639651,-0.2651956011516421,-0.038984172911792486,scsad,mean_weight_hhi,,False
z_mean_weight_hhi,-0.1317563521156124,0.04737192595851642,-2.7813171926130127,0.005413881186513071,-0.22460362087260266,-0.03890908335862214,scsad,mean_weight_hhi,0.023460151808223306,True
const,-0.1520898870317173,0.060066701332085415,-2.5320166358207605,0.011340861054938941,-0.26981845831272877,-0.034361315750705806,scsad,mean_btc_weight,,False
