model,moderator,status,nobs,design_columns,design_rank,rank_deficient,rsquared
no_intercept_csad,provider,estimated,20,4,4,False,0.5683571198882004
no_intercept_csad,frequency,estimated,20,2,2,False,0.0930973878395217
no_intercept_csad,universe_type,estimated,20,4,4,False,0.5683571198882004
no_intercept_csad,weighting_class,estimated,20,4,4,False,0.5796832243023292
no_intercept_csad,mean_active_assets,estimated,20,2,2,False,0.1938670517927632
no_intercept_csad,mean_weight_hhi,estimated,20,2,2,False,0.43372989959139785
no_intercept_csad,mean_btc_weight,estimated,20,2,2,False,0.33065964210684473
scsad,provider,estimated,20,4,4,False,0.5078524448516256
scsad,frequency,estimated,20,2,2,False,0.03702459559894744
scsad,universe_type,estimated,20,4,4,False,0.5078524448516257
scsad,weighting_class,estimated,20,4,4,False,0.4539755998442615
scsad,mean_active_assets,estimated,20,2,2,False,0.034153989573422416
scsad,mean_weight_hhi,estimated,20,2,2,False,0.22687821602087632
scsad,mean_btc_weight,estimated,20,2,2,False,0.14465739003103628
standard_csad,provider,estimated,20,4,4,False,0.6548843793043368
standard_csad,frequency,estimated,20,2,2,False,0.013225852687682838
standard_csad,universe_type,estimated,20,4,4,False,0.6548843793043368
standard_csad,weighting_class,estimated,20,4,4,False,0.3737683398098208
standard_csad,mean_active_assets,estimated,20,2,2,False,0.010394559716660146
standard_csad,mean_weight_hhi,estimated,20,2,2,False,0.08189006571438895
standard_csad,mean_btc_weight,estimated,20,2,2,False,0.03717058955389074
