model,target_term,target_coefficient,target_standardized_coefficient,target_std_error,target_standardized_std_error,target_t_stat,target_p_value,target_ci_lower,target_ci_upper,intercept,intercept_p_value,nobs,rsquared,aic,bic,sse,rmse,residual_mean,residual_skew,residual_excess_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag,ljung_box_p_value,breusch_pagan_p_value,target_vif,max_vif,condition_number_standardized,design_rank,design_columns,cov_type,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,q_value_bh_fdr,supports_negative_relation,mean_active_assets,min_active_assets,max_active_assets,mean_weight_hhi,mean_max_weight,max_observed_weight,mean_btc_weight
standard_csad,market_return_sq,-0.05785246155946755,-0.0220474391083685,0.1431675252371402,0.054560812277919424,-0.4040892755786743,0.686147070949662,-0.33845565477999157,0.22275073166105647,0.02320961591132141,8.786226721828901e-306,2291,0.1897728964982317,-13153.147923197039,-13135.937692149679,0.42956682585676764,0.013693132884620774,-3.178988669376267e-17,2.288008299953514,9.065210240229622,0.0,0.879886073914828,8,0.0,3.2674299756173085e-12,2.3599252123658268,2.3599252123658268,2.702363121673867,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.6861470709496619,False,61.49367088607595,60,62,0.42899886287192524,0.6143173122018879,0.7964791795010298,0.6143173122018879
no_intercept_csad,market_return_sq,-1.837304396955908,-0.7001924503036808,0.5165947154192299,0.19687304956251284,-3.556568315773204,0.0003757308062103293,-2.849811433781317,-0.824797360130499,,,2291,0.6059286276911693,-11254.607023024751,-11237.396791977391,0.9838491723639463,0.020722956612338195,0.01042506887017651,0.39724807786573213,2.8842972378370524,3.567557050387736e-185,1.1496681098778234,8,2.2559881651808432e-114,1.4548349419149257e-71,2.257932813206673,2.257932813206673,2.8876034072513495,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.000563596209315494,True,61.49367088607595,60,62,0.42899886287192524,0.6143173122018879,0.7964791795010298,0.6143173122018879
scsad,market_return_cu,-2.9023483800056917,-0.2035152921750805,0.6280612738704286,0.04404022430117189,-4.621122971203056,3.816684486812547e-06,-4.133325856876079,-1.6713709031353043,0.0013933639657343585,0.009559411731780446,2291,0.5781541139846941,-11103.527397605061,-11080.580422875248,1.0499989704596546,0.021408285705297774,-1.9632193441123675e-15,0.20590247564878433,1.360335763139843,2.7881377660261682e-42,1.9496691161871995,8,0.009766880747418542,4.474275214907565e-09,3.963516762773102,3.963516762773102,3.8449371807662223,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,1.145005346043764e-05,True,61.49367088607595,60,62,0.42899886287192524,0.6143173122018879,0.7964791795010298,0.6143173122018879
standard_csad,market_return_sq,-0.1256741180913693,-0.071394956409973,0.26102214644629596,0.14828562197685075,-0.48146917724173316,0.6301830810793702,-0.637268124293449,0.38591988811071043,0.05788134604546903,8.280138753100919e-59,328,0.2466198808921929,-1294.3714592843435,-1282.992418459191,0.36443371716206313,0.03333284275278512,-1.9631992508615572e-17,1.4943849321982627,3.6642496115620444,2.996268635577665e-65,1.1235484007395582,5,2.32649617233089e-41,7.246821896084458e-05,5.66751251810322,5.66751251810322,4.541096467720435,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.6861470709496619,False,61.49390243902439,61,62,0.42878578630350034,0.6141305701354949,0.7732676992757241,0.6141305701354949
no_intercept_csad,market_return_sq,-2.0786670231176823,-1.1808822990779921,0.3525935565781908,0.20030696840884432,-5.895363044323583,3.738584837083297e-09,-2.769737695191822,-1.3875963510435425,,,328,0.7196865083558397,-1077.8666087939473,-1066.4875679687948,0.7051569856344253,0.04636667832227731,0.018392680712150198,0.3865578846690343,0.8824371812257485,0.00012421886736779976,1.492749762692465,5,0.006167334960933452,8.934530440502169e-06,5.3497503573494765,5.3497503573494765,4.95749646277066,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,2.2431509022499783e-08,True,61.49390243902439,61,62,0.42878578630350034,0.6141305701354949,0.7732676992757241,0.6141305701354949
scsad,market_return_cu,-3.3226647594620404,-0.3065980902015792,0.9152277251517724,0.08445241784684328,-3.630424066219194,0.00028295594228256864,-5.116478138412038,-1.5288513805120432,0.0044277689186844275,0.1969127513175668,328,0.6890841845828285,-1047.9560619201675,-1032.7840074866308,0.7677879462709326,0.048381989514307895,-1.5570200955108904e-17,0.25193327717018277,0.5428917769870298,0.028974379512020466,2.080860785065644,5,0.5442828990261351,0.34160653083760634,3.4208546197939405,3.4208546197939405,3.4475073603684256,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.000563596209315494,True,61.49390243902439,61,62,0.42878578630350034,0.6141305701354949,0.7732676992757241,0.6141305701354949
standard_csad,market_return_sq,-0.05269114788755835,-0.02047353150791405,0.1366217369849979,0.0530853767467224,-0.38567177559266597,0.6997397684742879,-0.32046483188345815,0.21508253610834144,0.023336709275861837,1.925968459664285e-306,2291,0.18290256003905225,-13172.024365970994,-13154.814134923634,0.426041998349674,0.013636837392443682,1.0855083261284813e-17,2.281666029693915,8.929639595626968,0.0,0.857108616683223,8,0.0,9.719137727783736e-10,2.364102700826093,2.364102700826094,2.7055119579497346,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,0.6997397684742879,False,61.49367088607595,60,62,0.4288786099068112,0.6142054398411921,0.7964791795010298,0.6142054398411921
no_intercept_csad,market_return_sq,-1.8259322296175795,-0.7094793439339431,0.5131638874797384,0.19939358773242574,-3.5581853559203815,0.00037342576713548636,-2.8317149672444315,-0.8201494919907275,,,2291,0.6016847579141085,-11246.189473261808,-11228.979242214447,0.9874706616992972,0.020761061554402525,0.010502120564432624,0.4211951191253088,3.013441448303211,1.6755903925410924e-202,1.1342882379571033,8,2.188900028816571e-120,3.583682720377201e-69,2.2608542341344053,2.2608542341344053,2.9009945141963227,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,0.0007468515342709727,True,61.49367088607595,60,62,0.4288786099068112,0.6142054398411921,0.7964791795010298,0.6142054398411921
scsad,market_return_cu,-2.6768405175550516,-0.19078734726398522,0.6358601653657404,0.045319873703859405,-4.209794327995621,2.5560326372067416e-05,-3.923103540875586,-1.4305774942345173,0.001123452423629327,0.039064438997831484,2291,0.5732511263564452,-11090.387582680129,-11067.440607950315,1.0560384436128571,0.021469766421489147,-5.539000074843098e-16,0.20309813665747786,1.4450536309316115,4.410174040140174e-47,2.010066239558489,8,0.0015087970073193663,1.0101708392299303e-07,4.080487055822281,4.080487055822281,3.928210551075135,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,7.668097911620225e-05,True,61.49367088607595,60,62,0.4288786099068112,0.6142054398411921,0.7964791795010298,0.6142054398411921
standard_csad,market_return_sq,-0.23035850339433928,-0.135009887910496,0.21059620393227055,0.12342748137497449,-1.0938397705802163,0.2740252580484266,-0.6431194783824421,0.1824024715937635,0.05761248281552726,2.8079116499207883e-58,328,0.22823762209063037,-1291.418683418498,-1280.0396425933454,0.36772929440283375,0.03348321814834433,-7.852797003446229e-17,1.664517161937844,4.9573285541977965,1.6031422873972523e-103,1.09886576594514,5,3.496689898938497e-41,0.0015167956220487283,5.432909077669314,5.432909077669314,4.43630763515066,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,0.3288303096581119,False,61.49390243902439,61,62,0.4279464204987167,0.6133497194933142,0.7732676992757241,0.6133497194933142
no_intercept_csad,market_return_sq,-2.0509908721656727,-1.202056983685641,0.3565801148381944,0.2089866040369467,-5.751837488459928,8.827863968679532e-09,-2.74987505485169,-1.3521066894796552,,,328,0.7135486237522664,-1074.5743194677138,-1063.1952786425613,0.712270617630151,0.04659996524749276,0.01874765845872066,0.33976779705080384,0.6432018413172411,0.0033033435039630703,1.4928076443220344,5,0.007235051017000476,3.513215877528113e-05,5.359026525246513,5.359026525246513,4.971150856765197,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,5.296718381207719e-08,True,61.49390243902439,61,62,0.4279464204987167,0.6133497194933142,0.7732676992757241,0.6133497194933142
scsad,market_return_cu,-3.0660386864805256,-0.30005275128369047,0.9328107974858442,0.09128796953767293,-3.2868816428200214,0.0010130340144583077,-4.894314253942866,-1.237763119018185,0.004476961162758193,0.1907176437952639,328,0.6822595790296402,-1043.1433380772537,-1027.971283643717,0.7791367078527898,0.0487382477345474,-2.030895776753335e-18,-0.010962284072163963,0.43597218496335977,0.31404838286085457,2.074445677877432,5,0.4697637243499668,0.49432779323783815,4.113715124765363,4.113715124765363,3.8570768979043137,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,0.0015195510216874616,True,61.49390243902439,61,62,0.4279464204987167,0.6133497194933142,0.7732676992757241,0.6133497194933142
standard_csad,market_return_sq,-0.2922486001878842,-0.03379855029881047,0.8904996301511998,0.10298628127350468,-0.32818497649264905,0.7427718063809544,-2.037595803530474,1.453098603154706,0.024425757143881767,3.995254505314886e-143,830,0.08067021170197042,-4822.930409180851,-4808.766132078479,0.1445051964600648,0.013194796184004794,-4.982627429793624e-17,2.2745283134308423,9.015984599356406,0.0,1.1527950073954991,6,6.747493947515617e-75,0.0024244134676413855,4.585325556617671,4.585325556617671,4.034832920930657,3,3,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,0.7427718063809544,False,60.49759036144578,60,61,0.5434472636086587,0.7178414613543265,0.7779343737072509,0.7178414613543265
no_intercept_csad,market_return_sq,-11.264896821928003,-1.3027853053943497,1.5750435304085755,0.18215378260531084,-7.152117769726544,8.544920725244955e-13,-14.351925415611628,-8.177868228244378,,,830,0.6437975240121949,-4220.470195957367,-4206.305918854995,0.2986197865020723,0.01896794335988226,0.007733273683012031,0.6368945518091745,2.014340470993533,9.341256356138408e-43,1.2701449558268296,6,1.0248578482214493e-21,3.559534485601051e-11,3.4755854316674197,3.475620510606957,4.034892613717575,3,3,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,1.708984145048991e-12,True,60.49759036144578,60,61,0.5434472636086587,0.7178414613543265,0.7779343737072509,0.7178414613543265
scsad,market_return_cu,-59.16453374424963,-0.3454125607710437,8.18825966855921,0.04780444569378843,-7.2255321813286,4.991432490718081e-13,-75.21322779068757,-43.1158396978117,-8.465235631884164e-05,0.9111892759399476,830,0.6055357569031842,-4134.891276655996,-4116.005573852834,0.3302561747028348,0.01994740598840025,1.7083891195945085e-17,0.08792010272473774,1.5863893703071001,1.848404150544668e-19,1.9955608520307688,6,0.8877903266990319,0.015753805905733703,1.686584623458389,1.686584623458389,2.1273190174480914,4,4,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,1.4974297472154244e-12,True,60.49759036144578,60,61,0.5434472636086587,0.7178414613543265,0.7779343737072509,0.7178414613543265
standard_csad,market_return_sq,-0.5397942903809754,-0.12268494946612266,0.7040846525003562,0.1600250161055115,-0.766661066199994,0.44328305775301036,-1.9197748513490729,0.8401862705871221,0.06478975308118895,8.050141684478507e-54,118,0.026968381012799747,-510.66459834505577,-502.35254447165875,0.08666492896489719,0.02710071125542605,-1.458931845389308e-16,1.5794578749990968,2.685467559399007,6.6440751967601235e-18,1.121560224980845,4,1.0693951145823825e-06,0.6934906200267118,7.434229695707282,7.434229695707282,5.263156730219444,3,3,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.5319396693036124,False,60.49152542372882,60,61,0.5436235840955009,0.718076866076604,0.7738653548215594,0.718076866076604
no_intercept_csad,market_return_sq,-9.516069719146024,-2.162821195803217,1.2467793131358966,0.28336916442655946,-7.632521344303689,2.3020632632507647e-14,-11.959712269561969,-7.072427168730081,,,118,0.6881537751408251,-403.2790986771645,-394.96704480376746,0.21531367084853098,0.04271641518005705,0.016828695105118602,0.584687178787128,0.6107536658877715,0.01869691651947542,1.3576485527657767,4,0.2302640026057611,0.0008446436789703913,6.759431549198291,6.759431549198291,5.347258573713543,3,3,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,1.3812379579504588e-13,True,60.49152542372882,60,61,0.5436235840955009,0.718076866076604,0.7738653548215594,0.718076866076604
scsad,market_return_cu,-35.019447648275126,-0.5032481190074128,5.9251230500598,0.08514717478637694,-5.910332553839821,3.4141775387550015e-09,-46.63247543036045,-23.4064198661898,0.0032696625883352325,0.49940701484880257,118,0.6526272587461388,-388.7608734063565,-377.67813490849386,0.23941119479961942,0.04504340607131358,2.0478557644370273e-16,0.2372156757298275,0.7299636469923656,0.20707226339090237,2.1067019388785697,4,0.9540994504149695,0.31972834102691844,2.7688026600076485,2.7688026600076485,3.0192241924461527,4,4,HAC,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,5.121266308132502e-09,True,60.49152542372882,60,61,0.5436235840955009,0.718076866076604,0.7738653548215594,0.718076866076604
standard_csad,market_return_sq,-0.2283613030185303,-0.026299361987818425,0.9205955526133606,0.10602092106905657,-0.2480582296647694,0.80408935358705,-2.0326954304684657,1.5759728244314049,0.024516452013578823,1.130819282484471e-134,830,0.07858300297098886,-4822.504842739009,-4808.340565636638,0.1445793077017107,0.01319817930587446,-4.481020641559367e-17,2.284670292296723,9.056984938732073,0.0,1.1482024101061579,6,5.80523253852534e-76,0.0032962638093894823,4.581970200699876,4.581970200699876,4.033163076518135,3,3,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,0.80408935358705,False,60.498795180722894,60,61,0.543365087191894,0.7177613348107409,0.7779343737072509,0.7177613348107409
no_intercept_csad,market_return_sq,-11.316242120595296,-1.3032415910115218,1.6158646307972702,0.1860919879459684,-7.003211720162378,2.50160352212543e-12,-14.483278600850056,-8.149205640340536,,,830,0.6419464643524966,-4217.020882339247,-4202.856605236875,0.29986337273116614,0.019007397822039196,0.0077675468363869815,0.6862142292299231,2.316650210170857,2.1645811978285932e-54,1.2628403435797997,6,1.6968084969589117e-22,1.5415417690819085e-11,3.481355466819367,3.481355466819367,4.034641663586408,3,3,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,5.00320704425086e-12,True,60.498795180722894,60,61,0.543365087191894,0.7177613348107409,0.7779343737072509,0.7177613348107409
scsad,market_return_cu,-59.7998499495306,-0.3474983495919018,8.530897680738741,0.04957324921544164,-7.009795708199396,2.3866635372036305e-12,-76.5201021595748,-43.079597739486395,-3.723957005744512e-05,0.9593354455798572,830,0.6036629835689742,-4132.105846732463,-4113.2201439293,0.33136635630907046,0.019980905231404052,4.517805139363212e-17,0.06711571010431781,1.7963503458339911,1.3068618159398056e-24,2.0712205932905916,6,0.7432257463700189,0.013559620285884104,1.7063442725141749,1.7063442725141749,2.147557684245982,4,4,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,5.00320704425086e-12,True,60.498795180722894,60,61,0.543365087191894,0.7177613348107409,0.7779343737072509,0.7177613348107409
standard_csad,market_return_sq,-0.38805010427736464,-0.08707893306672708,0.7064931315854229,0.15853795022680017,-0.5492623875996522,0.5828253954472444,-1.7727511975097108,0.9966509889549816,0.06555267283875575,7.377412276039417e-50,118,0.022335944120696505,-509.3460633586044,-501.0340094852074,0.08763875572442228,0.027252547031396786,-9.549799745716389e-17,1.5773657269480688,2.576985557307527,2.5018206535905484e-17,1.0891057720270296,4,2.6376464332042254e-07,0.6920018991950737,7.411936225010216,7.411936225010216,5.254667272361571,3,3,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,0.6993904745366933,False,60.5,60,61,0.5431760820418604,0.7176271581225532,0.7738653548215594,0.7176271581225532
no_intercept_csad,market_return_sq,-9.595219382045176,-2.153179337203472,1.2263250554207232,0.2751888898932079,-7.824368701945246,5.102107117534448e-15,-11.998772324008879,-7.191666440081473,,,118,0.6825553267272573,-401.1927751550079,-392.8807212816109,0.21915442250180311,0.04309571752111047,0.01700009775352725,0.6136186856955196,0.5760519605336869,0.014596650914642278,1.3443303001537001,4,0.18778734157610155,0.0006176887472823317,6.809710819210078,6.809710819210078,5.396369785191664,3,3,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,3.0612642705206686e-14,True,60.5,60,61,0.5431760820418604,0.7176271581225532,0.7738653548215594,0.7176271581225532
scsad,market_return_cu,-36.1309517212647,-0.5110883790924305,6.046502272151756,0.0855304634456656,-5.975512799800348,2.293675290377166e-09,-47.98187840712175,-24.280025035407654,0.004182225039416412,0.41292939044684807,118,0.6484844144194226,-387.307764162239,-376.22502566437635,0.24237764808024145,0.04532160483794447,1.3223003200865246e-15,0.26547642306910824,0.7218879545308128,0.18520333522894003,2.0125619101623102,4,0.9838592963935182,0.2949758899603927,2.8855482238722963,2.8855482238722963,3.113062509818449,4,4,HAC,cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,weekly,baseline,3.440512935565749e-09,True,60.5,60,61,0.5431760820418604,0.7176271581225532,0.7738653548215594,0.7176271581225532
standard_csad,market_return_sq,-0.17645968495094644,-0.08583631572681837,0.06663656600610286,0.03241441420594659,-2.64809091355016,0.008094775308825299,-0.30706495437633413,-0.045854415525558745,0.012041867871870296,4.611893237752547e-162,1826,0.2570190578838547,-11849.982608656966,-11833.452959473501,0.161885643986593,0.009415725351341287,-1.6659425451658975e-17,2.722992923526506,14.119760933413616,0.0,0.9773234335782697,7,0.0,2.654608472601364e-05,2.8564134926758125,2.8564134926758142,3.052595404627503,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,0.01214216296323795,True,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
no_intercept_csad,market_return_sq,-1.258654347727454,-0.6122545895539803,0.3182657393306491,0.15481586342970713,-3.9547277390728723,7.662185581726686e-05,-1.8824437343285392,-0.6348649611263689,,,1826,0.6770198746957421,-10995.835494807663,-10979.305845624198,0.2584389997643003,0.01189675832226904,0.004571780394238984,1.2313481158041384,7.502614085237859,0.0,1.2982300130974853,7,6.990109112373567e-116,1.5409769522087613e-29,2.504949750789928,2.504949750789928,3.2439546038747866,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,0.0002298655674518006,True,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
scsad,market_return_cu,-2.031531619892637,-0.16621078052420218,0.6485064933737829,0.053057884693109646,-3.1326311157253337,0.0017324702839378347,-3.3025809906456143,-0.7604822491396594,0.0012357996019021085,0.0022791257618567113,1826,0.6474662837476626,-10842.262913697125,-10820.223381452504,0.2808070205153803,0.012400911100404782,1.0930771925909674e-15,0.4951944396690277,5.692206490316877,0.0,1.9948881639501646,7,0.24319761133124737,1.8910173850589198e-13,2.9036951849508315,2.9036951849508315,3.179536102952501,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,daily,baseline,0.0034649405678756694,True,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
standard_csad,market_return_sq,-0.19935274335460962,-0.2056047441631461,0.0794476757634894,0.08193927394644561,-2.5092331706225095,0.012099358796311624,-0.3550673265064646,-0.04363816020275463,0.030927147881022535,7.844107198125698e-26,261,0.2518722408756512,-1176.8294641021962,-1166.135902880228,0.1644300027304227,0.025099801004418134,-1.297387059427865e-17,2.8493876511598173,12.590925220729376,0.0,1.2161198106924096,4,4.639535327407926e-13,0.5536071899276465,3.2386272127487814,3.2386272127487814,3.295822898197207,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,0.014519230555573947,True,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
no_intercept_csad,market_return_sq,-0.6725018348929112,-0.6935925003371974,0.09829320191917713,0.10137582404682555,-6.841793956878977,7.820752295090421e-12,-0.8651529705796217,-0.47985069920620066,,,261,0.7277478352089246,-1083.0647932085044,-1072.3712319865363,0.23550604383051937,0.030038675187389407,0.009865016874467131,1.6162699317873568,6.461336857183213,2.655443371965373e-119,1.5519162701360278,4,0.03702758426266837,0.38329225229304215,2.9426565875085218,2.9426565875085218,3.655918675090893,3,3,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,4.692451377054253e-11,True,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
scsad,market_return_cu,-0.4041650492281414,-0.128595501294471,0.25111040825972986,0.07989723231162268,-1.609511338176406,0.10750457780173618,-0.8963324055603612,0.08800230710407841,0.000367255457262683,0.8782491681423381,261,0.7083276164145426,-1063.5697546875972,-1049.3116730583065,0.2518333038277908,0.031062494406070607,6.061562490769533e-18,-0.032448148018605974,6.417093639243184,1.2499510476424586e-93,1.9516555172989092,4,0.46761628485917583,0.5863107132694927,6.32017315523099,6.32017315523099,5.0264190033368275,4,4,HAC,binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,weekly,baseline,0.10750457780173618,False,14.0,14,14,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
standard_csad,market_return_sq,0.3973238530579284,0.11481124326147996,0.28198281405948256,0.08148213909477967,1.4090357044742285,0.15882461081861632,-0.15535230675791223,0.950000012873769,0.013396507552646696,6.874782201243772e-168,1826,0.27530784598551794,-11179.154916441017,-11162.625267257552,0.23375316323874032,0.01131431750151327,-1.4674278586707641e-15,4.1036235431382,40.162715700770505,0.0,1.0342552903482933,7,0.0,5.650155571812094e-18,3.404478381291658,3.404478381291658,3.3957609196536067,3,3,HAC,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,0.19058953298233958,False,14.0,14,14,0.29213818302788824,0.43865842833364294,0.8670619824941342,0.4301244512952135
no_intercept_csad,market_return_sq,-1.6506034837810537,-0.4769606371379955,0.5276046007913447,0.15245734606952854,-3.128485766244917,0.0017570952116112068,-2.684689499409722,-0.6165174681523851,,,1826,0.6415611665790264,-10399.524261629427,-10382.994612445962,0.35824841012456626,0.014006891007181327,0.0051118476680651614,1.8833984355483888,17.66032328593693,0.0,1.3025784519401424,7,1.9084864446235987e-109,6.1523482018505225e-37,2.8934907287944704,2.8934907287944704,3.526716897738681,3,3,HAC,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,0.0035141904232224136,True,14.0,14,14,0.29213818302788824,0.43865842833364294,0.8670619824941342,0.4301244512952135
scsad,market_return_cu,-3.0244184383493464,-0.11829673513084671,1.5477640673430995,0.06053905557441901,-1.954056501351062,0.05069453557177021,-6.057980266907048,0.009143390208355306,0.00035543850656743364,0.3765406279366059,1826,0.6226042647466457,-10304.165557372338,-10282.126025127718,0.37704105026199186,0.014369575270765936,2.6785802491709347e-16,0.7706812000737724,11.082454459879008,0.0,2.1062633129606043,7,0.00013237699253146516,1.0112038735474932e-44,2.211993280122512,2.211993280122512,2.6143554105166804,4,4,HAC,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,0.07604180335765531,False,14.0,14,14,0.29213818302788824,0.43865842833364294,0.8670619824941342,0.4301244512952135
standard_csad,market_return_sq,0.0040136127894892125,0.002749240410840212,0.09520098654078536,0.065210675039505,0.04215936131890532,0.9663716587067787,-0.18257689212313252,0.19060411770211097,0.037106803300297336,9.84351763070201e-47,261,0.24791235670102152,-1159.3833678325032,-1148.689806610535,0.17579670550498122,0.025952853326841073,-2.1268640318489588e-19,2.1730054320217427,8.371899966393732,3.3928223162037274e-203,1.3330013190733507,4,2.7663384647121916e-12,0.3977370152474622,3.376855874931987,3.376855874931987,3.379327851345051,3,3,HAC,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,0.9663716587067787,False,14.0,14,14,0.29068979716106685,0.4393250719393468,0.8423392789124106,0.4336080760654417
