moderator,level,model,estimate_count,mean_standardized_coefficient,median_standardized_coefficient,negative_share,bh_support_share
provider,binance,no_intercept_csad,4,-0.618046895399113,-0.6508172220606294,1.0,1.0
provider,binance_archive,no_intercept_csad,4,-0.21234852696693074,-0.2589489879114776,0.75,0.25
provider,coinmarketcap,no_intercept_csad,8,-1.339329813301727,-1.2524211445399953,1.0,1.0
provider,okx,no_intercept_csad,4,-0.5034360788653676,-0.6034038948504308,1.0,0.75
provider,binance,scsad,4,-0.1623480593202505,-0.1474031409093366,1.0,0.5
provider,binance_archive,scsad,4,0.18363314111682577,0.12250265491456541,0.5,0.25
provider,coinmarketcap,scsad,8,-0.33852511117339057,-0.32600532548631145,1.0,1.0
provider,okx,scsad,4,-0.10468429460838091,-0.14491331211140632,0.75,0.25
provider,binance,standard_csad,4,-0.04347014405441108,-0.04154353765798908,0.5,0.5
provider,binance_archive,standard_csad,4,0.5240503193007657,0.584611192620809,0.0,0.0
provider,coinmarketcap,standard_csad,8,-0.06484845121952877,-0.052596753354391734,1.0,0.0
provider,okx,standard_csad,4,0.020190862338647447,-0.04853920135339109,0.75,0.5
sample,five_year,no_intercept_csad,12,-0.4446105004104704,-0.602471891046047,0.9166666666666666,0.6666666666666666
sample,historical,no_intercept_csad,4,-0.9481527692503142,-0.9451808215059676,1.0,1.0
sample,temporal_holdout,no_intercept_csad,4,-1.7305068573531401,-1.728210464107497,1.0,1.0
sample,five_year,scsad,12,-0.027799737603935223,-0.13000832489701372,0.75,0.3333333333333333
sample,historical,scsad,4,-0.25023837023108386,-0.25178402172938547,1.0,1.0
sample,temporal_holdout,scsad,4,-0.4268118521156972,-0.42537323429965734,1.0,1.0
sample,five_year,standard_csad,12,0.1669236791950007,0.05878024183616008,0.4166666666666667,0.3333333333333333
sample,historical,standard_csad,4,-0.06223145373418788,-0.046721197759170746,1.0,0.0
sample,temporal_holdout,standard_csad,4,-0.06746544870486966,-0.060438741682768776,1.0,0.0
universe_type,fixed_survivor_14,no_intercept_csad,4,-0.618046895399113,-0.6508172220606294,1.0,1.0
universe_type,fixed_survivor_62,no_intercept_csad,8,-1.339329813301727,-1.2524211445399953,1.0,1.0
universe_type,listing_aware_survivor_14,no_intercept_csad,4,-0.5034360788653676,-0.6034038948504308,1.0,0.75
universe_type,point_in_time_top50,no_intercept_csad,4,-0.21234852696693074,-0.2589489879114776,0.75,0.25
universe_type,fixed_survivor_14,scsad,4,-0.1623480593202505,-0.1474031409093366,1.0,0.5
universe_type,fixed_survivor_62,scsad,8,-0.33852511117339057,-0.32600532548631145,1.0,1.0
universe_type,listing_aware_survivor_14,scsad,4,-0.10468429460838091,-0.14491331211140632,0.75,0.25
universe_type,point_in_time_top50,scsad,4,0.18363314111682577,0.12250265491456541,0.5,0.25
universe_type,fixed_survivor_14,standard_csad,4,-0.04347014405441108,-0.04154353765798908,0.5,0.5
universe_type,fixed_survivor_62,standard_csad,8,-0.06484845121952877,-0.052596753354391734,1.0,0.0
universe_type,listing_aware_survivor_14,standard_csad,4,0.020190862338647447,-0.04853920135339109,0.75,0.5
universe_type,point_in_time_top50,standard_csad,4,0.5240503193007657,0.584611192620809,0.0,0.0
weighting_class,contemporaneous_size,no_intercept_csad,4,-1.3366703126448098,-1.241833802236171,1.0,1.0
weighting_class,equal,no_intercept_csad,6,-0.6346619849423082,-0.6381579287459926,1.0,0.8333333333333334
weighting_class,lagged_liquidity,no_intercept_csad,6,-0.2545590158786328,-0.30991794748029955,0.8333333333333334,0.5
weighting_class,lagged_size,no_intercept_csad,4,-1.3419893139586445,-1.2526492873485813,1.0,1.0
weighting_class,contemporaneous_size,scsad,4,-0.339693515538779,-0.32600532548631145,1.0,1.0
weighting_class,equal,scsad,6,-0.15577644355187156,-0.14491331211140632,1.0,0.5
weighting_class,lagged_liquidity,scsad,6,0.1001769683440011,-0.039908814927507405,0.5,0.16666666666666666
weighting_class,lagged_size,scsad,4,-0.337356706808002,-0.32377555043779616,1.0,1.0
weighting_class,contemporaneous_size,standard_csad,4,-0.06248147382081865,-0.052596753354391734,1.0,0.0
weighting_class,equal,standard_csad,6,0.0009296927337468045,-0.07842045818336567,0.6666666666666666,0.6666666666666666
weighting_class,lagged_liquidity,standard_csad,6,0.3329176656562545,0.24144259274140545,0.16666666666666666,0.0
weighting_class,lagged_size,standard_csad,4,-0.0672154286182389,-0.05668914752727275,1.0,0.0
frequency,daily,no_intercept_csad,10,-0.6171974499740955,-0.6562235199288305,0.9,0.8
frequency,weekly,no_intercept_csad,10,-0.9877990011598508,-0.6914861774522381,1.0,0.8
frequency,daily,scsad,10,-0.10021201812663123,-0.1784990638940937,0.8,0.7
frequency,weekly,scsad,10,-0.20396775593680347,-0.20183943990901254,0.9,0.5
frequency,daily,standard_csad,10,0.10648370576943515,-0.021260485308141275,0.6,0.2
frequency,weekly,standard_csad,10,0.04194594828894265,-0.07923694473835004,0.7,0.2
