model,target_term,target_coefficient,target_standardized_coefficient,target_std_error,target_standardized_std_error,target_t_stat,target_p_value,target_ci_lower,target_ci_upper,intercept,intercept_p_value,nobs,rsquared,aic,bic,sse,rmse,residual_mean,residual_skew,residual_excess_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag,ljung_box_p_value,breusch_pagan_p_value,target_vif,max_vif,condition_number_standardized,design_rank,design_columns,cov_type,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,q_value_bh_fdr,supports_negative_relation
standard_csad,market_return_sq,-0.05785246155946755,-0.0220474391083685,0.1431675252371402,0.054560812277919424,-0.4040892755786743,0.686147070949662,-0.33845565477999157,0.22275073166105647,0.02320961591132141,8.786226721828901e-306,2291,0.1897728964982317,-13153.147923197039,-13135.937692149679,0.42956682585676764,0.013693132884620774,-3.178988669376267e-17,2.288008299953514,9.065210240229622,0.0,0.879886073914828,8,0.0,3.2674299756173085e-12,2.3599252123658268,2.3599252123658268,2.702363121673867,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.6861470709496619,False
no_intercept_csad,market_return_sq,-1.837304396955908,-0.7001924503036808,0.5165947154192299,0.19687304956251284,-3.556568315773204,0.0003757308062103293,-2.849811433781317,-0.824797360130499,,,2291,0.6059286276911693,-11254.607023024751,-11237.396791977391,0.9838491723639463,0.020722956612338195,0.01042506887017651,0.39724807786573213,2.8842972378370524,3.567557050387736e-185,1.1496681098778234,8,2.2559881651808432e-114,1.4548349419149257e-71,2.257932813206673,2.257932813206673,2.8876034072513495,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.000563596209315494,True
scsad,market_return_cu,-2.9023483800056917,-0.2035152921750805,0.6280612738704286,0.04404022430117189,-4.621122971203056,3.816684486812547e-06,-4.133325856876079,-1.6713709031353043,0.0013933639657343585,0.009559411731780446,2291,0.5781541139846941,-11103.527397605061,-11080.580422875248,1.0499989704596546,0.021408285705297774,-1.9632193441123675e-15,0.20590247564878433,1.360335763139843,2.7881377660261682e-42,1.9496691161871995,8,0.009766880747418542,4.474275214907565e-09,3.963516762773102,3.963516762773102,3.8449371807662223,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,1.145005346043764e-05,True
intercept_restored,market_return_sq,-0.04607154160434888,-0.01755775779923264,0.1440217664975955,0.05488636164377285,-0.319892907334379,0.7490495147230684,-0.32834901692947344,0.23620593372077567,0.02320965168220245,2.0952429611420272e-305,2291,0.18987303817178613,-13151.431101521224,-13128.48412679141,0.4295137326676373,0.013692286643109803,-2.3067051930230228e-17,2.287325006207807,9.076079646724141,0.0,0.8831846422293886,8,0.0,1.424243047341361e-11,2.5612124241945393,2.5612124241945393,2.8876034072513503,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,,False
standard_csad,market_return_sq,-0.06459850663657765,-0.024390675230465893,0.14487964445104803,0.05470269421537969,-0.4458770373253105,0.6556860701068411,-0.34855739185360013,0.2193603785804448,0.023369017058104076,1.5070808616162282e-304,2291,0.1923060356028814,-13110.273917020577,-13093.063685973217,0.4376814753326704,0.013821861543938104,-2.8688434333395577e-17,2.2936439628463496,9.096094692630652,0.0,0.8805684152477404,8,0.0,2.291856045609362e-12,2.3604620683174597,2.3604620683174597,2.702768004942109,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,0.6556860701068411,False
no_intercept_csad,market_return_sq,-1.8510263493452768,-0.6988982389935233,0.5186009799379585,0.19580991472496112,-3.5692689002761226,0.0003579788443812626,-2.8674655923708547,-0.834587106319699,,,2291,0.6076299008618404,-11219.126647541527,-11201.916416494167,0.9992044937177388,0.020884046169864397,0.010489699158476352,0.3997827753952235,2.893402339357735,1.9969482833498104e-186,1.1521451348503666,8,6.549284116330495e-114,3.64729591116366e-71,2.258451913874479,2.258451913874479,2.8885115025041337,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,0.000536968266571894,True
scsad,market_return_cu,-2.941159549005887,-0.2046894690950527,0.632015411373515,0.043984998725302815,-4.653619984699534,3.261576674449822e-06,-4.179886992972243,-1.702432105039531,0.00151472703916002,0.00537623076255616,2291,0.5799657478488431,-11068.767999713828,-11045.821024984014,1.0660511787041405,0.02157130814521115,-1.9917139376732404e-15,0.20583062660563173,1.3721204574664405,6.087883326630555e-43,1.9459102680239864,8,0.006467067186840894,2.9340590349114963e-09,3.967590215598755,3.967590215598755,3.8480203275571934,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,9.784730023349466e-06,True
intercept_restored,market_return_sq,-0.05050605452914618,-0.019069740731360488,0.14596856672847427,0.05511384225893034,-0.3460063742565604,0.7293379243226639,-0.3365991881918874,0.235587079133595,0.023368903463067428,3.6533605940019e-304,2291,0.19244656367658985,-13108.672555418061,-13085.725580688248,0.4376053245412351,0.013820659081027007,-6.590586265780065e-18,2.292866568472341,9.109340890472879,0.0,0.8844727602012802,8,0.0,9.52367266214043e-12,2.5619331565962216,2.5619331565962216,2.888511502504132,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,,False
standard_csad,market_return_sq,-0.1256741180913693,-0.071394956409973,0.26102214644629596,0.14828562197685075,-0.48146917724173316,0.6301830810793702,-0.637268124293449,0.38591988811071043,0.05788134604546903,8.280138753100919e-59,328,0.2466198808921929,-1294.3714592843435,-1282.992418459191,0.36443371716206313,0.03333284275278512,-1.9631992508615572e-17,1.4943849321982627,3.6642496115620444,2.996268635577665e-65,1.1235484007395582,5,2.32649617233089e-41,7.246821896084458e-05,5.66751251810322,5.66751251810322,4.541096467720435,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.6861470709496619,False
no_intercept_csad,market_return_sq,-2.0786670231176823,-1.1808822990779921,0.3525935565781908,0.20030696840884432,-5.895363044323583,3.738584837083297e-09,-2.769737695191822,-1.3875963510435425,,,328,0.7196865083558397,-1077.8666087939473,-1066.4875679687948,0.7051569856344253,0.04636667832227731,0.018392680712150198,0.3865578846690343,0.8824371812257485,0.00012421886736779976,1.492749762692465,5,0.006167334960933452,8.934530440502169e-06,5.3497503573494765,5.3497503573494765,4.95749646277066,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,2.2431509022499783e-08,True
scsad,market_return_cu,-3.3226647594620404,-0.3065980902015792,0.9152277251517724,0.08445241784684328,-3.630424066219194,0.00028295594228256864,-5.116478138412038,-1.5288513805120432,0.0044277689186844275,0.1969127513175668,328,0.6890841845828285,-1047.9560619201675,-1032.7840074866308,0.7677879462709326,0.048381989514307895,-1.5570200955108904e-17,0.25193327717018277,0.5428917769870298,0.028974379512020466,2.080860785065644,5,0.5442828990261351,0.34160653083760634,3.4208546197939405,3.4208546197939405,3.4475073603684256,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.000563596209315494,True
intercept_restored,market_return_sq,0.13902235360875914,0.07897803483047355,0.2786187830369945,0.15828219980397087,0.49896978263055586,0.6178006718171978,-0.4070604265601294,0.6851051337776477,0.058719157384789764,4.610069109129879e-62,328,0.2745643515857408,-1304.7690517239757,-1289.596997290439,0.3509160956179264,0.032708808372923115,-3.723308924047781e-17,1.3117697165135263,2.6192473376720535,1.9597600480206385e-40,1.1799164038298355,5,2.2786122462136023e-38,6.185561339256305e-06,6.476690002356674,6.476690002356674,4.957496462770663,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,,False
standard_csad,market_return_sq,-0.12785439804830867,-0.07199298445937297,0.26563438573828074,0.1495749266060082,-0.48131719729342065,0.630291076361198,-0.6484882271507592,0.3927794310541418,0.058392343620788684,5.47700294258481e-59,328,0.24848973760099913,-1287.7469499150839,-1276.3679090899313,0.3718688966884108,0.03367115436460644,-8.46206573647223e-18,1.4937198979465862,3.661147875534401,3.6730126483230975e-65,1.1230728051587626,5,2.772896949019952e-41,6.940269751598976e-05,5.663801111051621,5.663801111051621,4.539457730043559,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,0.6556860701068411,False
