dgp,scenario,frequency,observations,assets,weighting,repetitions,no_intercept_raw_false_positive_rate,restored_raw_false_positive_rate,support_disappearance_rate,median_magnitude_reduction,mechanical_change_rate,mean_no_intercept_residual,mean_restored_residual
common_factor,n14_daily_equal,daily,1826,14,equal,300,1.0,0.0,1.0,0.9832880178140225,1.0,0.0039509951521250015,7.515741710376624e-19
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.9810854038534046,1.0,0.004001602050820873,9.328144570920265e-19
common_factor,n14_weekly_equal,weekly,261,14,equal,300,1.0,0.02666666666666667,0.9733333333333334,0.9650532442389634,1.0,0.0038434867620137612,-2.4660545352615374e-19
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,1.0,0.02,0.98,0.9646458592523639,1.0,0.003919319106799424,-1.5736578352315773e-19
common_factor,n50_daily_equal,daily,1826,50,equal,300,1.0,0.0,1.0,0.9827943110238467,1.0,0.004046663860553168,1.7746683498832902e-18
common_factor,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.9839048734868165,1.0,0.004089503894743736,-1.72610052594927e-18
common_factor,n50_weekly_equal,weekly,261,50,equal,300,1.0,0.01,0.99,0.9802236179776205,1.0,0.003927321590815347,-3.4488651114787427e-18
common_factor,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.9790269697282654,1.0,0.003926663620340522,3.7184672823492647e-19
common_factor,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,1.0,0.0,1.0,0.9842415197558171,1.0,0.004071995693988476,4.374592496773639e-19
common_factor,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,1.0,0.0033333333333333335,0.9966666666666667,0.9843048163608576,1.0,0.004075282245123574,-5.529030399693806e-19
common_factor,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,1.0,0.0,1.0,0.9825345571854264,1.0,0.0040553273986390775,7.224391767543894e-19
common_factor,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,1.0,0.0033333333333333335,0.9966666666666667,0.9841890867218098,1.0,0.0040245206578708274,-4.1384650057610563e-19
common_factor,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,1.0,0.016666666666666666,0.9833333333333333,0.9772204723161949,1.0,0.0038780170297321483,-7.438729481731053e-19
common_factor,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,1.0,0.02666666666666667,0.9733333333333334,0.9752273194138743,1.0,0.003869709373007062,2.5461232306441507e-18
common_factor,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,1.0,0.006666666666666667,0.9933333333333333,0.9821762411296941,1.0,0.004006486246876901,1.4003308449572128e-18
common_factor,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,1.0,0.0033333333333333335,0.9966666666666667,0.98399736776049,1.0,0.003973880361145534,-2.3018581733566225e-19
fat_tail_correlated,n14_daily_equal,daily,1826,14,equal,300,1.0,0.006666666666666667,0.9933333333333333,0.9700608897294793,1.0,0.005279123415519018,-4.564178433598707e-19
fat_tail_correlated,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,1.0,0.016666666666666666,0.9833333333333333,0.9739437970570963,1.0,0.005196617892732621,-7.047100368263065e-19
fat_tail_correlated,n14_weekly_equal,weekly,261,14,equal,300,0.9966666666666667,0.016666666666666666,0.98,0.954966068981858,0.9966666666666667,0.004648208638535815,-2.270515973333424e-18
fat_tail_correlated,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.9933333333333333,0.04,0.9533333333333334,0.9566060013572408,0.9933333333333333,0.004652023924433652,-2.434306658619459e-18
fat_tail_correlated,n50_daily_equal,daily,1826,50,equal,300,1.0,0.0,1.0,0.9617465707388915,1.0,0.0056284685019873885,-5.166518251717635e-19
fat_tail_correlated,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.9645028321224907,1.0,0.0055732959955395985,-4.563228420742204e-20
fat_tail_correlated,n50_weekly_equal,weekly,261,50,equal,300,1.0,0.016666666666666666,0.9833333333333333,0.9674659663450239,1.0,0.005050657229732129,-3.7505474814963185e-18
fat_tail_correlated,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,1.0,0.01,0.99,0.9673285351503853,1.0,0.005009050346151989,-2.9556320495927697e-18
