dataset_id,provider,sample,universe_type,weighting_class,baseline_supported_cells,baseline_required_cells,baseline_all_six,baseline_corrected_supported_cells,baseline_corrected_required_cells,baseline_corrected_all_four,loo_supported_cells,loo_required_cells,loo_all_six,loo_corrected_supported_cells,loo_corrected_required_cells,loo_corrected_all_four,worst_matched_null_bh_false_positive_rate,null_fpr_within_tolerance,significant_opposite_regime_cells,regime_consistent,structurally_robust,interpretation
binance_fixed14_equal,binance,five_year,fixed_survivor_14,equal,5,6,False,3,4,False,5,6,False,3,4,False,1.0,False,1,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,3,6,False,3,4,False,3,6,False,3,4,False,1.0,False,0,True,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
binance_pit50_equal,binance_archive,five_year,point_in_time_top50,equal,2,6,False,2,4,False,2,6,False,2,4,False,1.0,False,1,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
binance_pit50_lagged,binance_archive,five_year,point_in_time_top50,lagged_liquidity,0,6,False,0,4,False,0,6,False,0,4,False,1.0,False,3,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,4,6,False,4,4,True,4,6,False,4,4,True,1.0,False,1,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,4,6,False,4,4,True,4,6,False,4,4,True,1.0,False,1,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,4,6,False,4,4,True,4,6,False,4,4,True,1.0,False,0,True,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,4,6,False,4,4,True,4,6,False,4,4,True,1.0,False,0,True,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
okx_listing14_equal,okx,five_year,listing_aware_survivor_14,equal,5,6,False,3,4,False,5,6,False,3,4,False,1.0,False,2,False,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
okx_listing14_lagged,okx,five_year,listing_aware_survivor_14,lagged_liquidity,1,6,False,1,4,False,1,6,False,1,4,False,1.0,False,0,True,False,nonlinear_convergence_relation_only_not_imitation_or_alpha
