dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-01-01 00:00:00+00:00,0.0048397317034429045,,,,
cmc_fixed62_historical_current,daily,2018-01-02 00:00:00+00:00,0.09233625842282119,,,,
cmc_fixed62_historical_current,daily,2018-01-03 00:00:00+00:00,0.0959194762095981,,,,
cmc_fixed62_historical_current,daily,2018-01-04 00:00:00+00:00,0.027041565727127306,,,,
cmc_fixed62_historical_current,daily,2018-01-05 00:00:00+00:00,0.04036418300129383,,,,
cmc_fixed62_historical_current,daily,2018-01-06 00:00:00+00:00,0.037856358125671806,,,,
cmc_fixed62_historical_current,daily,2018-01-07 00:00:00+00:00,0.015085287289765128,,,,
cmc_fixed62_historical_current,daily,2018-01-08 00:00:00+00:00,-0.11287527401413097,,,,
cmc_fixed62_historical_current,daily,2018-01-09 00:00:00+00:00,-0.012356141490210679,,,,
cmc_fixed62_historical_current,daily,2018-01-10 00:00:00+00:00,0.007528311954774619,,,,
cmc_fixed62_historical_current,daily,2018-01-11 00:00:00+00:00,-0.09669790425666715,,,,
cmc_fixed62_historical_current,daily,2018-01-12 00:00:00+00:00,0.07431234598892092,,,,
cmc_fixed62_historical_current,daily,2018-01-13 00:00:00+00:00,0.04271622191023344,,,,
cmc_fixed62_historical_current,daily,2018-01-14 00:00:00+00:00,-0.048003307571537486,,,,
cmc_fixed62_historical_current,daily,2018-01-15 00:00:00+00:00,-0.03350284176793786,,,,
cmc_fixed62_historical_current,daily,2018-01-16 00:00:00+00:00,-0.2331364369940768,,,,
cmc_fixed62_historical_current,daily,2018-01-17 00:00:00+00:00,0.0009688646509974194,,,,
cmc_fixed62_historical_current,daily,2018-01-18 00:00:00+00:00,0.04816053739231611,,,,
cmc_fixed62_historical_current,daily,2018-01-19 00:00:00+00:00,0.006193872082753941,,,,
cmc_fixed62_historical_current,daily,2018-01-20 00:00:00+00:00,0.09842388395285788,,,,
cmc_fixed62_historical_current,daily,2018-01-21 00:00:00+00:00,-0.11693418184346285,0.07983270084103491,,,
cmc_fixed62_historical_current,daily,2018-01-22 00:00:00+00:00,-0.05261153903121887,0.08207805150228326,,,
cmc_fixed62_historical_current,daily,2018-01-23 00:00:00+00:00,-0.010395299557980743,0.08079697001728994,,,
cmc_fixed62_historical_current,daily,2018-01-24 00:00:00+00:00,0.048034858318865975,0.07894675664901225,,,
cmc_fixed62_historical_current,daily,2018-01-25 00:00:00+00:00,-0.004484418075946602,0.07797876618500713,,,
cmc_fixed62_historical_current,daily,2018-01-26 00:00:00+00:00,-0.014046406010719797,0.07633735822621161,,,
cmc_fixed62_historical_current,daily,2018-01-27 00:00:00+00:00,0.027476989480759172,0.07482500171947706,,,
cmc_fixed62_historical_current,daily,2018-01-28 00:00:00+00:00,0.06650392492806548,0.07361630295342979,,,
cmc_fixed62_historical_current,daily,2018-01-29 00:00:00+00:00,-0.045144938349631146,0.07340810658182217,,,
cmc_fixed62_historical_current,daily,2018-01-30 00:00:00+00:00,-0.12295902927663603,0.07257017633526919,,,
cmc_fixed62_historical_current,daily,2018-01-31 00:00:00+00:00,0.024341823939652233,0.0746709848790994,,,
cmc_fixed62_historical_current,daily,2018-02-01 00:00:00+00:00,-0.12398467123604864,0.07485009648227857,,,
cmc_fixed62_historical_current,daily,2018-02-02 00:00:00+00:00,-0.07174309771778008,0.07556646749444462,,,
cmc_fixed62_historical_current,daily,2018-02-03 00:00:00+00:00,0.05253855918336457,0.07346467485256901,,,
cmc_fixed62_historical_current,daily,2018-02-04 00:00:00+00:00,-0.12242932966041452,0.07414560351388359,,,
cmc_fixed62_historical_current,daily,2018-02-05 00:00:00+00:00,-0.1864014049865819,0.07574652473266172,,,
cmc_fixed62_historical_current,daily,2018-02-06 00:00:00+00:00,0.12858807719583243,0.08051350401039134,,,
cmc_fixed62_historical_current,daily,2018-02-07 00:00:00+00:00,-0.0376544801163775,0.0852266189168197,,,
cmc_fixed62_historical_current,daily,2018-02-08 00:00:00+00:00,0.10007557604917543,0.08367697467886635,,,
cmc_fixed62_historical_current,daily,2018-02-09 00:00:00+00:00,0.08186776090262271,0.08666052316441057,,,
cmc_fixed62_historical_current,daily,2018-02-10 00:00:00+00:00,-0.007681055390536864,0.08851221280830293,,,
cmc_fixed62_historical_current,daily,2018-02-11 00:00:00+00:00,-0.06231236474305283,0.087242784802556,,,
cmc_fixed62_historical_current,daily,2018-02-12 00:00:00+00:00,0.07932295611366985,0.08601147504882589,,,
cmc_fixed62_historical_current,daily,2018-02-13 00:00:00+00:00,-0.03198913532745667,0.08716790497492417,,,
cmc_fixed62_historical_current,daily,2018-02-14 00:00:00+00:00,0.10163617260105524,0.0870248337021731,,,
cmc_fixed62_historical_current,daily,2018-02-15 00:00:00+00:00,0.039792314518699946,0.08960911989450214,,,
cmc_fixed62_historical_current,daily,2018-02-16 00:00:00+00:00,0.013653496368619905,0.07976732217872405,,,
cmc_fixed62_historical_current,daily,2018-02-17 00:00:00+00:00,0.05468914093413501,0.07982576147531445,,,
cmc_fixed62_historical_current,daily,2018-02-18 00:00:00+00:00,-0.060175736092210365,0.07997918697715978,,,
cmc_fixed62_historical_current,daily,2018-02-19 00:00:00+00:00,0.04303019910731984,0.08063361680523724,,,
cmc_fixed62_historical_current,daily,2018-02-20 00:00:00+00:00,-0.025396083665589993,0.0787936995278574,,,
cmc_fixed62_historical_current,daily,2018-02-21 00:00:00+00:00,-0.05976993510076731,0.0761158053723754,,,
cmc_fixed62_historical_current,daily,2018-02-22 00:00:00+00:00,-0.06491722068730027,0.07628471566373074,,,
cmc_fixed62_historical_current,daily,2018-02-23 00:00:00+00:00,0.045241924672119696,0.0770834896571585,,,
cmc_fixed62_historical_current,daily,2018-02-24 00:00:00+00:00,-0.04216534757383221,0.07701765628113875,,,
cmc_fixed62_historical_current,daily,2018-02-25 00:00:00+00:00,-0.005136577060092446,0.0772975252466845,,,
cmc_fixed62_historical_current,daily,2018-02-26 00:00:00+00:00,0.047972593573780684,0.07728796039029505,,,
cmc_fixed62_historical_current,daily,2018-02-27 00:00:00+00:00,0.019141795388817922,0.07769308800304359,,,
cmc_fixed62_historical_current,daily,2018-02-28 00:00:00+00:00,-0.03830398974239742,0.0766355666781431,,,
cmc_fixed62_historical_current,daily,2018-03-01 00:00:00+00:00,0.040695924075348826,0.07653112754276206,,,
cmc_fixed62_historical_current,daily,2018-03-02 00:00:00+00:00,-0.004227842961045268,0.07381699977166783,,,
cmc_fixed62_historical_current,daily,2018-03-03 00:00:00+00:00,0.015129691586447128,0.07364621079019881,,,
cmc_fixed62_historical_current,daily,2018-03-04 00:00:00+00:00,0.014906072013838775,0.07007176156556072,,,
cmc_fixed62_historical_current,daily,2018-03-05 00:00:00+00:00,-0.009269409028465144,0.06872422083760105,,,
cmc_fixed62_historical_current,daily,2018-03-06 00:00:00+00:00,-0.06180267137118104,0.06815305816973355,,,
cmc_fixed62_historical_current,daily,2018-03-07 00:00:00+00:00,-0.08022211972217481,0.06516132714991235,,,
