model,target_term,target_coefficient,target_standardized_coefficient,target_std_error,target_standardized_std_error,target_t_stat,target_p_value,target_ci_lower,target_ci_upper,intercept,intercept_p_value,nobs,rsquared,aic,bic,sse,rmse,residual_mean,residual_skew,residual_excess_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag,ljung_box_p_value,breusch_pagan_p_value,target_vif,max_vif,condition_number_standardized,design_rank,design_columns,cov_type,regime,status,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,q_value_bh_fdr,supports_negative_relation,significant_opposite_positive
standard_csad,market_return_sq,-0.01733079064280818,-0.003323404476435935,0.37898846421964305,0.07267596640363401,-0.04572907167106835,0.9635261921982907,-0.7601345310694555,0.7254729497838391,0.021065239765967192,8.235353678946256e-234,1137,0.22365043260133566,-7062.815505102182,-7047.7070596209305,0.13281412899787257,0.010807914662287695,-3.1597904201292936e-16,1.7674400994108763,6.2703457528333,0.0,1.174932784315169,6.0,3.511669004096848e-162,8.431365011228945e-09,5.223278445914915,5.223278445914915,4.340510952287059,3.0,3.0,HAC,low,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.9635261921982907,False,False
no_intercept_csad,market_return_sq,-7.3230532294230315,-1.4042906861806987,0.6812235822919701,0.13063348057824178,-10.749852793975057,5.935626988684493e-27,-8.65822691613465,-5.987879542711412,,,1137,0.6667689365906795,-6069.171741060871,-6054.063295579619,0.3182597086098915,0.016730564634005626,0.007736657154057281,0.10091703530085605,0.8870668524916447,4.503106198142354e-09,1.3334509018586018,6.0,5.649403893703367e-13,1.5870053884646741e-15,4.180921437240011,4.180921437240011,4.487313508047967,3.0,3.0,HAC,low,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,5.342064289816044e-26,True,False
scsad,market_return_cu,-33.22146879859642,-0.35011677439545463,4.468248176230027,0.047090291165155375,-7.435009759602521,1.045602425788689e-13,-41.97907429799405,-24.463863299198785,-0.0001058753649231043,0.8534003376036615,1137,0.63033355597481,-5950.878515960434,-5930.733921985432,0.35253450502990696,0.01760842788712356,-3.6568031901681716e-16,-0.0025898992920338625,0.2952481141381904,0.1388106873336447,2.049175032185768,6.0,0.5490712842051253,0.0009096403888741029,2.1633005185816176,2.1633005185816176,2.58145123016934,4.0,4.0,HAC,low,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,4.705210916049101e-13,True,False
standard_csad,market_return_sq,-0.1081456940903834,-0.07195641571857006,0.09085011974872638,0.060448536945517994,-1.1903748106165757,0.23389910895935384,-0.28620865678903823,0.06991726860827142,0.02415447742381602,5.421237536972016e-97,529,0.14755007453522995,-3009.142777893516,-2996.329812597941,0.10366492789791451,0.013998712329245324,3.567824464768934e-18,2.3318056340859865,9.773746034936696,0.0,0.971453550572508,5.0,2.156753481112339e-93,0.0011245674273436118,2.584115594492488,2.5841155944924887,2.866134998416205,3.0,3.0,HAC,mid,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.26313649757927304,False,False
no_intercept_csad,market_return_sq,-1.413714559197121,-0.940636919339249,0.2005815236389781,0.13346002928575157,-7.048079671294311,1.8140377185519982e-12,-1.8068471214936874,-1.0205819969005545,,,529,0.5969289792749867,-2574.972197437825,-2562.15923214225,0.23554504946960383,0.021101297206543322,0.010321086444031402,0.1269381480137244,1.8550292245739133,5.377540084662231e-17,1.1534159502338808,5.0,1.6884749411015196e-20,0.1853508695906613,2.552713188346118,2.552713188346118,3.3352729185128616,3.0,3.0,HAC,mid,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,5.442113155655995e-12,True,False
scsad,market_return_cu,-3.5438495602913704,-0.5011244794625022,1.4409225622382678,0.20375627031076857,-2.4594309598334734,0.013915745999648128,-6.36800588678955,-0.719693233793191,0.0023577912992385273,0.03339452103925881,529,0.5741720208729535,-2550.3786760431203,-2533.294722315687,0.2458230721672829,0.021556759919728885,-1.4271297859075737e-17,0.08439299063359224,1.0566486442015544,5.414893821806191e-06,1.9463235390517541,5.0,0.9900724958373931,5.557189574750435e-07,17.847378144467296,17.847378144467296,8.972901752695423,4.0,4.0,HAC,mid,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.024267369015391393,True,False
standard_csad,market_return_sq,2.2201782976458158,0.6031615245215863,0.5272950956477778,0.14325160916171012,4.210504356992634,2.5480120931932342e-05,1.1866989009515683,3.2536576943400632,0.030412117581580675,2.8983963581685944e-49,425,0.22502948505541975,-2349.7244484819416,-2337.568180975168,0.09742533855449041,0.015140544597749715,-1.6718652606120003e-17,1.462833903589994,2.795473022245801,1.8503971436685872e-62,0.8262195469951502,5.0,1.1260035835491394e-112,0.026444402164640102,5.0924060844633,5.0924060844633,4.279605630880246,3.0,3.0,HAC,high,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,5.733027209684777e-05,False,True
no_intercept_csad,market_return_sq,-2.6943165868858614,-0.7319718879393922,1.3359258328757588,0.3629343926384323,-2.0168159942576938,0.04371471919767153,-5.312683105339024,-0.0759500684326988,,,425,0.6296855068273999,-2017.4082715069349,-2005.2520040001616,0.21293921356524817,0.022383776349913273,0.008959106682358154,0.7654305370750449,2.0742237254491993,1.302636048057437e-25,1.2154506631672468,5.0,2.877450093602991e-21,4.121041509508088e-24,4.023551664064043,4.023551664064043,4.342252188696952,3.0,3.0,HAC,high,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.05620463896843483,False,False
scsad,market_return_cu,-8.275100102037877,-0.19769998804313837,3.4409769111550084,0.08220820120647607,-2.4048694064791714,0.016178246010260928,-15.019290919535575,-1.5309092845401793,0.0031881488937063004,0.00986434663968127,425,0.6156558468856629,-2000.3901561928237,-1984.1817995171261,0.22059831853883377,0.022782775668258624,-6.1921709589916966e-15,0.22777042641875692,1.2957725241725022,1.0958392321754495e-07,2.0680994641909987,5.0,0.4491970757920519,0.0011488612916133755,2.1711472670207472,2.1711472670207472,2.563558472533017,4.0,4.0,HAC,high,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,0.024267369015391393,True,False
standard_csad,market_return_sq,0.2602253671292286,0.10190624225020808,0.6268942431772653,0.24549657596892954,0.4151024992833526,0.6780668699235353,-0.9684647716137059,1.4889155058721633,0.0590212586801149,1.4068428627908486e-41,156,0.21090770684659377,-675.2853926247889,-666.1358246030403,0.11587594330156574,0.027254256701355298,2.0638761355211244e-17,1.0026476554530892,1.0798293570793804,1.0022508582733634e-07,1.2143937055693184,4.0,2.3411256620600266e-09,0.11309186955890321,8.542973934752162,8.542973934752162,5.669284136452724,3.0,3.0,HAC,low,estimated,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,0.6780668699235353,False,False
