dimension,group,sample_rows,estimated_population_rows,inference_eligible,empirical_mean_intensity,null_mean_intensity,null_intensity_q025,null_intensity_q975,intensity_empirical_percentile,intensity_empirical_p_value,empirical_clustering_share,null_fpr_mean,null_fpr_q025,null_fpr_q975,tail_empirical_percentile,tail_empirical_p_value,intensity_q_value_bh_fdr_23,tail_q_value_bh_fdr_23,supports_excess_intensity,supports_excess_tail
pooled,all,9044,233201.0,True,20.623939508203048,-9.99532822586393e-05,-0.03753456365617347,0.037062794974513064,1.0,0.001,0.8734690245753663,0.025366890404454556,0.019570105295431833,0.031582055287069956,1.0,0.001,0.001,0.001,True,True
asset,ADAUSDT,1420,33295.0,True,3.603754391948622,-0.0013236591150134589,-0.08920869289405876,0.08398277850849076,1.0,0.001,0.6382467337438054,0.025359433618932045,0.013273764829553985,0.04004670370926565,1.0,0.001,0.001,0.001,True,True
asset,AVAXUSDT,516,24713.0,True,3.2479333410281948,0.002835531122655016,-0.16445869814389802,0.15917315970771007,1.0,0.001,0.6911246105288713,0.02649079703261713,0.005016716910128273,0.05669571682919919,1.0,0.001,0.001,0.001,True,True
asset,BTCUSDT,1119,35040.0,True,49.82475464942684,-0.0012011280495295062,-0.11141628215466565,0.10213378350030936,1.0,0.001,1.0,0.024937816669409134,0.010599261558219178,0.04583183504566211,1.0,0.001,0.001,0.001,True,True
asset,DOGEUSDT,1742,35033.0,True,8.074752202773238,-0.0014560397832504711,-0.07328135476270911,0.07063245633964942,1.0,0.001,0.8389550566608627,0.024965504424871315,0.015229961750349666,0.036666981845688354,1.0,0.001,0.001,0.001,True,True
asset,ETHUSDT,1272,35040.0,True,54.34419212172716,-0.0004894709074700149,-0.13148353904789573,0.12368909312661075,1.0,0.001,1.0,0.026023212853264224,0.007616063784246576,0.04842023401826484,1.0,0.001,0.001,0.001,True,True
asset,SOLUSDT,1364,35040.0,True,8.737992432956412,0.0009506554809362282,-0.07263807707961537,0.07700389786957654,1.0,0.001,0.9452044092465753,0.02522283913479689,0.013659942208904112,0.037563356164383555,1.0,0.001,0.001,0.001,True,True
asset,XRPUSDT,1611,35040.0,True,10.563019248970194,0.0007883734404130759,-0.06747478578115111,0.06870503742844646,1.0,0.001,0.9352907391552512,0.02489941568280609,0.01485602168949772,0.036070437357305925,1.0,0.001,0.001,0.001,True,True
transaction_count_quintile,Q1,1333,46671.0,True,2.2302201483689372,0.0001343669270379679,-0.10469342363352029,0.10313472002840318,1.0,0.001,0.538486961924964,0.025931621986452612,0.011634741059758733,0.04446639776306485,1.0,0.001,0.001,0.001,True,True
transaction_count_quintile,Q2,1569,46637.0,True,4.474372403107918,0.0010744106927147862,-0.06779431349534334,0.06832162185554246,1.0,0.001,0.8453880502605228,0.02506932308082682,0.015923488860775784,0.036257732594292096,1.0,0.001,0.001,0.001,True,True
transaction_count_quintile,Q3,2039,46614.0,True,9.894243316166945,-0.00038004654561994044,-0.060600888993159095,0.0577805142229547,1.0,0.001,0.9846502660145021,0.025177854088696324,0.01633701784871498,0.03544603016261209,1.0,0.001,0.001,0.001,True,True
transaction_count_quintile,Q4,2137,46642.0,True,25.27457590267807,-0.0009565805279460151,-0.0701474657988245,0.06867256192612269,1.0,0.001,0.9998676085931136,0.025044682294317815,0.01531681478066978,0.03707330571159041,1.0,0.001,0.001,0.001,True,True
transaction_count_quintile,Q5,1966,46637.0,True,61.253905263024464,-0.0003721340789917812,-0.11321085452356956,0.11485597043177245,1.0,0.001,0.9992377296995947,0.025610500180047967,0.00908477978857988,0.0445935362480434,1.0,0.001,0.001,0.001,True,True
zero_tick_share_quintile,Q1,781,46640.99999999999,True,56.637828349319776,5.786191357965937e-05,-0.12045780763548915,0.11530831420616595,1.0,0.001,0.9999785596363714,0.025977985071111296,0.009342517849102722,0.046519679573765585,1.0,0.001,0.001,0.001,True,True
zero_tick_share_quintile,Q2,1842,46640.0,True,24.57669942723012,-0.0030555216290242253,-0.06778379758193208,0.06085868829045151,1.0,0.001,0.9589719125214408,0.024610905126824935,0.014928092838765008,0.03504487832332763,1.0,0.001,0.001,0.001,True,True
zero_tick_share_quintile,Q3,2152,46640.0,True,8.397571807621363,0.000702957117448827,-0.06338681408507402,0.05913107143303947,1.0,0.001,0.8078733383361921,0.024968126091357224,0.015966646119210975,0.034537655445969116,1.0,0.001,0.001,0.001,True,True
