symbol,transaction_count_quintile,zero_tick_share_quintile,population_rows,sample_rows,sampling_weight
ADAUSDT,1,2,236,80,2.95
ADAUSDT,1,3,3159,80,39.4875
ADAUSDT,1,4,8363,80,104.5375
ADAUSDT,1,5,6531,80,81.6375
ADAUSDT,2,2,251,80,3.1375
ADAUSDT,2,3,2319,80,28.9875
ADAUSDT,2,4,4204,80,52.55
ADAUSDT,2,5,3242,80,40.525
ADAUSDT,3,2,96,80,1.2
ADAUSDT,3,3,858,80,10.725
ADAUSDT,3,4,1475,80,18.4375
ADAUSDT,3,5,1258,80,15.725
ADAUSDT,4,2,16,16,1.0
ADAUSDT,4,3,242,80,3.025
ADAUSDT,4,4,481,80,6.0125
ADAUSDT,4,5,338,80,4.225
ADAUSDT,5,1,4,4,1.0
ADAUSDT,5,2,18,18,1.0
ADAUSDT,5,3,66,66,1.0
ADAUSDT,5,4,102,80,1.275
ADAUSDT,5,5,36,36,1.0
AVAXUSDT,1,2,3,3,1.0
AVAXUSDT,1,3,35,35,1.0
AVAXUSDT,1,4,1266,80,15.825
AVAXUSDT,1,5,18018,80,225.225
AVAXUSDT,2,4,18,18,1.0
AVAXUSDT,2,5,4125,80,51.5625
AVAXUSDT,3,4,3,3,1.0
AVAXUSDT,3,5,936,80,11.7
AVAXUSDT,4,5,252,80,3.15
AVAXUSDT,5,1,1,1,1.0
AVAXUSDT,5,2,2,2,1.0
AVAXUSDT,5,3,1,1,1.0
AVAXUSDT,5,4,1,1,1.0
AVAXUSDT,5,5,52,52,1.0
BTCUSDT,2,3,16,16,1.0
BTCUSDT,2,4,3,3,1.0
BTCUSDT,3,1,49,49,1.0
BTCUSDT,3,2,1489,80,18.6125
BTCUSDT,3,3,913,80,11.4125
BTCUSDT,3,4,129,80,1.6125
BTCUSDT,3,5,11,11,1.0
BTCUSDT,4,1,3711,80,46.3875
BTCUSDT,4,2,8348,80,104.35
BTCUSDT,4,3,1167,80,14.5875
BTCUSDT,4,4,189,80,2.3625
BTCUSDT,4,5,121,80,1.5125
BTCUSDT,5,1,13846,80,173.075
BTCUSDT,5,2,4576,80,57.2
BTCUSDT,5,3,266,80,3.325
BTCUSDT,5,4,112,80,1.4
BTCUSDT,5,5,94,80,1.175
DOGEUSDT,1,2,1107,80,13.8375
DOGEUSDT,1,3,3801,80,47.5125
DOGEUSDT,1,4,1307,80,16.3375
DOGEUSDT,1,5,157,80,1.9625
DOGEUSDT,2,1,17,17,1.0
DOGEUSDT,2,2,4516,80,56.45
DOGEUSDT,2,3,5287,80,66.0875
DOGEUSDT,2,4,1666,80,20.825
DOGEUSDT,2,5,391,80,4.8875
DOGEUSDT,3,1,74,74,1.0
DOGEUSDT,3,2,5575,80,69.6875
DOGEUSDT,3,3,2913,80,36.4125
DOGEUSDT,3,4,806,80,10.075
DOGEUSDT,3,5,234,80,2.925
DOGEUSDT,4,1,110,80,1.375
DOGEUSDT,4,2,3536,80,44.2
DOGEUSDT,4,3,1302,80,16.275
DOGEUSDT,4,4,303,80,3.7875
DOGEUSDT,4,5,128,80,1.6
DOGEUSDT,5,1,36,36,1.0
DOGEUSDT,5,2,1382,80,17.275
DOGEUSDT,5,3,290,80,3.625
DOGEUSDT,5,4,66,66,1.0
DOGEUSDT,5,5,29,29,1.0
ETHUSDT,1,2,2,2,1.0
ETHUSDT,1,4,1,1,1.0
ETHUSDT,2,1,78,78,1.0
ETHUSDT,2,2,319,80,3.9875
ETHUSDT,2,3,54,54,1.0
ETHUSDT,2,4,13,13,1.0
ETHUSDT,2,5,1,1,1.0
ETHUSDT,3,1,1524,80,19.05
ETHUSDT,3,2,1326,80,16.575
ETHUSDT,3,3,92,80,1.15
ETHUSDT,3,4,18,18,1.0
ETHUSDT,3,5,55,55,1.0
ETHUSDT,4,1,8524,80,106.55
ETHUSDT,4,2,2098,80,26.225
ETHUSDT,4,3,68,68,1.0
ETHUSDT,4,4,36,36,1.0
ETHUSDT,4,5,106,80,1.325
ETHUSDT,5,1,18625,80,232.8125
ETHUSDT,5,2,1837,80,22.9625
ETHUSDT,5,3,117,80,1.4625
ETHUSDT,5,4,66,66,1.0
ETHUSDT,5,5,80,80,1.0
SOLUSDT,1,3,72,72,1.0
SOLUSDT,1,4,385,80,4.8125
SOLUSDT,1,5,48,48,1.0
SOLUSDT,2,2,9,9,1.0
SOLUSDT,2,3,1283,80,16.0375
SOLUSDT,2,4,5534,80,69.175
SOLUSDT,2,5,1749,80,21.8625
SOLUSDT,3,2,61,61,1.0
SOLUSDT,3,3,3496,80,43.7
SOLUSDT,3,4,7814,80,97.675
SOLUSDT,3,5,3261,80,40.7625
SOLUSDT,4,2,102,80,1.275
SOLUSDT,4,3,2155,80,26.9375
SOLUSDT,4,4,4223,80,52.7875
SOLUSDT,4,5,2312,80,28.9
SOLUSDT,5,1,3,3,1.0
SOLUSDT,5,2,51,51,1.0
SOLUSDT,5,3,657,80,8.2125
SOLUSDT,5,4,1163,80,14.5375
SOLUSDT,5,5,662,80,8.275
XRPUSDT,1,2,169,80,2.1125
XRPUSDT,1,3,1414,80,17.675
XRPUSDT,1,4,545,80,6.8125
XRPUSDT,1,5,52,52,1.0
XRPUSDT,2,2,2334,80,29.175
XRPUSDT,2,3,6051,80,75.6375
XRPUSDT,2,4,2523,80,31.5375
XRPUSDT,2,5,634,80,7.925
XRPUSDT,3,1,8,8,1.0
XRPUSDT,3,2,3858,80,48.225
XRPUSDT,3,3,4970,80,62.125
XRPUSDT,3,4,2307,80,28.8375
XRPUSDT,3,5,1005,80,12.5625
XRPUSDT,4,1,17,17,1.0
XRPUSDT,4,2,2394,80,29.925
XRPUSDT,4,3,2579,80,32.2375
XRPUSDT,4,4,1189,80,14.8625
XRPUSDT,4,5,595,80,7.4375
XRPUSDT,5,1,14,14,1.0
XRPUSDT,5,2,929,80,11.6125
XRPUSDT,5,3,997,80,12.4625
XRPUSDT,5,4,329,80,4.1125
XRPUSDT,5,5,127,80,1.5875
