symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ADAUSDT,2025-04-08 00:45:00+00:00,2,3,1,1074,533,244,28.9875
ADAUSDT,2025-04-08 01:00:00+00:00,2,3,2,1294,635,297,28.9875
DOGEUSDT,2025-04-08 01:15:00+00:00,4,3,3,3751,1886,652,16.275
BTCUSDT,2025-04-08 02:30:00+00:00,5,1,5,13306,2661,1102,173.075
DOGEUSDT,2025-04-08 02:45:00+00:00,3,2,2,1820,801,380,69.6875
ADAUSDT,2025-04-08 03:00:00+00:00,1,3,1,777,370,190,39.4875
DOGEUSDT,2025-04-08 03:45:00+00:00,3,5,2,3376,2240,505,2.925
XRPUSDT,2025-04-08 05:15:00+00:00,4,2,4,3959,1636,795,29.925
ADAUSDT,2025-04-08 06:00:00+00:00,3,5,3,2728,1853,492,15.725
ADAUSDT,2025-04-08 06:30:00+00:00,2,4,2,1258,695,260,52.55
DOGEUSDT,2025-04-08 08:15:00+00:00,4,4,3,4033,2388,691,3.7875
XRPUSDT,2025-04-08 09:00:00+00:00,4,3,4,5792,2933,1061,32.2375
DOGEUSDT,2025-04-08 10:30:00+00:00,4,5,3,3564,2368,519,1.6
ADAUSDT,2025-04-08 11:00:00+00:00,2,4,2,1099,640,241,52.55
ADAUSDT,2025-04-08 13:30:00+00:00,4,3,3,5625,2904,1274,3.025
ADAUSDT,2025-04-08 13:45:00+00:00,3,3,2,3176,1554,752,10.725
ETHUSDT,2025-04-08 13:45:00+00:00,5,1,5,29003,3775,2008,232.8125
XRPUSDT,2025-04-08 14:15:00+00:00,5,2,4,7709,2798,1346,11.6125
DOGEUSDT,2025-04-08 16:45:00+00:00,5,3,4,9534,4367,1771,3.625
DOGEUSDT,2025-04-08 17:00:00+00:00,5,4,4,9642,5376,1612,1.0
SOLUSDT,2025-04-08 17:15:00+00:00,5,4,5,7886,4297,1636,14.5375
