frequency,frequency_minutes,universe,universe_display_name,asset_count,observations,sample_start,sample_end,beta1,standardized_beta1,beta2,beta2_std_error,beta2_ci_lower,beta2_ci_upper,standardized_beta2,standardized_beta2_ci_lower,standardized_beta2_ci_upper,beta2_t_stat,beta2_p_value_hac,rsquared,hac_maxlags,beta2_q_value_bh_fdr,cell_supports_herding,broad_herding_supported_at_frequency
1m,1,ew14,동일가중 14종목,14,1051199,2024-04-08 00:01:00+00:00,2026-04-07 23:59:00+00:00,0.2553999919287971,0.52228280693464,4.534759110075596,0.4030981623257708,3.744701229682805,5.3248169904683875,0.3852116440019442,0.31809903943457063,0.45232424856931785,11.249763789324229,2.3221310298700214e-29,0.6035998427584094,31,6.966393089610064e-29,False,False
1m,1,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,1051199,2024-04-08 00:01:00+00:00,2026-04-07 23:59:00+00:00,0.24219728286891537,0.5109988127159871,3.2469025554102675,0.36040322486618487,2.5405252147604545,3.9532798960600806,0.3489411390061831,0.27302752299581307,0.4248547550165532,9.009082969820314,2.0778664418513255e-19,0.547644405202411,31,4.1557328837026505e-19,False,False
5m,5,ew14,동일가중 14종목,14,210239,2024-04-08 00:05:00+00:00,2026-04-07 23:55:00+00:00,0.25788705770607745,0.551683487958812,1.0229049406675996,0.06914602314579267,0.887381225627673,1.1584286557075263,0.3905883584086647,0.3388396735813715,0.4423370432359578,14.793402340881268,1.6157546312260799e-49,0.6883981511334216,21,6.4630185249043195e-49,False,False
5m,5,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,210239,2024-04-08 00:05:00+00:00,2026-04-07 23:55:00+00:00,0.2391915450582758,0.5642568184080513,0.6077831395444381,0.06041603193293774,0.4893698928670583,0.7261963862218179,0.3081967101977018,0.24815132444193408,0.3682420959534696,10.059964550784832,8.302823862508181e-24,0.6079753089823348,21,1.9926777270019635e-23,False,False
15m,15,ew14,동일가중 14종목,14,70079,2024-04-08 00:15:00+00:00,2026-04-07 23:45:00+00:00,0.2055898879979661,0.5479422837378809,1.9600796861064211,0.035257311517763464,1.8909766253398956,2.0291827468729466,0.30971771853557906,0.2987985490364306,0.32063688803472756,55.593566319396956,0.0,0.5840504468340858,17,0.0,False,False
15m,15,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,70079,2024-04-08 00:15:00+00:00,2026-04-07 23:45:00+00:00,0.1886634501740979,0.5317710468172051,1.3656584623228631,0.029302728122712045,1.3082261705535785,1.4230907540921478,0.2723771353953507,0.26092240967666697,0.28383186111403436,46.60516442714303,0.0,0.5149347184122697,17,0.0,False,False
1h,60,ew14,동일가중 14종목,14,17519,2024-04-08 01:00:00+00:00,2026-04-07 23:00:00+00:00,0.1816184020956265,0.5154706616805369,1.8642618429514457,0.8565119551127839,0.18552925860240177,3.5429944273004894,0.21927445782511917,0.021821949392222543,0.4167269662580158,2.1765742227216935,0.029512350200258827,0.49009578037311796,12,0.04426852530038824,False,False
1h,60,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,17519,2024-04-08 01:00:00+00:00,2026-04-07 23:00:00+00:00,0.1773913380496034,0.5286781492648319,1.0703503374139147,0.5045625792499863,0.08142585413730485,2.0592748206905247,0.14669360164832101,0.011159572144903223,0.2822276311517388,2.121343082962972,0.033892941268534614,0.4193462032728732,12,0.04519058835804615,False,False
4h,240,ew14,동일가중 14종목,14,4379,2024-04-08 04:00:00+00:00,2026-04-07 20:00:00+00:00,0.1935797641297896,0.5547759263662002,0.8068870677711859,0.4557894261223135,-0.08644379196272822,1.7002179275051001,0.16733233403358674,-0.017926723639024793,0.3525913917061983,1.7703066844614634,0.07667606513869783,0.4872112898022172,9,0.08364661651494308,False,False
4h,240,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,4379,2024-04-08 04:00:00+00:00,2026-04-07 20:00:00+00:00,0.19626876990439865,0.5877866789413516,0.2999033263034132,0.32352143148887796,-0.3341870276416301,0.9339936802484565,0.07140391232096685,-0.0795665106974704,0.22237433533940407,0.926996783252436,0.3539282044377974,0.4181236872457126,9,0.3539282044377974,False,False
1d,1440,ew14,동일가중 14종목,14,729,2024-04-09 00:00:00+00:00,2026-04-07 00:00:00+00:00,0.14239102946730686,0.3664674126736278,0.7980006683676486,0.2907581148356676,0.2281252350769789,1.3678761016583183,0.24748243680853124,0.07074804735421518,0.4242168262628473,2.7445516656299254,0.006059361559199233,0.3564911424182935,6,0.010387476958627255,False,False
1d,1440,ew12_ex_btc_eth,BTC·ETH 제외 동일가중 12종목,12,729,2024-04-09 00:00:00+00:00,2026-04-07 00:00:00+00:00,0.13835591296507882,0.3549477349763039,0.6215802798579618,0.3092985900216022,0.015366182946601747,1.2277943767693218,0.20488156642241234,0.005064909126062583,0.4046982237187621,2.0096447249065994,0.044468804054175325,0.29635713870819924,6,0.053362564865010384,False,False
