split,family,outcome,feature,term,coefficient,coefficient_bps,cluster_std_error,cluster_t_stat,cluster_p_value,ci_lower,ci_upper,ci_lower_bps,ci_upper_bps,expected_sign,q_value_bh_fdr,expected_sign_matches,predeclared_effect_threshold,passes_split_criteria,is_primary_oos_pass,ci_inside_predeclared_band
development,construct_aggressor,aggressor_imbalance,run_intensity_up,scaled__run_intensity_up,-0.03937661042471896,,0.001925867371082449,-20.446169355155035,6.498219105605654e-93,-0.0431512411110414,-0.03560197973839652,,,positive,9.74732865840848e-93,False,0.02,False,False,False
development,construct_aggressor,aggressor_imbalance,run_intensity_down,scaled__run_intensity_down,0.04321557807275141,,0.0018422629373979697,23.457877372157046,1.098542208305465e-121,0.03960480906539842,0.04682634708010439,,,negative,3.2956266249163945e-121,False,0.02,False,False,False
development,construct_aggressor,aggressor_imbalance,run_intensity_zero,scaled__run_intensity_zero,-0.00297084240624517,,0.0012649292931790615,-2.3486232963889644,0.018842959519337114,-0.005450058263865838,-0.0004916265486245024,,,none,0.018842959519337114,True,0.02,False,False,True
development,future_excess_return,future_excess_return_30m,run_intensity_up,scaled__run_intensity_up,2.7501452250390577e-06,0.02750145225039058,4.736617951854792e-05,0.05806136895550421,0.9536997455637213,-9.008586071657363e-05,9.558615116665174e-05,-0.9008586071657363,0.9558615116665173,none,0.9536997455637213,True,0.0005,False,False,True
development,future_excess_return,future_excess_return_30m,run_intensity_down,scaled__run_intensity_down,-4.399262543966433e-05,-0.4399262543966433,5.13301013507137e-05,-0.8570531575436418,0.39141550734784336,-0.00014459777540985395,5.66125245305253e-05,-1.4459777540985395,0.566125245305253,none,0.587123261021765,True,0.0005,False,False,True
development,future_excess_return,future_excess_return_30m,run_intensity_zero,scaled__run_intensity_zero,-6.62688236781474e-05,-0.662688236781474,4.1930236891228517e-05,-1.5804543115283551,0.11400286210973501,-0.00014845057784818803,1.591293049189322e-05,-1.4845057784818803,0.15912930491893218,none,0.34200858632920506,True,0.0005,False,False,True
development,future_excess_abs_return,future_excess_abs_return_30m,run_intensity_up,scaled__run_intensity_up,-7.912858066557266e-05,-0.7912858066557267,5.373042178947637e-05,-1.47269606361197,0.14083300849152433,-0.0001844382722470925,2.6181110915947175e-05,-1.844382722470925,0.26181110915947176,none,0.14083300849152433,True,0.0005,False,False,True
development,future_excess_abs_return,future_excess_abs_return_30m,run_intensity_down,scaled__run_intensity_down,6.967721482117566e-05,0.6967721482117566,4.602426373895182e-05,1.5139235081821762,0.13004524102803505,-2.0528684522142667e-05,0.00015988311416449398,-0.20528684522142668,1.59883114164494,none,0.14083300849152433,True,0.0005,False,False,True
development,future_excess_abs_return,future_excess_abs_return_30m,run_intensity_zero,scaled__run_intensity_zero,-0.000586811221036729,-5.86811221036729,6.683164830450917e-05,-8.780439147079012,1.6283759926909604e-18,-0.0007177988447410143,-0.00045582359733244366,-7.177988447410143,-4.558235973324437,none,4.885127978072881e-18,True,0.0005,True,False,False
oos,construct_aggressor,aggressor_imbalance,run_intensity_up,scaled__run_intensity_up,-0.01853855538314771,,0.0025048065738163218,-7.401192402215066,1.3496700846881126e-13,-0.023447886056066868,-0.013629224710228552,,,positive,2.0245051270321688e-13,False,0.02,False,False,False
